Cluster			E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa			-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1da			-190.483919	0.118429	0.084623	-190.365490	-190.399296	71.151		-190.222788	
1di-11me-da		-269.079071	0.177427	0.137624	-268.901644	-268.941447	83.773		-268.689602	
1di-12me-da		-269.076916	0.177708	0.136960	-268.899208	-268.939956	85.763		-268.685817	
1me-da			-229.780763	0.148016	0.110758	-229.632748	-229.670005	78.415		-229.454734	
1pda			-229.790230	0.148841	0.112402	-229.641389	-229.677828	76.692		-229.464734	
1eda			-190.483919	0.118429	0.084623	-190.365490	-190.399296	71.151		-190.222788	
1eda_1sa		-890.655521	0.168037	0.118596	-890.487485	-890.536925	104.056		-889.723108	
1eda_2sa		-1590.832637	0.216609	0.151476	-1590.616028	-1590.681161	137.084		-1589.233369	
1eda_3sa		-2291.008401	0.265129	0.187943	-2290.743272	-2290.820458	162.453		-2288.739169	
1eda_4sa		-2991.185210	0.314569	0.229572	-2990.870642	-2990.955638	178.891		-2988.248343	
1sa_1da			-890.655521	0.168037	0.118596	-890.487485	-890.536925	104.056		-889.723108	
1sa_1di-11me-da		-969.252139	0.227810	0.171697	-969.024329	-969.080442	118.099		-968.193199	
1sa_1di-12me-da		-969.253278	0.227725	0.170583	-969.025554	-969.082695	120.264		-968.191733	
1sa_1me-da		-929.957925	0.198157	0.144803	-929.759768	-929.813122	112.294		-928.961428	
1sa_1pda		-929.969061	0.198363	0.146339	-929.770698	-929.822722	109.494		-928.971280	
1sa_1tetra-me-da	-1047.845990	0.286258	0.222945	-1047.559732	-1047.623045	133.253		-1046.658274	
1sa_1tri-me-da		-1008.551131	0.256868	0.196309	-1008.294263	-1008.354822	127.457		-1007.426899	
1tetra-me-da		-347.670434	0.236168	0.189173	-347.434266	-347.481261	98.909		-347.152732	
1tri-me-da		-308.375991	0.206889	0.163167	-308.169103	-308.212824	92.020		-307.921510	

