Cluster	E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1mea		-210.346111	0.105618	0.072378	-210.240492	-210.273733	69.960		-210.082807	
1sa_1mea	-910.514888	0.155055	0.105514	-910.359833	-910.409374	104.268		-909.581737	
1sa_2mea	-1120.902119	0.263852	0.202705	-1120.638267	-1120.699414	128.694		-1119.700242	
1sa_3mea	-1331.283466	0.372368	0.298447	-1330.911098	-1330.985019	155.579		-1329.815050	
1sa_4mea	-1541.666436	0.481343	0.394390	-1541.185093	-1541.272046	183.009		-1539.928610	
2mea		-420.715236	0.214960	0.167353	-420.500276	-420.547883	100.197		-420.184388	
2sa_1mea	-1610.690764	0.203346	0.139420	-1610.487417	-1610.551344	134.544		-1609.089887	
2sa_2mea	-1821.091710	0.314348	0.236936	-1820.777362	-1820.854774	162.927		-1819.222244	
2sa_3mea	-2031.476506	0.422764	0.329168	-2031.053742	-2031.147338	196.990		-2029.336610	
2sa_4mea	-2241.865257	0.531448	0.429005	-2241.333809	-2241.436252	215.609		-2239.455649	
3mea		-631.083921	0.323146	0.261261	-630.760775	-630.822660	130.247		-630.285985	
3sa_1mea	-2310.853428	0.251856	0.169840	-2310.601572	-2310.683588	172.618		-2308.586053	
3sa_2mea	-2521.265647	0.362518	0.272639	-2520.903129	-2520.993008	189.168		-2518.726695	
3sa_3mea	-2731.678256	0.472831	0.374385	-2731.205426	-2731.303871	207.196		-2728.867059	
3sa_4mea	-2942.071029	0.581859	0.470916	-2941.489170	-2941.600113	233.498		-2938.991675	
4mea		-841.452467	0.431921	0.355562	-841.020546	-841.096905	160.711		-840.387519	
4sa_1mea	-3011.016384	0.299060	0.203293	-3010.717324	-3010.813091	201.559		-3008.079657	
4sa_2mea	-3221.438144	0.409813	0.308812	-3221.028330	-3221.129332	212.575		-3218.231011	
4sa_3mea	-3431.856479	0.520326	0.410114	-3431.336154	-3431.446365	231.959		-3428.376433	
4sa_4mea	-3642.254252	0.631593	0.504490	-3641.622659	-3641.749762	267.510		-3638.509107	

