Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1a_tight	-56.546499	0.038598	0.016751	-56.507901	-56.529748	45.981		-56.480247	
1w_tight	-76.409626	0.025516	0.004102	-76.384110	-76.405524	45.069		-76.342064	
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1a		-56.546500	0.038600	0.015715	-56.507900	-56.530785	48.164		-56.480252	
1w		-76.409619	0.025505	0.004091	-76.384115	-76.405528	45.069		-76.342066	
1a_1w_tight	-132.969462	0.067069	0.033685	-132.902393	-132.935777	70.263		-132.832611	
1a_2w		-209.396972	0.095629	0.057294	-209.301344	-209.339678	80.682		-209.189048	
1a_3w		-285.827578	0.124178	0.079490	-285.703401	-285.748088	94.052		-285.547603	
1a_4w		-362.254310	0.152393	0.099517	-362.101917	-362.154793	111.288		-361.903347	
1sa_1a_1w	-833.135534	0.115095	0.066602	-833.020439	-833.068932	102.061		-832.326679	
1sa_1a_2w	-909.574748	0.144696	0.091163	-909.430053	-909.483585	112.669		-908.694996	
1sa_1a_3w	-986.005655	0.173073	0.112294	-985.832581	-985.893361	127.921		-985.055095	
1sa_1a_4w	-1062.436089	0.201762	0.134124	-1062.234327	-1062.301965	142.357		-1061.414685	
1sa_1a_5w	-1138.871624	0.230625	0.159403	-1138.640998	-1138.712221	149.900		-1137.778812	
2sa_1a_1w	-1533.312778	0.164237	0.102151	-1533.148542	-1533.210627	130.670		-1531.837219	
2sa_1a_2w	-1609.742670	0.191915	0.125396	-1609.550756	-1609.617274	139.999		-1608.194436	
2sa_1a_3w	-1686.182460	0.220843	0.151059	-1685.961617	-1686.031401	146.873		-1684.562054	
2sa_1a_4w	-1762.615711	0.249740	0.175961	-1762.365971	-1762.439750	155.280		-1760.922839	
2sa_1a_5w	-1839.043559	0.276847	0.193881	-1838.766713	-1838.849678	174.615		-1837.280755	
2sa_2a_1w	-1589.899387	0.207500	0.141296	-1589.691887	-1589.758091	139.337		-1588.351417	
2sa_2a_2w	-1666.338005	0.236060	0.165159	-1666.101945	-1666.172846	149.224		-1664.717922	
2sa_2a_3w	-1742.768625	0.264668	0.187175	-1742.503958	-1742.581450	163.096		-1741.077808	
2sa_2a_4w	-1819.196908	0.293168	0.208691	-1818.903740	-1818.988217	177.797		-1817.436625	
2sa_2a_5w	-1895.630074	0.321324	0.231675	-1895.308750	-1895.398399	188.683		-1893.799199	
3sa_1a_1w	-2233.474371	0.210415	0.135152	-2233.263956	-2233.339219	158.403		-2231.329295	
3sa_1a_2w	-2309.908999	0.238507	0.156441	-2309.670492	-2309.752558	172.722		-2307.694335	
3sa_1a_3w	-2386.341839	0.264541	0.181581	-2386.077298	-2386.160258	174.604		-2384.055773	
3sa_1a_4w	-2462.775284	0.295384	0.203538	-2462.479900	-2462.571746	193.306		-2460.416642	
3sa_1a_5w	-2539.207473	0.323416	0.228601	-2538.884056	-2538.978872	199.555		-2536.778593	
3sa_2a_1w	-2290.074058	0.255470	0.176100	-2289.818588	-2289.897958	167.049		-2287.856984	
3sa_2a_2w	-2366.499112	0.282593	0.195452	-2366.216519	-2366.303660	183.404		-2364.214301	
3sa_2a_3w	-2442.936244	0.311764	0.218533	-2442.624480	-2442.717711	196.221		-2440.578900	
3sa_2a_4w	-2519.367434	0.339343	0.243032	-2519.028091	-2519.124402	202.704		-2516.938698	
3sa_2a_5w	-2595.800290	0.367263	0.265384	-2595.433028	-2595.534906	214.421		-2593.299287	
3sa_3a_1w	-2346.653970	0.297925	0.210722	-2346.356045	-2346.443248	183.535		-2344.368982	
3sa_3a_2w	-2423.089713	0.326118	0.231021	-2422.763595	-2422.858692	200.148		-2420.732130	
3sa_3a_3w	-2499.517712	0.355532	0.259612	-2499.162180	-2499.258100	201.880		-2497.091224	
3sa_3a_4w	-2575.959194	0.383747	0.281094	-2575.575447	-2575.678100	216.051		-2573.457780	

