Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
Gly		-284.347796	0.084322	0.048465	-284.263474	-284.299331	75.468		-284.038205	
mGly		-283.803658	0.071229	0.036222	-283.732429	-283.767436	73.678		-283.480402	
pGly		-284.696373	0.098621	0.063119	-284.597752	-284.633254	74.719		-284.388621	
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1a		-56.546500	0.038600	0.015715	-56.507900	-56.530785	48.164		-56.480252	
1w		-76.409619	0.025505	0.004091	-76.384115	-76.405528	45.069		-76.342066	
Gly_1a		-340.932153	0.128568	0.085153	-340.803585	-340.847000	91.375		-340.535453	
Gly_1sa		-984.523488	0.134945	0.082855	-984.388544	-984.440633	109.631		-983.528495	
Gly_1sa_1a	-1041.099844	0.175864	0.116364	-1040.923980	-1040.983480	125.228		-1040.034450	
Gly_1sa_1w	-1060.955289	0.163232	0.104692	-1060.792057	-1060.850597	123.208		-1059.890386	
Gly_1w		-360.792452	0.115780	0.074204	-360.676673	-360.718248	87.502		-360.395539	
Gly_2sa		-1684.702866	0.184649	0.117330	-1684.518217	-1684.585536	141.685		-1683.038975	
Gly_2sa_1a	-1741.277149	0.225791	0.150310	-1741.051358	-1741.126839	158.863		-1739.542330	
Gly_2sa_1w	-1761.133445	0.212712	0.138279	-1760.920733	-1760.995166	156.657		-1759.399349	
Gly_3sa		-2384.863618	0.232229	0.152909	-2384.631390	-2384.710709	166.942		-2382.533170	
mGly_1a		-340.372497	0.114991	0.070423	-340.257505	-340.302074	93.803		-339.977134	
mGly_1sa	-984.024848	0.120310	0.070341	-983.904537	-983.954507	105.170		-983.027830	
mGly_1sa_1a	-1040.590224	0.163795	0.107784	-1040.426430	-1040.482440	117.884		-1039.525756	
mGly_1sa_1w	-1060.458067	0.150332	0.091708	-1060.307735	-1060.366359	123.385		-1059.391774	
mGly_1w		-360.245453	0.102038	0.058437	-360.143416	-360.187016	91.766		-359.848572	
mGly_2sa	-1684.214569	0.170102	0.107113	-1684.044468	-1684.107456	132.571		-1682.551479	
mGly_2sa_1a	-1740.782451	0.211923	0.138313	-1740.570529	-1740.644138	154.924		-1739.046639	
mGly_2sa_1w	-1760.638420	0.198526	0.123022	-1760.439894	-1760.515398	158.912		-1758.907144	
mGly_3sa	-2384.409225	0.220308	0.144904	-2384.188917	-2384.264321	158.702		-2382.075453	
pGly_1a		-341.312480	0.143164	0.101609	-341.169317	-341.210871	87.458		-340.909496	
pGly_1sa	-984.877610	0.149613	0.092215	-984.727998	-984.785395	120.803		-983.880870	
pGly_1sa_1a	-1041.479432	0.192364	0.130073	-1041.287068	-1041.349359	131.102		-1040.410080	
pGly_1sa_1w	-1061.318668	0.177392	0.112555	-1061.141276	-1061.206113	136.460		-1060.251371	
pGly_1w		-361.163483	0.130392	0.088327	-361.033091	-361.075156	88.533		-360.761384	
pGly_2sa	-1685.043646	0.197575	0.126395	-1684.846071	-1684.917251	149.811		-1683.380579	
pGly_2sa_1a	-1741.649448	0.238865	0.162267	-1741.410584	-1741.487181	161.213		-1739.914097	
pGly_2sa_1w	-1761.484626	0.224932	0.148493	-1761.259694	-1761.336133	160.879		-1759.750064	
pGly_3sa	-2385.204301	0.244385	0.158700	-2384.959916	-2385.045601	180.338		-2382.875399	

