Cluster	E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa	-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1pa	-652.164543	0.242475	0.186610	-651.922067	-651.977933	117.580		-651.330005	
1pa_1sa	-1352.322768	0.289882	0.217163	-1352.032886	-1352.105605	153.050		-1350.820429	
1pa_2sa	-2052.482954	0.336980	0.250328	-2052.145974	-2052.232626	182.374		-2050.312540	
1pa_3sa	-2752.645116	0.385493	0.290832	-2752.259622	-2752.354284	199.232		-2749.808431	
1pa_4sa	-3452.809753	0.432123	0.320474	-3452.377630	-3452.489279	234.984		-3449.306322	
2pa	-1304.370465	0.487838	0.405736	-1303.882626	-1303.964729	172.799		-1302.693524	
2pa_1sa	-2004.534138	0.535393	0.437414	-2003.998746	-2004.096724	206.213		-2002.191131	
2pa_2sa	-2704.696118	0.581975	0.466306	-2704.114144	-2704.229812	243.445		-2701.686496	

