#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am       -56.52989156452621   -56.50804338338234   7.32791586244093e-05    -56.5464986382
1w        -76.40560891413422   -76.38419486077964   7.182308688436955e-05   -76.4096259952
1ma       -95.79628217717885   -95.76899244407186   9.153021333889366e-05   -95.8378240128
1ml       -115.66635534713424  -115.63932712661212  9.065309583136314e-05   -115.695260307
1dma      -135.06700528479843  -135.03623458732125  0.00010320542504501294  -135.134508667
1etox     -153.71455318072773  -153.6870619063503   9.220618607225151e-05   -153.749045336
1acal     -153.7595474144917   -153.72972330256988  0.00010003056153553732  -153.790331489
1dme      -154.93193761394681  -154.9019915035989   0.00010043974626162928  -154.987346967
1tma      -174.33978669223652  -174.30727976678932  0.00010902876219083506  -174.434517295
1fa       -189.70262792263946  -189.67444791325588  9.45162146019746e-05    -189.712813738
1eda      -190.39949897450296  -190.36586771504946  0.00011279979692600499  -190.483952567
1pxml     -190.7743540376833   -190.7436996996402   0.00010281515359084279  -190.804258817
1acon     -193.05191742537875  -193.01771779212604  0.00011470613198959885  -193.108006109
1mf       -228.96769047297047  -228.93549561980262  0.00010798206663706399  -229.003507622
1nta      -280.8075732405913   -280.77743483864685  0.00010108469543670495  -280.808949655
1acan     -381.56169039818207  -381.52030772683247  0.00013879815981757403  -381.628225835
1malonic  -417.5016804985527   -417.4629374170555   0.00012994493207155628  -417.549183425
1msa      -664.1999380506965   -664.1639725858661   0.00012062876012202836  -664.233030177
1sa       -700.1144456061426   -700.0806352944264   0.00011340034115750205  -700.126012309
