#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am       -56.46367064674521   -56.44182246560134   7.32791586244093e-05    -56.480277720419
1w        -76.33800253919222   -76.31658848583763   7.182308688436955e-05   -76.342019620258
1ma       -95.66400576500884   -95.63671603190186   9.153021333889366e-05   -95.70554760063
1ml       -115.53275727942624  -115.50572905890412  9.065309583136314e-05   -115.561662239292
1dma      -134.8697332523084   -134.83896255483123  0.00010320542504501294  -134.93723663451
1etox     -153.5203346493987   -153.49284337502127  9.220618607225151e-05   -153.554826804671
1acal     -153.56597266792866  -153.53614855600685  0.00010003056153553732  -153.596756742437
1dme      -154.73360078974576  -154.7036546793979   0.00010043974626162928  -154.789010142799
1tma      -174.07893669031748  -174.04642976487034  0.00010902876219083506  -174.173667293081
1fa       -189.50528273302544  -189.47710272364188  9.45162146019746e-05    -189.515468548386
1eda      -190.138590534254    -190.1049592748005   0.00011279979692600499  -190.223044126751
1pxml     -190.57356558392132  -190.54291124587814  0.00010281515359084279  -190.603470363238
1acon     -192.79347606905375  -192.759276435801    0.00011470613198959885  -192.849564752675
1mf       -228.70635683574645  -228.67416198257862  0.00010798206663706399  -228.742173984776
1nta      -280.5381268568573   -280.50798845491283  0.00010108469543670495  -280.539503271266
1acan     -381.11005505425004  -381.0686723829005   0.00013879815981757403  -381.176590491068
1malonic  -417.0458626656656   -417.00711958416844  0.00012994493207155628  -417.093365592113
1msa      -663.5296159309826   -663.4936504661521   0.00012062876012202836  -663.562708057286
1sa       -699.4484932224547   -699.4146829107384   0.00011340034115750205  -699.460059925312
