#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am         -56.52989156452621   -56.50804338338234   7.32791586244093e-05    -56.5464986382
1am1p       -56.85720843071624   -56.836108458398165  7.076965392613149e-05   -56.8899417443
1w          -76.40560891413422   -76.38419486077964   7.182308688436955e-05   -76.4096259952
1ma         -95.79628217717885   -95.76899244407186   9.153021333889366e-05   -95.8378240128
1fd         -114.46448368555511  -114.43901119244218  8.543516053307079e-05   -114.469693518
1ml         -115.66632461594817  -115.63931122119035  9.06033699742178e-05    -115.695260847
1dma        -135.0670077104133   -135.03623557638983  0.00010321024324491759  -135.134508382
1dma1p      -135.42275302483208  -135.3923128844586   0.0001020967310866739   -135.506513308
1tma        -174.33978669223652  -174.30727976678932  0.00010902876219083506  -174.434517295
1fa         -189.70262792255446  -189.67444791332838  9.451621407368218e-05   -189.712813738
1bda        -190.39949752999792  -190.36586671494064  0.00011279830641385108  -190.483952531
1eda        -190.39950091260002  -190.3658687077267   0.00011280296787972302  -190.483952493
1pxml       -190.7743504249713   -190.743699701267    0.00010280303103906564  -190.804258822
1gd         -205.27722466010172  -205.24539244500508  0.00010676577258645716  -205.327590515
1mda        -229.6704873884488   -229.63334803125545  0.00012456601439996123  -229.780802651
1pda        -229.67852053073145  -229.64198424438734  0.00012254330486035706  -229.79019167
1pxfa       -264.8010377892546   -264.7700750803685   0.0001038494344663804   -264.812921998
1diABmda    -268.93995611061905  -268.89979391653077  0.00013470465902484043  -269.07692805
1diAAmda    -268.9418203819248   -268.9023155103274   0.00013249998858758355  -269.079045965
1put        -268.95673507362255  -268.91614488404184  0.00013614016294045828  -269.093948537
1nta        -280.8075747081684   -280.7774358302155   0.00010108629197686104  -280.808949637
1triAABmda  -308.2128800267772   -308.17001333888305  0.00014377557569724705  -308.376028204
1teAABBmda  -347.48159486190514  -347.43536862325305  0.00015504356415264227  -347.670361027
1malonic    -417.5016804985527   -417.4629374170555   0.00012994493207155628  -417.549183425
1msa        -664.1999335472484   -664.1639696020748   0.00012062366316818721  -664.233030247
1ca         -686.1118942745607   -686.078571208057    0.0001117661127069443   -686.105058501
1b          -699.6207782923187   -699.5864198149641   0.00011523889771820646  -699.619322316
1sa         -700.11444417782     -700.0806352954177   0.00011339554721555806  -700.126012016
1pa         -761.2052999099681   -761.1713089025554   0.00011400639749334963  -761.203990818
1homJ       -991.8426595233841   -991.7778240568854   0.0002174592201869611   -992.068576489
