#CLUSTER       ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
4ma            10.614503120683366      -19.887000225367956     -102.30254350520738      -24.49526935632457
4dma           10.027892962854821      -21.955955862242263     -107.27435460364816      -26.632369375496637
4put           8.438723118859343       -34.15651585056912      -142.8651315425231       -39.90659168246202
4am            8.42141334770713        -16.985601121385116     -85.21554408558616       -22.02355424090638
3put           7.787549140106421       -19.968201584764756     -93.09324408770689       -23.676238510059193
3ma            7.671869044046616       -11.93584314029431      -65.76458891279412       -15.113448283664184
2ma            5.673075505896122       -3.317979545739945      -30.15614640832888       -4.910156758734956
2dma           5.4327099107031245      -4.164938435016666      -32.19067028584335       -5.7899996736086905
3am            5.270232148483046       -10.728413989025285     -53.65972207793625       -14.005012363675633
1am1dma        4.1386164951109095      -3.0765077226096764     -24.19964520461251       -4.578607453906443
2am            3.348713710613083       -2.345014042715775      -19.096856459349766      -3.940001227572793
2put           3.1184404147206806      -11.294351376069244     -48.34074053555541       -13.28624714713078
2w             1.7195404111553216      -4.687243798325653      -21.48845953208553       -6.4408075075625675
3w             1.345933310862165       -15.551490357960574     -56.67423668900739       -19.467915368266404
6w             -0.10466866492060944    -46.793262052349746     -156.5943095334501       -56.433797071746085
5w             -1.306688719720114      -37.31835597072495      -120.78372380025704      -44.83638200617861
7w             -1.3491438647615723     -59.45936730352696      -194.90264443660217      -71.44274389231578
4w             -1.422041181649547      -28.395566825027345     -90.46964830919048       -34.24121033970732
1sa1w          -3.2551517404353945     -12.383295450337755     -30.615944021138738      -14.103957601451839
9w             -5.6190602132701315     -85.39123628707603      -267.5571895818787       -101.43356768158264
8w             -5.728946551098488      -75.78541656554444      -234.97055178432828      -90.13364049326628
2sa            -6.0074964731466025     -17.567838167538866     -38.77357603384554       -18.790586119983345
1sa2w          -6.170267893146956      -25.32639604045835      -64.24996863077523       -28.571737049802323
10w            -6.431539103563409      -97.18982149055228      -304.4047707096297       -115.39389298384776
1sa3w          -8.22399795090314       -38.5157099616481       -101.59889991877819      -44.17296889203135
1am1sa         -8.301191197009757      -17.47109475848265      -30.75600724949028       -18.897792936884798
1ma1sa         -9.98116344033042       -20.411015351244714     -34.98189472057182       -22.736356861249078
2sa1w          -10.252506479489966     -32.24885391051794      -73.77611078672174       -35.30674682898825
3sa            -10.918218245496973     -34.43153457995504      -78.86404941975775       -36.92296740086749
1sa4w          -10.98627160966862      -50.34202025984996      -131.99982777209334      -57.16571343343821
1sa5w          -12.990233159041964     -64.71265387249878      -173.47784911475674      -73.76494926441228
1dma1sa        -13.696861134958453     -23.995058329077438     -34.540322636672926      -26.612286141957156
1bda1sa        -13.776912148867268     -26.03344417887274      -41.10860986093786       -28.555222425842658
1eda1sa        -13.787605382094625     -26.037189717637375     -41.08530717922906       -28.55516093049664
2sa2w          -14.027183103229618     -47.8646127894317       -113.49129527504532      -52.807917821992305
2am1sa         -14.257448508869857     -32.54488810687326      -61.33637295977326       -35.630514155258425
1sa1tma        -14.313801626907662     -24.895983652008        -35.4928124270855        -27.651481310167583
2ma1sa         -14.460752110637259     -36.70306627964601      -74.60108726864976       -39.57555347890593
1diAAmda1sa    -14.575791811977979     -26.467051233397797     -39.88347952840411       -29.47486007504631
3sa1w          -15.982700671520433     -51.7576303562746       -119.98970211176555      -55.264954763617425
1sa6w          -15.998996565060224     -77.49877720151562      -206.27127498384803      -88.28640343691222
1sa1teAABBmda  -16.071184481988894     -28.21115605873638      -40.717664184886445      -31.036022906308062
1sa1triAABmda  -16.116806011559675     -28.019162358163157     -39.92069879790144       -30.77461896146997
2dma1sa        -16.20972624764545      -39.09329257509671      -76.7518575463971        -43.13457379001193
3am1sa         -16.320875157718547     -45.35903755371692      -97.39447390941726       -51.13848254841287
2am1dma1sa     -16.4632849599584       -47.88677892868873      -105.39491520633811      -53.5003481808817
1diABmda1sa    -16.804038581147324     -28.76363894820679      -40.11269618301209       -31.542447319836356
1sa2tma        -17.0523098463309       -40.15339047746966      -77.4814040959757        -44.136467042553704
1mda1sa        -17.0695362361148       -29.187098743743263     -40.642503799168026      -32.04368667618837
