#CLUSTER       ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2sa1tma        2034.9027924987895      2011.274487928109       -79.24972185369822       2006.334374178783
4put           18.779496615286916      -23.81574235414155      -142.8651315425231       -29.565818186150864
4ma            15.680852143792436      -14.820651202200679     -102.30254350520738      -19.4289203332155
4dma           14.430343373911455      -17.553505451243836     -107.27435460364816      -22.229918964381795
4am            14.203304654132808      -11.203709815017646     -85.21554408558616       -16.2416629344807
3put           14.089491398946848      -13.666259325749706     -93.09324408770689       -17.374296251276974
3ma            10.691817657847423      -8.915894526377087      -65.76458891279412       -12.093499669863377
3am            8.787033385771792       -7.211612751780194      -53.65972207793625       -10.488211126386886
2put           7.270944059244357       -7.14184773148736       -48.34074053555541       -9.133743502665311
2ma            6.688442617567489       -2.3026124340540264     -30.15614640832888       -3.8947896470926935
2dma           6.5119619242614135      -3.085686421400169      -32.19067028584335       -4.710747660021298
1am1dma        5.391891334176762       -1.8232328835438238     -24.19964520461251       -3.3253326148260385
2am            4.209702308959095       -1.4840254444134189     -19.096856459349766      -3.0790126292413333
2sa            -5.508116452489048      -17.071922587463632     -38.785195823423464      -18.297684952733107
1am1sa         -5.5705821985029615     -14.740485759859439     -30.75600724949028       -16.167183938319795
1ma1sa         -7.148916967504192      -17.578768878476694     -34.98189472057182       -19.904110388539266
3am1sa         -7.437449103977997      -36.475611500267405     -97.39447390941726       -42.255056494730525
4am1sa         -7.620564691314939      -46.91812169161858      -131.80465202221413      -54.430162432661746
2am1dma1sa     -8.008947453810833      -39.432441422424745     -105.39491520633811      -45.04601067467593
3sa            -9.023333485703915      -33.74808598659001      -82.92722623099493       -36.20053140167147
2am1sa         -9.37138248339761       -27.658822081401013     -61.33637295977326       -30.744448129669763
2ma1sa         -10.05956416396657      -32.301878333091736     -74.60108726864976       -35.17436553235166
1eda1sa        -10.109789650538005     -22.359373986080755     -41.08530717922906       -24.87734519894002
1bda1sa        -10.258261379785836     -22.514793409849517     -41.10860986093786       -25.036571656761225
1dma1sa        -11.220327417715453     -21.518524611892644     -34.540322636672926      -24.135752424714155
4ma1sa         -11.5611206581234       -56.7109237992554       -151.43318175805214      -64.26674311578972
3ma1sa         -12.062722470087465     -45.41698026197264      -111.87072880058793      -51.25853132328484
1diAAmda1sa    -12.194138302409556     -24.08539772371296      -39.88347952840411       -27.093206565245055
2dma1sa        -12.273422805650625     -35.15698913310189      -76.7518575463971        -39.198270347958896
1sa1tma        -12.29667603233247      -22.87885805752012      -35.4928124270855        -25.634355715592392
1am1dma1sa     -12.581285787047818     -33.658117472950835     -70.69203986503064       -38.27959760837257
1sa1teAABBmda  -13.348933498869883     -25.488905075733783     -40.717664184886445      -28.31377192318905
1sa2tma        -13.526200671796687     -36.62728130328469      -77.4814040959757        -40.61035786813591
1sa1triAABmda  -13.559738996205851     -25.462095342751127     -39.92069879790144       -28.21755194599973
1diABmda1sa    -13.810046294413041     -25.769646661588922     -40.11269618301209       -28.548455033218488
1pda1sa        -13.901049282343592     -26.475330798130017     -42.17434685826106       -28.94352230260847
1am2dma1sa     -13.939644439786207     -47.34515513421502      -112.04263187785644      -53.227954511356074
4sa            -14.011792282108217     -50.34353956207633      -121.85727747708921      -54.032606054795906
1mda1sa        -14.062320155207999     -26.17988266289467      -40.642503799168026      -29.03647059528157
4dma1sa        -14.122918211331125     -62.051573490316514     -160.75349749856525      -69.47147822123952
1put1sa        -15.243404723354615     -28.90631026070332      -45.82560971768115       -31.582947196846362
3dma1sa        -15.281979953520931     -50.06757470156299      -116.67145647520476      -55.68544040690176
2put1sa        -18.058040832693223     -46.68582025927026      -96.01804268416976       -51.992484924267046
1am2sa         -19.12737339991145      -41.71022640937008      -75.74326013561728       -45.39214764768258
4put1sa        -23.821950118115637     -82.46316842368105      -196.6836099469831       -91.8566848373739
1ma2sa         -24.133714033756405     -47.87266354530584      -79.62082680359723       -51.931534371338785
