#CLUSTER    ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
4am         7.881928188202437       -16.997076997969998     -83.44459227293895       -21.997742783511057
3dma        7.591397911484819       -13.065190092747798     -69.2825356507426        -16.044572124199476
3am         5.465101488225628       -10.704189612573828     -54.23206808924061       -14.006814740554546
2dma        5.10795690616942        -4.349485106300563      -31.720415939919988      -5.74578141971142
1am1dma     3.6988647881080396      -3.140749554760987      -22.94017891291385       -4.57441265907255
2am         2.9623647326079663      -2.751409552831319      -19.16409285743599       -4.294765821643523
2sa         -6.115942693082616      -17.600496396771632     -38.519381866943846      -18.82796270865947
1am1sa      -8.56564960454125       -17.52661963069113      -30.055240738233067      -18.910478600184433
3sa         -10.036761716473848     -34.677384096663445     -82.64505242333664       -37.1560728426557
1dma1sa     -13.581995310611092     -23.999010582396295     -34.9388404216687        -26.652913196128793
2am1sa      -14.230944625509437     -32.59874144842615      -61.60589241291096       -35.683181235042866
4sa         -15.743932604556903     -51.63910816097632      -120.39300874198648      -55.37828557030298
3am1sa      -16.485631305084098     -45.382972196443006     -96.92215626792975       -51.18563958705636
2dma1sa     -16.8413530223188       -39.24404512287583      -75.13899748624459       -43.18399278871948
2am1dma1sa  -16.86752210580744      -48.00100162142189      -104.42220196415276      -53.51283122348832
1am1dma1sa  -17.797162367322017     -38.57649247016525      -69.69421466663242       -43.065669442585204
4am1sa      -18.90434556826949      -57.81019897048827      -130.49087171616424      -65.24856777937384
1am2dma1sa  -20.27589487755904      -53.6886150498176       -112.06681258532656      -59.639812683628406
3dma1sa     -21.495489635970443     -55.91879840526963      -115.45634334841297      -61.37586009904044
4dma1sa     -22.848331958346535     -70.7727865211782       -160.73940822714792      -77.97988942539087
1am2sa      -23.206272976007313     -45.78440210002009      -75.72741614644826       -49.5723478224827
1am3sa      -31.124985076487064     -66.09676525671966      -117.29592547408612      -70.69326673378237
1dma2sa     -32.02590304904152      -56.05695750808809      -80.6005515979916        -60.49854062462691
2am2sa      -33.54800833470654      -66.13882455055136      -109.31013320737479      -72.3983102296479
1am4sa      -37.62800277676433      -86.7569972872734       -164.77945500792563      -91.80375654459931
3am2sa      -39.802381131914444     -83.06470776791684      -145.10255453939723      -91.45459228940308
1am1dma2sa  -41.06318481208291      -75.45605131797493      -115.35423949633037      -82.42945157759823
1am5sa      -42.49418731033802      -105.0366542013362      -209.7684618172298       -113.6743846652098
1dma3sa     -43.039407131727785     -80.4321505848784       -125.41587607957413      -86.38850743579678
4am2sa      -43.907474016188644     -97.08479878597427      -178.35762123044023      -107.11318405531347
3am1dma2sa  -44.683644819655456     -99.99917794857174      -185.5292072077295       -109.37357297749259
2am1dma2sa  -45.23589700728189      -92.4166619911557       -158.24506115617228      -100.58430675277486
2am3sa      -47.030175163876265     -92.95524334791116      -154.03343345260606      -100.9712414178066
1dma4sa     -47.672903769649565     -98.58928560046479      -170.7743814544461       -106.4810932551045
2dma2sa     -49.637404695968144     -86.57200495677534      -123.87925628308304      -94.39901244279463
2am2dma2sa  -52.511293355957605     -107.78563542186748     -185.3910517050833       -118.24453657877166
1dma5sa     -53.60214131092653      -117.88988900696859     -215.62216231983368      -126.95063267741352
1am2dma2sa  -53.737458625109866     -99.89310887979809      -154.8068095075936       -109.13357466610614
1am1dma3sa  -55.94233987526968      -103.75417541526258     -160.36168217363007      -112.44595969212241
3dma2sa     -57.430408660671674     -106.47720333654433     -164.5037554112794       -115.43730426882394
2am4sa      -57.44806812214665      -118.02702401182614     -203.1828136493979       -128.10874066804536
