#CLUSTER      ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1p         18.29933702973358       17.596286145213526      -2.3580442211103616      17.875690887580276
4ma           10.614503120683366      -19.887000225367956     -102.30254350520738      -24.49526935632457
4dma          10.027892962854821      -21.955955862242263     -107.27435460364816      -26.632369375496637
4am           8.42141334770713        -16.985601121385116     -85.21554408558616       -22.02355424090638
3ma           7.671869044046616       -11.93584314029431      -65.76458891279412       -15.113448283664184
2ma           5.673075505896122       -3.317979545739945      -30.15614640832888       -4.910156758734956
2dma          5.4327099107031245      -4.164938435016666      -32.19067028584335       -5.7899996736086905
3am           5.270232148483046       -10.728413989025285     -53.65972207793625       -14.005012363675633
1am1p1sa      4.5213330262340605      -2.7494583299849182     -24.386353701808716      -3.3078831312595867
1am1dma       4.1386164951109095      -3.0765077226096764     -24.19964520461251       -4.578607453906443
2am           3.348713710613083       -2.345014042715775      -19.096856459349766      -3.940001227572793
1b2dma        2.43731624117936        -20.23484240786638      -76.04279271846808       -23.52082170464564
1sua1w        2.049340320765623       -8.000042891515477      -33.70579645242743       -10.033647469397692
1homF1w       1.7843518495355966      -9.525814127737249      -37.93448256645876       -11.617763732887397
2am1b         1.4004647984402254      -16.44711935892701      -59.86109058323042       -19.742931359098293
1dma4w        1.3582007743534632      -37.43000262315036      -130.0962716669926       -45.22152264000033
1ma2w         1.3521683347062208      -16.356167378660757     -59.39404901351474       -20.08182464526908
1dma2w        1.055960545738344       -16.68069182331965      -59.48902354205292       -20.38095796086418
1dma1w        0.9516104579961393      -7.446850742511742      -28.16857689258          -9.368952366588928
1sua2w        0.8748562358960044      -19.58584140376479      -68.625516148588         -23.65638243268768
1am1b         0.8024978926987387      -9.21929445990827       -33.61325625552931       -11.035997983301058
1dma6w        0.7621005099499598      -58.477894091105554     -198.69191548205748      -70.02627509541344
1dma5w        0.4799538043444045      -47.05664143105969      -159.43852166835222      -56.271250577119645
1dma1sua1w    0.36627029326336924     -22.212825394912215     -75.7306580183373        -25.710812194600294
1ma1w         0.2991470289998688      -7.246819281477656      -25.30929502088999       -9.050837085225794
1b1dma        0.2867494332458591      -11.635855514265131     -39.98861293826279       -13.294138624856714
1sua3w        -0.08591756562236696    -31.272180278145242     -104.59923767417878      -37.0913408882916
1dma3w        -0.16304303385550156    -28.15027533637476      -93.86963710375079       -33.705760774813825
1am1homF      -0.41076810826780275    -9.661381246580277      -31.026708496677685      -11.4927291792701
1dma1homF     -0.41539422096684575    -12.209015368716791     -39.55599915363791       -13.885964941757265
1dma1sua      -1.7069010711857118     -14.257632822089363     -42.09536055977247       -15.954370450519491
1pha1w        -1.9374707009847043     -12.02340502313018      -33.82838947572265       -13.829736907944607
1sua5w        -2.253655143256765      -53.89832857082365      -173.21708343966063      -63.30803156894399
1oa1sa        -2.4399107599747367     -13.587074308656156     -37.387769742532754      -14.709410773532
2homF         -2.6907089760061353     -20.27474188513588      -58.97713536459878       -22.288087041000836
1sua4w        -2.7459998467820697     -42.43427543409052      -133.11512858421955      -49.72484560965677
1sa1w         -3.289724574467982      -12.459754265822994     -30.75643029140364       -14.148539179623185
2am1p         -3.825692037906265      -11.685035252317903     -26.360366306940676      -11.868128268280998
1am1b1w       -4.275895660844981      -24.692584477226774     -68.47790983223302       -28.54981755422341
1b1dma1w      -4.328810197243001      -25.54383751666319      -71.15555029168561       -28.95145292024972
1dma1sua2w    -4.42553620543913       -36.8818854996498       -108.85912894272903      -42.04995932716702
1homF1sa      -4.451570842182264      -19.740720132773276     -51.28005799295214       -21.174517079780344
1b1w          -4.645925163509673      -13.827751390497724     -30.795996065859562      -15.608947619133687
1am1pha       -4.806783750245813      -14.475744155584835     -32.42985210600942       -16.03418550634524
1dma1sua4w    -4.813100989558734      -59.610225169191835     -183.79045507188363      -69.54943242811714
1oa1sa1w      -4.915840531277354      -26.130669112819305     -71.15488372138614       -29.11032161964249
3msa          -5.55861524050124       -32.15928593627177      -89.2190866872348        -35.056279006646946
2msa          -5.953958645113744      -19.606502158916555     -45.790855320362155      -21.08713289455045
2sa           -6.004864649963565      -17.56346488161944      -38.767735138845495      -18.790567294927314
1sa2w         -6.099731467227684      -25.223533853146364     -64.14154749604623       -28.49567490113259
1sua6w        -6.142960330354981      -68.69854184589349      -209.81244848421005      -80.41502211999614
1am1p2sa      -6.418809411581606      -27.28923349804245      -69.99974538440935       -29.107244156766683
1dma1sua3w    -6.582036630366929      -49.444513875758275     -143.76145311233842      -56.197522739646956
1pa1sa        -6.608825636387337      -19.01404474658193      -41.6073087713702        -20.160566984734032
2pa           -6.614513682899997      -24.16207838919945      -58.85482041333756       -25.965155475772917
1dma1msa      -7.337630616151728      -19.692606994882226     -41.43879382469811       -21.813094252778683
1dma1p1sa     -7.7509235315956175     -17.71520596044138      -33.42036702600306       -19.0316614775802
1oa1sa2w      -7.817214787733974      -39.393693073958275     -105.9080271212529       -43.850015060583246
1b2w          -7.917028731055325      -27.604311296789092     -66.0314692799989        -31.488451941710082
1sa3w         -8.205428011715412      -37.204826230648905     -97.26445822197884       -42.355135371210054
1am1sa        -8.301191197009757      -17.47109475848265      -30.75600724949028       -18.897792936884798
1am1b2w       -8.534947534411913      -38.02509736579668      -98.91044719584347       -43.609034267792595
1msa1sa       -8.62712557503255       -21.84159082226688      -44.32153361501649       -23.25025872612605
1mbtca1sa     -9.292033589968923      -23.20213903457625      -46.65472226930052       -24.49526734824758
1b1dma2w      -9.333995425884495      -41.34168262699677      -107.35430890915059      -46.818079777949606
1homF1sa1w    -9.37633942636603       -35.41388308149908      -87.33034933788483       -38.51451392725721
1dma1sua5w    -9.666881877172273      -75.48531546810409      -220.75610796919096      -87.55663125292631
1pha1sa       -9.686563713883515      -21.967535186442547     -41.19058015282414       -22.95095109019894
1ma1sa        -9.98116344033042       -20.411015351244714     -34.98189472057182       -22.736356861249078
1msa2sa       -10.182397780474275     -36.03419396956451      -86.70734928441787       -38.53238333016634
2sa1w         -10.203694886164158     -32.2892605839661       -74.07535031971256       -34.83009555008175
1dma1sua6w    -10.643033510656096     -86.40337643178646      -254.10143525511666      -100.13151464413386
1oa1sa3w      -10.731159404967912     -53.50209618837107      -143.45442489833772      -59.02796914661303
2pha          -10.836513971211389     -23.721758915227838     -43.217323307605625      -24.675631790654734
3sa           -10.840070484671742     -35.508499027229846     -82.73831475006855       -38.06780897406861
1sa4w         -11.050415899953805     -51.42750406151754      -135.42541727861877      -57.839099452859955
2homF1sa      -11.082132038252894     -43.18310951732565      -107.66720603356828      -46.51609521417413
2msa1sa       -11.143473989737686     -37.503545808256604     -88.41211409847335       -40.14492422470357
1sa5w         -11.284874824341387     -61.46422188327415      -168.3023547169823       -69.90372250444489
1homF2sa      -11.601353356963955     -40.31062811217271      -96.29137935642588       -42.76151572656818
1b3w          -11.851287671073806     -41.65898342372384      -99.97550143448542       -47.449313910794444
1oa1sa4w      -12.592389217345044     -67.90469804304303      -185.51839284203515      -76.2842884689162
1sa6w         -12.771707789914217     -73.61954227648675      -204.0846368823966       -83.72721136501059
1am1b4w       -12.780347968509886     -62.78678249139921      -167.7224032297412       -72.49745262906072
1am1b3w       -13.017410176515114     -53.84450112550985      -136.9347340232353       -61.42697881523054
1am1b5w       -13.066812826611567     -73.17686360800872      -201.61009821024737      -84.90410874102963
1b1dma3w      -13.327951497281902     -56.125663037470076     -143.54422787237462      -63.52618047699798
1pa2sa        -13.425761338905431     -39.45170110184699      -87.29142969345305       -41.552274147979915
1ca1sa        -13.585345922678243     -28.623619578487705     -50.43861699090847       -29.942726311797742
1dma1sa       -13.708412586478516     -23.99818253936246      -34.5120575312164        -26.612235941691324
2sa2w         -13.747613519750303     -45.613677604545956     -106.87930264912734      -49.8217628205457
2homF1sa1w    -14.014034766049008     -56.620663387504464     -142.903332622474        -61.2351877314868
1homF2sa1w    -14.077604630132555     -53.3244464890231       -131.6345526038144       -58.206290363254084
1oa1sa5w      -14.24161494593136      -79.82830960542196      -219.9788517842357       -89.93313069461146
2am1sa        -14.257448508869857     -32.54488810687326      -61.33637295977326       -35.630514155258425
1am1dma1p     -14.306198255697382     -22.874377202999312     -28.737813004541295      -24.28910042186908
1sa1tma       -14.313801626907662     -24.895983652008        -35.4928124270855        -27.651481310167583
2ma1sa        -14.460752110637259     -36.70306627964601      -74.60108726864976       -39.57555347890593
3am1p         -14.538100997800939     -31.211459082871443     -55.9227170386915        -33.59488168495591
4sa           -15.18531841575168      -51.51587903825566      -121.85329740935529      -55.20494539686479
1ma1sa1w      -15.35910615521425      -36.13263651179295      -69.67476222272887       -40.3241747235661
2dma1p        -15.367598687240388     -26.435617915005423     -37.12231838932486       -27.214921825550846
1mbtca2sa     -15.459520999691449     -43.26187306037173      -93.24954573398318       -45.86339922377374
2ca           -15.466995127964765     -33.46962681901641      -60.38112255946962       -35.552659607026726
1sa1tma1w     -15.481548019786715     -35.84155377542629      -68.28779391461455       -40.38403361518431
1b1dma5w      -15.578587883268483     -77.51557797077112      -207.73768266836407      -88.73202720243717
3sa1w         -15.732690441407613     -51.579429915094806     -120.23055332490779      -54.76762098601466
1b4w          -15.784990350774024     -57.027225207333686     -138.3271335121992       -65.32892694303882
2pa1sa        -15.785140702675562     -46.503799176891334     -103.030885374186        -49.54534210159909
2dma1sa       -16.20972624764545      -39.09329257509671      -76.7518575463971        -43.13457379001193
3am1sa        -16.320875157718547     -45.35903755371692      -97.39447390941726       -51.13848254841287
2am1dma1sa    -16.4632849599584       -47.88677892868873      -105.39491520633811      -53.5003481808817
2homF2sa      -16.917462246259674     -62.854106797487475     -154.07226077899526      -67.78045064362232
1sa2tma       -17.0523098463309       -40.15339047746966      -77.4814040959757        -44.136467042553704
1oa1sa6w      -17.057912405056413     -92.29418898874428      -252.34370814589823      -104.40187461511232
1sa1tma2w     -17.20744989879313      -48.2080876694381       -103.97664856841814      -54.71678885059373
1b1dma4w      -17.284600719809532     -70.10218994968454      -177.15106231735547      -79.72682640238781
1am1dma1sa    -17.316522913053632     -38.39335459884023      -70.69203986503064       -43.01483473443659
1b5w          -17.423307292803656     -69.11893944669282      -173.38799984550948      -79.44407919800142
1dma1p2sa     -17.53993497567717      -40.36072252120357      -76.54129647991871       -43.026879215147346
2sa3w         -17.908407472481485     -61.00263967993669      -144.53876306413412      -67.19815484213177
1mea1sa1w     -18.068852440846968     -40.54853953872953      -75.39723997307593       -44.991187623854785
2mbtca1sa     -18.105316436558496     -48.504281493718736     -101.95862840009733      -51.25949957664125
1dma1sa1w     -18.19021749238891      -38.85858742622804      -69.32205243643645       -43.456864978456
2homF2sa1w    -18.198491669478244     -75.14562129628757      -191.00160867645903      -81.94251502262341
2ma1sa1w      -18.244476666135597     -50.63615988163656      -108.64223785218417      -56.30477906639135
2am1p1sa      -18.294922474771738     -36.67190859140828      -61.63671345540308       -39.58889908721903
