#CLUSTER   ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2w         1.8411917457415257      -4.66099722526269       -21.808448670125372      -6.430299091312918
3w         1.3140277183556464      -15.568298655882245     -56.62360011479821       -19.45103139601997
4w         -0.5390977410133928     -27.255857029085746     -89.60844973358675       -32.981857751932694
6w         -0.5944273218046874     -46.053877010941505     -152.4717413687382       -55.33090708596865
5w         -1.011399451555917      -37.23161360426457      -121.4831935358321       -44.81986487220274
7w         -1.0409748365054838     -59.380767758062575     -195.6726242549156       -71.41188931884244
1msa1w     -2.13343833838735       -12.14127494701097      -33.566448460707626      -13.926622618193505
8w         -2.877920812694356      -72.49687156948494      -233.50310500326998      -86.62848240404855
1sa1w      -3.30381764521735       -12.469794878656103     -30.742838280859424      -14.160736457357416
1msa2w     -4.698706590585061      -24.861909289858886     -67.6277132288146        -28.395383355673403
9w         -5.630588598840404      -85.42491059546592      -267.63146737088607      -101.40102299134014
2sa        -5.794637149083428      -17.86513896996621      -40.48466148194939       -19.171219399780966
1sa2w      -6.029244910940179      -25.308447096627788     -64.66276097836757       -28.590263824909925
2msa       -6.15864097175654       -19.675376092549413     -45.335351737863945      -21.12696301995311
10w        -6.426809790544212      -97.22219720273279      -304.5292215736746       -115.34879308816744
1msa3w     -7.071885034849402      -37.43419723055558      -101.83569409890758      -41.91140503328643
1sa3w      -8.11939392745262       -37.205639177176636     -97.55574459031394       -42.38170849173912
2msa1w     -8.214862069849914      -31.503518784571497     -78.11053736217119       -34.32585158388247
1msa1sa    -8.566128910752013      -21.813260163296945     -44.43109593279519       -23.320732960419264
1b1gd      -9.393819323726348      -20.29442371793266      -36.56080628628139       -21.65999544330407
2sa1w      -10.198105688476062     -32.06834049014287      -73.35312695522992       -35.023924826207804
2msa1sa    -12.158946573908906     -38.56680368835805      -88.57238676624745       -40.954981024668086
1msa1sa1w  -12.523657753052248     -35.258775768721534     -76.25395946847715       -37.998840621410636
2msa2w     -13.049239439147641     -48.3452042046265       -118.38324590087996      -52.184903727436904
1msa1sa2w  -13.506415745374397     -46.39582330211124      -110.31161347142924      -50.640964598511346
2sa2w      -14.28022197233804      -47.51740216273174      -111.47804860103396      -52.03525179188
1msa2sa    -14.343788940343075     -40.33017017354723      -87.15874973380774       -42.727665077196434
