#CLUSTER   ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
10w        12.889488337154035      -77.90589907485992      -304.5292215736746       -96.03249496035278
8w         11.972146089712624      -57.64680466684513      -233.50310500326998      -71.77841550158337
9w         11.557714820432011      -68.23660717601888      -267.63146737088607      -84.21271957200952
7w         11.52920243202243       -46.81059048953466      -195.6726242549156       -58.84171205019811
6w         9.408645089599304       -36.0508045994211       -152.4717413687382       -45.32783467450645
5w         7.039586827508174       -29.18062732508406      -121.4831935358321       -36.768878593080444
4w         5.400222955620848       -21.3165363324224       -89.60844973358675       -27.042537055298453
3w         4.828289890807355       -12.054036483372329     -56.62360011479821       -15.936769223539159
2w         3.180257827960304       -3.3219311430002563     -21.808448670125372      -5.091233009065036
1msa1w     -0.989704531384632      -10.997541139819077     -33.566448460707626      -12.78288881095068
1msa2w     -1.1195964988437481     -20.959041736408835     -66.54182538204999       -24.494387530052336
1msa3w     -1.6958009848603979     -31.866234470100608     -101.19212975164092      -36.412769515416585
1sa1w      -1.9607017095549963     -11.126678943095612     -30.742838280859424      -12.817620521629578
1sa2w      -2.4730714523466304     -21.692249844636535     -64.46144018863141       -25.011105491110357
1sa3w      -3.3917469165171497     -32.47799216618296      -97.55574459031394       -37.65406148071634
2sa        -6.25226155272685       -18.3227633733768       -40.48466148194939       -19.628843803191558
2msa1w     -6.42962435138179       -29.71828106585599      -78.11053736217119       -32.54061386505782
2msa       -6.533268190687522      -19.7807327688206       -44.43221391355712       -21.25064021279104
2msa3w     -7.923384438327048      -53.305871460353956     -152.2136073192657       -58.78212315903511
2msa2w     -8.118132330127992      -43.41409709546133      -118.38324590087996      -47.25379661816987
1msa1sa    -8.37079028802691       -21.617921540571842     -44.43109593279519       -23.125394337519538
2sa1w      -8.955623277521227      -30.8258580792899       -73.35312695522992       -33.78144241512928
1msa1sa2w  -9.547634787508287      -42.437042344216025     -110.31161347142924      -46.682183640572475
1msa1sa3w  -9.62686172540998       -52.874953537248075     -145.05481070578608      -58.482558026735205
1msa1sa1w  -10.465296605369076     -33.200414620674565     -76.25395946847715       -35.940479473545565
2sa2w      -10.702624037861824     -42.53132946320693      -106.75400109159472      -46.68203513845219
2sa3w      -11.742043379403185     -55.09666623175144      -145.41211756574037      -61.258196378475986
2msa1sa    -12.441313121351413     -38.84917023580056      -88.57238676624745       -41.237347571819555
2msa1sa1w  -14.05311196524417      -50.58029685453221      -122.51277843137217      -54.548709095906815
1msa2sa    -14.381268640514463     -40.36764987348579      -87.15874973380774       -42.76514477736782
1msa2sa1w  -15.995388712792192     -52.714329385358724     -123.15593047925123      -56.246232110934216
2msa1sa3w  -16.8949736354989       -75.09016420866828      -195.18762560263758      -82.16467301530065
1msa2sa2w  -16.953308300464414     -64.13105950769386      -158.23495290092822      -69.68810004528495
2msa1sa2w  -17.00920811202377      -66.41471669261227      -165.70688774429527      -70.87813060198096
1msa2sa3w  -18.0760759205441       -75.75362901645713      -193.45146099589704      -83.36932468926534
2msa2sa    -18.57535801862832      -58.39575391623657      -133.55826227728966      -62.03887456806842
2msa2sa1w  -22.494635520444717     -72.33570150313608      -167.1677544275763       -77.31447506036784
2msa2sa2w  -24.657711814390495     -86.80685853536124      -208.44925950468667      -92.67564517070423
2msa2sa3w  -27.347204263845924     -100.24427395209204     -244.49796977497508      -107.31948955939151
