#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
2w        -152.67115309419756 -152.63868699208598 0.00010889184005220647
3w        -229.00663736580304 -228.96929918289038 0.00012523287913015463
4w        -305.3438365280115  -305.3007566198668  0.00014449071992201382
5w        -381.67933461340107 -381.62998552748735 0.00016551764519082878
6w        -458.01366984476414 -457.95763051643615 0.00018795682820078478
7w        -534.3484010916358  -534.2914740552177  0.00019093421572407174
8w        -610.6858058136696  -610.6254393914843  0.0002024699721122455 
9w        -687.0245768637162  -686.9590120417108  0.00021990549054257404
1msa1w    -739.8717106363048  -739.8302813051272  0.00013895465764708997
10w       -763.3605651305952  -763.2911177497708  0.00023292765663008927
1sa1w     -775.792395498175   -775.751779627617   0.00013622629736072568
1msa2w    -816.2100282394327  -816.1628526821925  0.00015822759429896284
1sa2w     -852.131322624724   -852.0853136619204  0.00015431481738601728
1msa3w    -892.5490570941698  -892.4969311311555  0.00017483133662308178
1sa3w     -928.4708972473351  -928.4191985653353  0.00017339822907890164
2msa      -1327.0744571740024 -1327.02364068006   0.00017043935583494713
1msa1sa   -1362.9965229454765 -1362.9478609831117 0.0001632130215164487 
2sa       -1398.912284283613  -1398.8639022863197 0.00016227401406345348
2msa1w    -1403.4124026102934 -1403.3561738863125 0.00018859206433289612
1msa1sa1w -1439.3379713931579 -1439.2830156027806 0.00018432262410563246
2sa1w     -1475.2547030141575 -1475.2005239931989 0.00018171732671044006
2msa2w    -1479.7532040517635 -1479.694696335218  0.00019623584284948292
1msa1sa2w -1515.6746195958444 -1515.6144318094753 0.00020187082465009275
2sa2w     -1551.5955976707703 -1551.5358745932915 0.00020031218339293838
2msa3w    -1556.0910043030074 -1556.0271565953137 0.000214146260920499  
1msa1sa3w -1592.012856458275  -1591.9477624029846 0.00021832653124407827
2sa3w     -1627.935364712983  -1627.8725954902345 0.00021052900469109453
2msa1sa   -2026.5350326239434 -2026.4713798844407 0.00021349233440511175
1msa2sa   -2062.4572616351497 -2062.395092286918  0.00020851701570196137
2msa1sa1w -2102.875711820365  -2102.8067713691744 0.0002312274063076808 
1msa2sa1w -2138.7979445307224 -2138.7314647277476 0.00022297435175256043
2msa1sa2w -2179.218533313003  -2179.1487019353453 0.00023421558831841137
1msa2sa2w -2215.13758169347   -2215.0663551846033 0.00023889488132377453
2msa1sa3w -2255.556461871865  -2255.479223835228  0.0002590576442621443 
1msa2sa3w -2291.47748156099   -2291.401573670785  0.0002545963112679082 
2msa2sa   -2725.995968231472  -2725.919881071176  0.0002551975860985094 
2msa2sa1w -2802.3403246671382 -2802.258792572496  0.0002734599853841158 
2msa2sa2w -2878.6818823891604 -2878.5985506186857 0.0002794961277007138 
2msa2sa3w -2955.0242790173797 -2954.936661275755  0.00029387134537921754
