#CLUSTER  ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1fd1gd    4.44398364481458        -4.671186213308829      -30.572429509085076      -6.146742659155279
1gd1ml    -1.0030323192186188     -11.227443603507709     -34.29284348248721       -12.825417728949105
1gd1w     -1.4703146615574951     -10.804633861836919     -31.307460004371755      -12.501945454452652
2gd       -2.9045263974403497     -13.931926051533083     -36.98607967169167       -15.076331857737387
1gd1pxml  -2.976728735418874      -14.446013320004568     -38.4681689906848        -15.98935813526623
1gd1pxfa  -5.514577202906366      -16.79443698178511      -37.83283507944526       -17.956506622431334
3gd       -5.519387223874219      -28.92957982554799      -78.51817072527055       -31.79375411377987
2sa       -5.794623868074268      -17.86513900780119      -40.48470615341188       -19.171219399780966
1fa1gd    -8.995985801215284      -20.219681572314585     -37.64446007417083       -20.916644094424555
3sa       -10.029917237581685     -34.67613419354893      -82.66381672269685       -37.156091667944565
4sa       -15.526187601033598     -51.6153751979582       -121.04372831405766      -55.378580496879295
4gd       -15.710026243468747     -52.11785729118856      -122.11246368529467      -56.22502431360772
1gd1sa    -23.362822489172686     -33.57917704450665      -34.2658210813716        -34.60966880619526
2gd1sa    -33.25207328487886      -57.04251286928775      -79.79352535481001       -60.610799656424206
1gd2sa    -41.529981906176545     -66.53702293732204      -83.87402660134869       -69.97281121218111
3gd1sa    -43.89129041344859      -80.04602584813256      -121.26357683954602      -85.17236206901725
4gd1sa    -51.84803625440691      -100.67029625200666     -163.75066241013752      -107.4239855382475
1gd3sa    -53.16109443199821      -90.86968226521276      -126.47522332090512      -95.93002124479972
1gd4sa    -60.40752191399224      -111.95795525447465     -172.9010006382707       -117.77066099643707
2gd2sa    -73.86068084428553      -109.54330090072472     -119.68009410177137      -114.88149725156836
3gd2sa    -81.1135189369088       -132.31999640527647     -171.74736699156924      -139.64868612249848
2gd3sa    -89.82017283397727      -140.92904863064177     -171.42000938069904      -147.86938894703053
4gd2sa    -93.68547472648788      -156.21254862716887     -209.7168334757101       -164.94044240086805
2gd4sa    -99.59671633900143      -165.5656982259825      -221.26104942813075      -173.16378011065535
3gd3sa    -121.2878357891459      -184.58552479115315     -212.30148918989644      -194.23283401643857
3gd4sa    -138.98183055617847     -216.12355828960426     -258.73462261723955      -226.64273897348903
4gd3sa    -145.39198520919308     -221.34292483422905     -254.74069973181994      -232.21930228639394
4gd4sa    -180.100267625181       -269.7179629143793      -300.5792228381089       -283.39467190857977
