#CLUSTER  ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1fd1gd    4.822280941079953       -4.292888916985248      -30.572429509085076      -5.768445362860803
1gd1ml    0.2462636224954622      -9.978147661822732      -34.29284348248721       -11.576121787249576
1gd1w     0.16794788192783017     -9.166371318337042      -31.307460004371755      -10.863682910960051
2gd       -1.3951485858124215     -12.42254823987605      -36.98607967169167       -13.56695404605125
3gd       -1.4847693865885958     -24.894961988262367     -78.51817072527055       -27.75913627643604
1gd1pxml  -1.532499319378985      -13.001783903921023     -38.4681689906848        -14.54512871922634
1gd1pxfa  -2.8254182036907878     -14.105277982598636     -37.83283507944526       -15.267347623157548
2sa       -6.248262980370782      -18.318778120330535     -40.48470615341188       -19.62485851207748
1fa1gd    -6.395123488895479      -17.618819260023884     -37.64446007417083       -18.3157817820902
4gd       -8.486672935890965      -45.05118217493873      -122.63796491435599      -49.21371687820647
3sa       -10.727711179293692     -35.37392813549377      -82.66381672269685       -37.85388560942374
4sa       -16.5451176550705       -52.63430525222793      -121.04372831405766      -56.397510550450534
1gd1sa    -19.14188819611445      -29.35824275156483      -34.2658210813716        -30.38873451325344
2gd1sa    -27.061535868328065     -50.85197545285337      -79.79352535481001       -54.420262239989825
3gd1sa    -35.9655873986776       -72.12032283347799      -121.26357683954602      -77.24665905424627
1gd2sa    -37.18409622798208      -62.19113725912757      -83.87402660134869       -65.62692553375382
4gd1sa    -40.72787822288228      -90.97267349337926      -168.52186909455094      -97.76503660046728
1gd3sa    -48.496474388521165     -86.20506222173572      -126.47522332090512      -91.26540120132267
1gd4sa    -56.13264184980653      -107.68307518959045     -172.9010006382707       -113.49578093155287
2gd2sa    -65.19399317586794      -100.87661323253997     -119.68009410177137      -106.21480958338361
3gd2sa    -70.64132823282853      -121.8478057011962      -171.74736699156924      -129.17649541795254
4gd2sa    -79.08968544960953      -144.19174367981032     -218.35337323657268      -154.12918488588184
2gd3sa    -79.99967828718945      -132.0521264455747      -174.58476658802195      -139.16256174212322
2gd4sa    -89.72533785225824      -155.69431973900646     -221.26104942813075      -163.29240162367932
3gd3sa    -107.0217450549826      -170.3194340565242      -212.30148918989644      -179.96674328134395
3gd4sa    -122.57959164655767     -201.08706930396147     -263.3153703076424       -211.39165239571594
4gd3sa    -128.01869515655562     -203.96963478182442     -254.74069973181994      -214.8460122339893
4gd4sa    -161.42174425022677     -251.03943953942508     -300.5792228381089       -264.71614853315987
