#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1gd1w     -281.6851766939685   -281.6468057634843   0.00012869673145809727  -281.757139834
1fd1gd    -319.73462633386595  -319.69184772331346  0.00014348016284578411  -319.807079592
1gd1ml    -320.94514772628713  -320.9025959210588   0.00014271945406119815  -321.043290177
1fa1gd    -394.99418874646926  -394.95206280439714  0.00014129110203620792  -395.073737391
1gd1pxml  -396.0563188532071   -396.0121135713808   0.00014826524174504606  -396.157330264
2gd       -410.55907802540077  -410.51298705645644  0.00015458986732963442  -410.679206942
1gd1pxfa  -470.08705057818264  -470.0422314404175   0.00015032412465252194  -470.169128323
3gd       -615.8404697744669   -615.7822800306607   0.00019516935705596363  -616.03343864
4gd       -821.1339344191099   -821.0646257292209   0.00023246248495383104  -821.399963264
1gd1sa    -905.428900249547    -905.379540117327    0.0001655546946840929   -905.508757118
2gd1sa    -1110.7218845965278  -1110.6623241538061  0.00019976670374521486  -1110.8777835
3gd1sa    -1316.0160641032655  -1315.9443754083768  0.00024044506083766481  -1316.24451576
2sa       -1400.238122771839   -1400.189740795771   0.0001622739428742122   -1400.28257563
4gd1sa    -1521.305968775799   -1521.2226350594412  0.00027950265422722333  -1521.60756686
1gd2sa    -1605.5722959374268  -1605.5126976252166  0.00019989371863206963  -1605.69112447
2gd2sa    -1810.9010433774006  -1810.8266256436984  0.00024959830186895764  -1811.09028227
3gd2sa    -2016.1898262899613  -2016.108315437887   0.00027338873746133213  -2016.45734222
3sa       -2100.359316388896   -2100.2971663936823  0.0002084521053612749   -2100.43724866
4gd2sa    -2221.4870858435847  -2221.3917834812905  0.0003196456893981018   -2221.82523813
1gd3sa    -2305.705275664122   -2305.6321098815856  0.00024539923708353183  -2305.85850236
2gd3sa    -2511.040920886997   -2510.957277827848   0.000280540195031981    -2511.26886438
3gd3sa    -2716.368292977398   -2716.2722420138016  0.0003221565104697115   -2716.67034051
4sa       -2800.4825195214357  -2800.4047963664234  0.0002606847392658834   -2800.59230036
4gd3sa    -2921.6839304409764  -2921.576211708705   0.00036129039836091864  -2922.05846694
1gd4sa    -3005.8312678783373  -3005.7463518258787  0.0002848098355141987   -3006.01932001
2gd4sa    -3211.1709451393426  -3211.0771745285424  0.00031450816971413014  -3211.43518599
3gd4sa    -3416.5109346216323  -3416.403136883275   0.0003615553860719975   -3416.84800153
4gd4sa    -3621.8536863582085  -3621.733938329711   0.00040163685560194447  -3622.26603294
