#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1gd1w     -281.3586239089675   -281.32025297848327  0.00012869673145809727  -281.430587048999
1fd1gd    -319.350064481037    -319.30728587048446  0.00014348016284578411  -319.422517739171
1gd1ml    -320.55340753914913  -320.51085573392083  0.00014271945406119815  -320.651549989862
1fa1gd    -394.53715517982926  -394.4950292377572   0.00014129110203620792  -394.61670382436
1gd1pxml  -395.5977703343561   -395.5535650525298   0.00014826524174504606  -395.698781745149
2gd       -410.0437852312278   -409.99769426228346  0.00015458986732963442  -410.163914147827
1gd1pxfa  -469.56548839290065  -469.52066925513554  0.00015032412465252194  -469.647566137718
3gd       -615.0647090012869   -615.0065192574807   0.00019516935705596363  -615.25767786682
4gd       -820.0966483087198   -820.0275893039977   0.0002316250367997006   -820.363015073703
1gd1sa    -904.502446087927    -904.4530859557069   0.0001655546946840929   -904.58230295638
2gd1sa    -1109.5358479288025  -1109.4762874860808  0.00019976670374521486  -1109.691746832275
3gd1sa    -1314.5708185332664  -1314.499129838378   0.00024044506083766481  -1314.799270190001
2sa       -1398.9122779114166  -1398.863895935349   0.0001622739428742122   -1398.956730769578
4gd1sa    -1519.5991887538182  -1519.518122015105   0.00027189917394997615  -1519.903115446956
1gd2sa    -1603.982358757134   -1603.9227604449238  0.00019989371863206963  -1604.101187289707
2gd2sa    -1809.0477767784514  -1808.9733590447495  0.00024959830186895764  -1809.237015671051
3gd2sa    -2014.07723869774    -2013.995727845666   0.00027338873746133213  -2014.344754627779
3sa       -2098.370576724064   -2098.308426728851   0.0002084521053612749   -2098.448508995168
4gd2sa    -2219.111483099599   -2219.0202842783706  0.0003058823452214802   -2219.455666483494
1gd3sa    -2303.451546649135   -2303.3783808665985  0.00024539923708353183  -2303.604773345013
2gd3sa    -2508.522531666866   -2508.440392301503   0.0002754967813633246   -2508.752249920057
3gd3sa    -2713.5863754643465  -2713.4903245007495  0.0003221565104697115   -2713.888422996948
4sa       -2797.8310077309425  -2797.7532845759306  0.0002606847392658834   -2797.940788569507
4gd3sa    -2918.640617528184   -2918.5328987959133  0.00036129039836091864  -2919.015154027208
1gd4sa    -3002.914876066038   -3002.8299600135783  0.0002848098355141987   -3003.1029281977
2gd4sa    -3207.989190935744   -3207.895420324943   0.00031450816971413014  -3208.253431786401
3gd4sa    -3413.062329010744   -3412.956707755884   0.0003542554246528443   -3413.401230416051
4gd4sa    -3618.145009508346   -3618.025261479848   0.00040163685560194447  -3618.557356090137
