#CLUSTER  ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1b     0.528676655725576       -9.236631539824884      -32.75300417761956       -11.026213391742203
2sa       -6.117627207539044      -17.601750553934835     -38.51793844186547       -18.828433335991576
1am1sa    -8.585906381369568      -17.535986863425933     -30.018717028342863      -18.910508092842065
3sa       -11.070310018491        -36.075975304469466     -83.86941232903652       -38.40216830000281
1am1p1sa  -13.726157429511659     -20.391584881814197     -22.35595321926462       -21.23170688742539
2am1sa    -14.222834653279278     -32.59687058912823      -61.62681849995842       -35.68319943262031
2am1p     -22.131338830236928     -29.28765513181861      -24.002402487276328      -29.76824816138833
1am2sa    -23.213781218393706     -45.78627520869486      -75.70851581481156       -49.57295650045853
1b1sa     -33.37595717346994      -47.24782348622102      -46.52646759231716       -48.20164796488825
1am3sa    -33.51055664685555      -68.54143366590142      -117.49413724278116      -74.17703788913786
2am2sa    -33.54816602228675      -66.13882444810588      -109.30960397680659      -72.3983102296479
1am1b1sa  -34.5135823347955       -58.76932973484509      -81.35417541504651       -62.23687691986561
2am1p1sa  -36.54415256890934      -54.13880258012796      -59.012745299866296      -57.34983630484203
2am1b1sa  -37.866687157715205     -72.54111449816264      -116.29859916273134      -78.15440152364317
3am2sa    -40.044879572233185     -84.49606236652471      -149.0899976333055       -92.83622211986221
3am1p1sa  -47.77925391565077      -75.19031076028477      -91.9371351486273        -79.19025191268884
2am3sa    -49.297322458121926     -95.5838974271901       -155.24593315051413      -103.13744452386163
1b2sa     -49.844851522822864     -76.62032841832843      -89.8053895535272        -78.72778264072258
2am1p2sa  -50.579265266191214     -81.40252232155763      -103.38171073366719      -85.75962110550608
1am1b2sa  -61.43488420138601      -99.40515223925468      -127.35290302892444      -104.3329997601686
2am4sa    -61.53285042056814      -121.12391559686512     -199.8694119615676       -130.82590395840816
1b3sa     -61.93474208889529      -101.00967747438699     -131.05797546563406      -104.7135628850665
3am3sa    -63.08490154100582      -121.47467739600688     -195.84026783441098      -132.11899801017717
2am1b2sa  -71.45663743431214      -119.85743692598771     -162.33707694733124      -128.06261668738443
4am3sa    -71.45977761223912      -140.80592788918875     -232.58812771017983      -153.32440254441462
3am1p2sa  -71.65803999721538      -113.0737864789553      -138.9090943535312       -120.9345099759521
3am1b2sa  -73.66296457021963      -132.2116384842666      -196.37321453579835      -142.0504126906162
1am1b3sa  -77.81660611461848      -129.1007230868563      -172.0077711625077       -135.9365382620599
3am4sa    -78.29286227584817      -149.89799561584368     -240.16479402916184      -161.57733593089506
3am1p3sa  -82.56854543462396      -137.9108600502368      -185.6190327547052       -146.20401437068358
4am1p2sa  -82.69492595491465      -133.05263977928553     -168.90059977916133      -141.3883478922071
3am5sa    -89.97936014737934      -174.8769604996778      -284.7479468454519       -187.861995854415
2am1b3sa  -90.26005491893739      -152.1146850164514      -207.46144590794358      -161.2217602264136
4am4sa    -93.93366373004392      -176.1761732492596      -275.8427285558297       -191.246061677346
3am1b3sa  -102.02759316656739     -174.96156193315983     -244.621729888797        -187.96463400963694
4am1p3sa  -102.27874260349199     -167.8281895434484      -219.85392232061434      -179.868472144939
5am4sa    -102.42897206055932     -196.15418032812886     -314.3558888731785       -213.19724725210108
2am1b4sa  -107.44407731061801     -182.9098414836917      -253.11341329200496      -192.67154166824184
4am5sa    -107.76614017831162     -202.0986832245253      -316.3928997015712       -218.96680614119396
4am1b3sa  -110.63731058966368     -194.78926691506058     -282.2470445247858       -209.44201716966927
5am1p3sa  -112.47702740086243     -190.7891934355721      -262.66029191644844      -204.23614667286165
4am1p4sa  -118.38580388901755     -198.85430833604187     -269.8926863895008       -211.439945243299
3am1b4sa  -120.84064075350761     -208.06308334250934     -292.54550591731555      -221.52059162105434
4am6sa    -120.99616295518354     -230.49028922291473     -367.24509900356406      -248.1727811805904
5am5sa    -126.17786763841286     -234.01261284109205     -361.6795076382185       -253.6487161051482
5am1p4sa  -132.44426476280205     -222.61369544407353     -302.4297524106682       -239.35513268155046
6am5sa    -133.16673130448908     -251.6030719964765      -397.23743314235855      -272.4441639925353
4am1b4sa  -135.92928599007428     -233.3928600314539      -326.89442911776683      -250.70939679793082
3am1b5sa  -137.2386399586685      -235.69054936431348     -330.209322171994        -251.58895030850545
5am6sa    -139.35705259628594     -259.87387652136385     -404.21540809820624      -281.0308787752874
5am1b4sa  -143.40496238600463     -253.42591954977252     -369.01209848547217      -271.89007143932395
6am1p4sa  -146.95026567368768     -249.2915459999349      -343.25433616116476      -266.70999131561257
5am1p5sa  -148.59301688708365     -254.083926520776       -353.8182446189702       -271.70750188827515
4am1b5sa  -152.4858718640171      -262.5493417652324      -369.1546869072452       -280.4954983606003
6am6sa    -156.55041662836447     -288.09891448076814     -441.2158237547706       -312.2321550985798
5am1b5sa  -164.61802600184456     -286.31542884837836     -408.17508920556116      -307.7125949864276
6am1p5sa  -167.57430043676868     -284.78705471986905     -393.1335042191986       -305.69822984794155
6am1b5sa  -178.38331167260185     -312.53703829599544     -449.9538038669534       -336.00902187172323
6am1p6sa  -180.90064150188118     -309.61099788127467     -431.6966506087641       -331.38486058684066
