#CLUSTER      ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1mb           10.39011919562472       9.011319554352667       -4.624516656850972       9.000629440706689
1am1mb        10.231406519305892      0.8011238036560826      -31.62932321196243       -0.7225156137137674
2am           2.95237548967998        -2.751407561765518      -19.13058209440257       -4.294750134082278
1am1b         0.5286592558841221      -9.236631537729409      -32.75294581126784       -11.026213391742203
1am1msa       -5.851298752706498      -15.65699931042036      -32.88848082425324       -17.19945550255943
2sa           -6.115844199084677      -17.601751622278243     -38.52392226464444       -18.828065619338304
2msa          -6.160268687759526      -19.677254870766774     -45.336193805282946      -21.126931644859724
2am1msa       -7.9057222996489145     -28.58670016960241      -69.3643396608815        -32.70014492358314
1msa1sa       -8.56793930591084       -21.809490418585483     -44.41238005221305       -23.320153775333893
1am1sa        -8.584142463630997      -17.535360186069738     -30.02253135139552       -18.910323607036844
1am1mb1msa    -9.2768811279675        -32.79703670134768      -78.88698833908316       -35.03294078935869
1mb1msa       -11.456485108588822     -25.73790676658973      -47.900122951969564      -26.264921816182323
1am1p1sa      -13.735726416110992     -20.39032701047836      -22.319639759880438      -21.23013436491601
2am1sa        -14.230297765636351     -32.59874207054963      -61.60806407826432       -35.68299737671623
1am2msa       -15.415572072612122     -39.355522590340115     -80.29498748184426       -43.143295956309885
1am1msa1p     -18.009264520078432     -26.032075105031254     -26.90863855432338       -26.83088540875906
2am1p         -22.17621824167145      -29.293893655281863     -23.87280031396945       -29.767830244381912
1am1msa1sa    -22.356212522718124     -46.08574003475951      -79.58922526233292       -49.813551190833095
1am2sa        -23.23134780069813      -45.79376887611579      -75.67473109349487       -49.572067956323735
1b1msa        -23.935710887773894     -38.15544782782672      -47.69323139390008       -39.138019105710555
1am1b1msa     -24.20152049639728      -46.3859353713342       -74.40689208430851       -50.57234225102002
1mb2msa       -24.505092110775877     -52.02388245455222      -92.29847507487457       -54.43130573286908
3am2msa       -25.43664397567045      -69.80501258012373      -148.81223747898702      -77.82878381665796
3am1msa1sa    -26.497718587401323     -68.81691647140542      -141.93928520507194      -76.15467358293245
2am2msa       -26.60629356885329      -61.226220288896        -116.11580318638656      -68.02313215774484
2am3msa       -28.346859586192295     -75.6801428089384       -158.7566098363646       -82.90577329159714
1am1mb2msa    -30.07007243396947      -68.35527804988669      -128.40920884094177      -74.01130179647589
2am1msa1sa    -31.2120052522514       -65.5585648434353       -115.19892534298566      -72.0833765140851
1b2msa        -31.687539950828068     -58.94682452501729      -91.42808845934616       -61.152645986992866
3am1p         -33.33638403535588      -48.81847173096321      -51.92717657422276       -51.505102556613565
1b1sa         -33.37507835053839      -47.24782406282611      -46.52941711296792       -48.201464106561616
2am2sa        -33.49445363099221      -65.31899023044389      -106.74001878031902      -71.87786802649498
1am1b1sa      -34.56804980139714      -58.787432941258885     -81.23220908883988       -62.2365989361424
2am1msa1p     -35.2953919256106       -54.2778780577064       -63.66757045798282       -57.01446983662754
2am1p1sa      -36.506863416405395     -54.27159610908711      -59.58320540900601       -57.534551853023004
3am4msa       -36.71745646675117      -107.14723135298118     -236.22262245987565      -117.11452905088663
3am2sa        -39.80328880704474      -83.06595718616154      -145.1037007517372       -91.45419319765642
4am3msa       -40.5657321983017       -108.1724365928676      -226.7539976327459       -119.30567464861088
2am2msa1sa    -40.95055312878685      -86.78003533062292      -153.71283649819662      -94.26316846016562
1am1b2msa     -41.01787680934649      -79.38954814267345      -128.6992162777035       -84.49238275038078
1b1msa1sa     -41.04970077762846      -67.93498582806205      -90.17368790968447       -70.53144262038404
2am1mb2msa    -41.147087450895924     -90.68335065577412      -166.14544090194994      -98.72832606948214
2am1msa2sa    -42.76156568911392      -89.02456601022277      -155.16686339480464      -97.02028988651
3am2msa1sa    -44.25304261298152      -101.55753137887223     -192.2001971018936       -111.07486601354321
1am1mb3msa    -44.38697798020439      -96.4264566267957       -174.5412666332219       -103.31815986597212
3am1msa1p     -45.170883593091276     -74.13369592049276      -97.14174854081037       -78.35442419177707
3am1p1sa      -47.778363403107505     -75.19031146116322      -91.94012429350389       -79.1900680543622
3am3msa       -48.92219992401078      -107.59935612906702     -196.80414625145895      -118.45813659206033
4am4msa       -49.17494279774837      -131.6448556606192      -276.60544310843596      -144.69843255518936
2am3sa        -49.38307912205346      -95.85441389796324      -155.8656205804412       -103.60233074915595
4am2msa1sa    -49.479817934159655     -116.86564294848358     -226.01316456184102      -128.30037042073673
1b2sa         -49.84307726530824      -76.62032956758048      -89.81134429736093       -78.72741492406931
2am1p2sa      -50.59039831766859      -81.41064711275976      -103.37162097965518      -85.75907768798061
2am1b2msa     -50.75230597204063      -99.22515466832556      -162.57873116367807      -107.28222608449869
3am1msa2sa    -51.49901906109881      -107.94722329278011     -189.32820470157026      -117.17045400082134
1am1b1msa1sa  -51.645551477442496     -89.49026935914299      -126.93180574073199      -94.4460788074066
