#CLUSTER      dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am           -56.46366566553122   -56.44181748438735   7.32791586244093e-05    -56.480272739205
1am1p         -56.78521661972597   -56.764116647409566  7.076965392054345e-05   -56.817949933454
2am           -112.9208648574172   -112.88625814577884  0.00011607147958524956  -112.965628153731
2am1p         -113.27865762216335  -113.24705232349994  0.00010600469114000417  -113.340096138184
3am1p         -169.75692895144726  -169.71680514860088  0.00013457589416857838  -169.851830407199
1mb           -663.0221086781339   -662.9877943383374   0.00011509085962307107  -663.044397505722
1msa          -663.5313314773668   -663.4953679958717   0.00012062210798322522  -663.564428640772
1b            -698.954773042963    -698.9204145933403   0.00011523880470454479  -698.953317094373
1sa           -699.4503993452466   -699.4165890336855   0.00011340034063806358  -699.46196604819
1am1mb        -719.485268272195    -719.441936738635    0.00014533467569913965  -719.539406223898
1am1msa       -720.0009017581875   -719.9587166352745   0.00014148959554908462  -720.068690620758
1am1msa1p     -720.3449736920327   -720.3006955326102   0.0001485096744008828   -720.424862461937
1am1b         -755.4167644639472   -755.3761199751841   0.00013632228329034417  -755.450329640673
1am1sa        -755.9237836161957   -755.882389944093    0.000138835056524517    -755.968413379706
1am1p1sa      -756.2575795662201   -756.2132741728278   0.00014860101758179506  -756.313822805392
2am1msa       -776.4633334281443   -776.4166311604524   0.00015664017337526943  -776.569157574093
2am1msa1p     -776.8331808496433   -776.784520043978    0.00016320914192635006  -776.950230311327
2am1sa        -812.3933351338045   -812.3451007412115   0.00016177894547393066  -812.472303389751
2am1p1sa      -812.7535193732338   -812.7050711038489   0.00016249629174808133  -812.847936563828
3am1msa1p     -833.3062677903396   -833.2516636297947   0.0001831432518691952   -833.458194298411
3am1p1sa      -869.2308303104342   -869.1759078347957   0.00018421088592499336  -869.358402728599
4am1msa1p     -889.7782135607032   -889.7163517068592   0.00020748567447303394  -889.964728645544
4am1p1sa      -925.7024958333951   -925.6408387337682   0.00020679892546364225  -925.865687731498
1mb1msa       -1326.588062027112   -1326.5383460549535  0.00016674818768473641  -1326.664832691888
2msa          -1327.0724757202406  -1327.022089668103   0.000168995646947206    -1327.16252118873
1b1msa        -1362.526060232298   -1362.4783991282045  0.0001598561264255528   -1362.581928117293
1msa1sa       -1362.9950361728895  -1362.9463643524339  0.00016324608571591137  -1363.063209431973
1am1mb1msa    -1383.0470112424264  -1382.990170100672   0.0001906461236104278   -1383.157835308549
1am2msa       -1383.5471108648617  -1383.4914868538976  0.00018656384693626008  -1383.674099661874
1b1sa         -1398.458630141379   -1398.4125692357945  0.00015448903432645718  -1398.492368489156
2sa           -1398.9107353415482  -1398.8614188658528  0.00016540826998144895  -1398.954127170773
1am1b1msa     -1418.985769339478   -1418.9289527073986  0.0001905639177570433   -1419.076042641002
1am1msa1sa    -1419.4766976022704  -1419.4228914273765  0.00018046679488251748  -1419.581725048107
2am2msa       -1440.0251761141194  -1439.964723723036   0.00020275831320933034  -1440.190587202749
2am2msa1p     -1440.3947437452343  -1440.3322269053724  0.00020968250834115478  -1440.569334003384
1am1b1sa      -1454.9191263188582  -1454.8677058185235  0.00017246520320281434  -1454.989937241476
1am2sa        -1455.3969329423849  -1455.3434200157403  0.00017948323543251816  -1455.478650464534
2am1msa1sa    -1475.9483241453331  -1475.8895892814394  0.00019699769878837924  -1476.091335507016
2am1msa1p1sa  -1476.3115938423664  -1476.2497974340247  0.00020726616918325996  -1476.464168740793
3am2msa       -1496.4819399109576  -1496.4151746300106  0.00022393184956165417  -1496.681448509565
3am2msa1p     -1496.884499070857   -1496.8171266137058  0.0002259683285298139   -1497.098079381455
2am2sa        -1511.8726669377445  -1511.8120661028536  0.00020325619617926927  -1511.990182986421
2am1p2sa      -1512.2256427619172  -1512.1641896848528  0.00020611463043452208  -1512.354161991435
3am1msa1sa    -1532.4029202550169  -1532.3350425489066  0.00022766294184252628  -1532.57653955369
3am1msa1p1sa  -1532.7855029802176  -1532.717062070269   0.0002295519367722226   -1532.972235524417
4am2msa1p     -1553.3414765535117  -1553.2650072331544  0.0002564793572254134   -1553.586643346565
3am2sa        -1568.3406880819043  -1568.276467077178   0.00021539830530524086  -1568.495954513522
3am1p2sa      -1568.7186711492886  -1568.6518902149992  0.0002239843511305815   -1568.885798218367
