#CLUSTER      dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1w            -76.33800253919222   -76.31658848583763   7.182308688436955e-05   -76.342019620258
1ml           -115.53272212824142  -115.50569916317467  9.063546894762405e-05   -115.561648255727
1dma1p        -135.2225214919792   -135.1914411114007   0.00010424410725632145  -135.305636903478
1mea1p        -135.22858641913353  -135.1974368268585   0.00010447624442407693  -135.311463261044
1p1tma        -174.44043358014133  -174.40646670020303  0.00011392547354795433  -174.549937712958
1p1propa      -174.44635075002324  -174.4117826687993   0.00011594191254047396  -174.555763144887
1ipropa1p     -174.45312838086306  -174.41885112459317  0.00011496648086498119  -174.562060353879
1dma1p1w      -211.57330209660338  -211.5328630753185   0.00013563314199192516  -211.674713926498
1mea1p1w      -211.57951972293043  -211.5397197616484   0.0001334897242395251   -211.681397113332
1dmea1p       -213.6616426190292   -213.62435067660712  0.00012507778776471782  -213.797676126753
1buta1p       -213.66331028085065  -213.6253890263258   0.00012718851089999384  -213.799331235827
1ibuta1p      -213.66601919813132  -213.62840731742915  0.00012615086601440255  -213.801810003353
1dea1p        -213.66858971235962  -213.63051329839845  0.00012770891819950363  -213.804128732902
1p1sbuta      -213.6708322885663   -213.63322207086551  0.00012614528828021595  -213.806386022317
1dma1ml1p     -250.7694391842996   -250.72574655541152  0.00014654579536502426  -250.897920278194
1mea1ml1p     -250.77632206120927  -250.73273173493067  0.00014620267073171798  -250.904685263519
1p1tma1w      -250.78932968371166  -250.74655580709842  0.0001434642851358032   -250.917690701471
1p1propa1w    -250.797221077145    -250.75350772540324  0.00014661530015670215  -250.925149572412
1ipropa1p1w   -250.80251939584673  -250.76020859441405  0.00014191112336971477  -250.931121552686
1dma1p2w      -287.9202713915177   -287.87079786163423  0.0001659350323108964   -288.040455723592
1mea1p2w      -287.9268066999646   -287.8781779409949   0.0001631016567823636   -288.047649007609
1ml1p1tma     -289.98576758809224  -289.939255162205    0.00015600344084274194  -290.14078072228
1ml1p1propa   -289.99359999711993  -289.946372647593    0.00015840130647983323  -290.148332695182
1ipropa1ml1p  -289.99904481013914  -289.95320043226855  0.0001537627968155047   -290.154403234217
1dmea1p1w     -290.0093527816397   -289.9633738479695   0.0001542140991788439   -290.164491087211
1dea1p1w      -290.0161136782613   -289.96997630694506  0.0001547455016476014   -290.171419689447
1IIebuta1p    -292.0985677775974   -292.05471428992075  0.00014708531838552788  -292.288056682767
1p1tea        -292.1027637389981   -292.05901094587205  0.00014674758720795413  -292.291854846294
1dpropa1p     -292.1028355406423   -292.05850760031484  0.00014867664037377317  -292.29203918791
1ipropea1p    -292.1131468665254   -292.069491732923    0.000146420035561059    -292.30156994505
1p1tma2w      -327.13128044272935  -327.0808920456668   0.00016900351186515934  -327.279971024026
1p1propa2w    -327.14270376778967  -327.09148020182175  0.00017180468209925247  -327.290977193633
1ipropa1p2w   -327.14881314195475  -327.0977249451014   0.0001713506518645422   -327.296528218587
1dma1p3w      -364.2603589385957   -364.2038018896435   0.0001896932716826013   -364.401382932562
1mea1p3w      -364.2700827074612   -364.2133538162606   0.0001902696334077804   -364.410873786415
1dma2ml1p     -366.3111963671101   -366.25518025976606  0.0001878789446389033   -366.485616127255
1mea2ml1p     -366.31796575967917  -366.2626070067412   0.00018567416715736907  -366.492987429767
1dmea1p2w     -366.3503242701229   -366.2972873582132   0.00017788667418983133  -366.526461717999
1dea1p2w      -366.3606938644894   -366.3064518202281   0.00018192870790286158  -366.535819950256
1p1tma3w      -403.4702725371653   -403.4123138017903   0.000194394550980927    -403.639138965698
1p1propa3w    -403.48340018778634  -403.42474845569694  0.0001967188733503974   -403.652266664075
1ipropa1p3w   -403.48810551771123  -403.4335185936844   0.000183085440304711    -403.660962538154
2ml1p1tma     -405.5226407525876   -405.46494178656184  0.00019352328031411222  -405.724618941231
2ml1p1propa   -405.5341473114205   -405.47604232883714  0.00019488506652168573  -405.736392172945
1ipropa2ml1p  -405.53973148554684  -405.4825383761768   0.00019182662877753563  -405.742271174868
1nona1p       -409.74277235754806  -409.69168326656023  0.0001713536508061668   -410.015296891298
1dbma1p       -409.75017788654424  -409.69780198310656  0.00017566964091128538  -410.020867088823
1p1tpropa     -409.7540628836709   -409.7023846111869   0.00017332977522703733  -410.025424494517
1dmea1p3w     -442.6882384020382   -442.6288900343948   0.0001990554004475452   -442.885926848486
1dea1p3w      -442.7007825289625   -442.6393916214726   0.00020590611266138408  -442.896756114904
1dpenta1p     -448.9678536488671   -448.9123300206815   0.0001862271614478501   -449.265864317648
1dma3ml1p     -481.84641818367766  -481.78266565855256  0.0002138270170219131   -482.072071413977
1mea3ml1p     -481.85588544582737  -481.78901559705133  0.00022428257177927672  -482.077832361611
3ml1p1propa   -521.0720075216467   -521.0021992741716   0.00023413800930756684  -521.32099441365
1ipropa3ml1p  -521.076459355757    -521.0085481015382   0.00022777546274961537  -521.326749672698
1p1tbuta1w    -603.7448420237893   -603.674289268873    0.00023663509950090108  -604.114945213794
