#CLUSTER         ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1msa1sa          -5.894892468408216      -18.082561558985617     -40.87764243049885       -19.292973806906957
1am1msa1sa       -22.101357179519255     -46.017325020220596     -80.21454918961669       -49.724773886206094
1msa1sa1tma      -26.490645166137256     -51.51598196211853      -83.9353908970793        -56.41387887150631
1ma1msa1sa       -27.4088308045757       -52.47941626032116      -84.08715564576369       -56.46873505838448
2am1msa1sa       -31.24194735608762      -65.54379246901954      -115.04895224832784      -71.9905322996783
1am1msa1sa1tma   -34.873709353851154     -70.68695684467093      -120.11822066353815      -77.95562432371662
1msa1sa2tma      -35.19821687921649      -72.63621964264894      -125.56767655128037      -80.77696396788815
1am1ma1msa1sa    -35.35836011898937      -70.6500465151039       -118.36889618005833      -77.3371070412104
1am1dma1msa1sa   -38.7525960674393       -74.64392501005204      -120.38010713675469      -81.64745162887266
2ma1msa1sa       -39.319422205735464     -75.90878242097097      -122.72131549694612      -82.55457931541605
1am1eda1msa1sa   -39.54437831550604      -76.2089720199001       -122.97364985527653      -83.16409061214654
1ma1msa1sa1tma   -39.907538737519644     -76.52446774570853      -122.81378168092412      -83.91677550334134
1eda1msa1sa1tma  -40.64586021238938      -79.342532400653        -129.78927448654952      -87.00995440446422
1dma1msa1sa1tma  -42.00615826086141      -79.9891137542727       -127.39545696275451      -88.15727900704951
1eda1ma1msa1sa   -43.23623301560292      -81.23683336150134      -127.45463808824712      -88.4463776711491
1dma1ma1msa1sa   -43.46026611403795      -80.41945782786934      -123.96173642063206      -87.476344001072
2dma1msa1sa      -45.8699825918884       -83.45419599156594      -126.05806942701211      -91.16300708201015
1dma1eda1msa1sa  -46.03335984057048      -84.87568178930087      -130.27778617804086      -92.55957964126719
2eda1msa1sa      -46.63131654897006      -87.07840128970565      -135.66018695533336      -94.70753056771355
