#CLUSTER         ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1msa1sa          -4.746094762929715      -16.933763853332493     -40.87764243049885       -18.14417610131204
1am1msa1sa       -18.012623413815163     -41.9285912544583       -80.21454918961669       -45.63604012038559
2am1msa1sa       -23.32164504379034      -57.62349015654763      -115.04895224832784      -64.07022998738103
1ma1msa1sa       -23.871983361896127     -48.942568817932624     -84.08715564576369       -52.931887615821324
1msa1sa1tma      -24.580830636870814     -49.60616743247374      -83.9353908970793        -54.50406434200704
1am1ma1msa1sa    -28.861720019951463     -63.00379529426573      -114.51308158429481      -69.82061034452636
1am1msa1sa1tma   -29.312823866697727     -65.1260713574884       -120.11822066353815      -72.39473883644678
1msa1sa2tma      -31.614699260448106     -69.05270202411339      -125.56767655128037      -77.19344634946901
1am1eda1msa1sa   -31.84140959731303      -68.40843604813563      -122.6464076838474       -75.29630933632143
1am1dma1msa1sa   -32.722212016466074     -68.61354095960269      -120.38010713675469      -75.61706757813226
2ma1msa1sa       -33.56281156826299      -68.69242656551069      -117.82530604386494      -75.91011889302172
1eda1msa1sa1tma  -35.23812572445604      -73.9347979130398       -129.78927448654952      -81.60221991688013
1ma1msa1sa1tma   -35.27988022120553      -71.89680922959815      -122.81378168092412      -79.28911698714364
1eda1ma1msa1sa   -36.4240139212925       -74.42461426736554      -127.45463808824712      -81.6341585770715
1dma1ma1msa1sa   -38.131556623382494     -75.09074833703926      -123.96173642063206      -82.14763451041654
1dma1msa1sa1tma  -38.21125597759965      -76.19421147098183      -127.39545696275451      -84.36237672390416
2eda1msa1sa      -38.73525371425785      -77.91263978922507      -131.40159676421234      -85.37561989272945
1dma1eda1msa1sa  -40.398671501199715     -79.24099344998831      -130.27778617804086      -86.92489130201284
2dma1msa1sa      -41.49615279329009      -79.08036619302584      -126.05806942701211      -86.78917728352826
