#CLUSTER      ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1ma1msa       -5.669321080553345      -17.31279706239002      -39.05240979994624       -19.551951699599158
1am1msa       -5.713162689935416      -15.640090293600224     -33.29507832888531       -17.17848240706371
2msa          -5.953958645113744      -19.606502158916555     -45.790855320362155      -21.08713289455045
1msa2tma      -7.329306896892376      -29.743870943086222     -75.17881618746436       -34.0257835398661
2am1msa       -7.964699670556001      -28.588177743542474     -69.17148439714745       -32.61931864678627
1dma1msa      -8.417456716881134      -20.369128927355632     -40.086105015795226      -23.050968793337233
1am1dma1msa   -9.212696164555382      -31.47226707020309      -74.65896664647374       -34.75313651142642
1eda1msa      -9.666962778544985      -23.02672004426131      -44.808845432970486      -25.41422854916891
1am1msa1tma   -9.835996932990383      -31.15863411637838      -71.51647554389966       -36.05386677265051
1ma1msa1tma   -10.927992182259914     -33.81474671707838      -76.76255084689335       -37.71937776796403
1am1ma1msa    -11.380738986073993     -33.05271304916823      -72.68815717982471       -37.3832675202284
2ma1msa       -11.713743683183566     -35.47507027495885      -79.69587989897373       -39.452236589451786
1eda1msa1tma  -12.185431042511482     -36.93413551626145      -83.00756154250622       -41.3756038157444
1dma1msa1tma  -12.916399696317967     -36.444995943660615     -78.91529849858404       -40.59930981436628
1am1eda1msa   -13.864529378945008     -36.59889028285397      -76.25142010364887       -41.10069393570302
1dma1ma1msa   -14.282867858652025     -38.140818088606466     -80.01995716907044       -42.55632651259657
1eda1ma1msa   -14.445760524307843     -38.96181253809482      -82.22724136809848       -43.22893944825046
1dma1eda1msa  -14.85667949123308      -39.48543558939127      -82.60525271922234       -43.661803065624554
2dma1msa      -15.174541253829375     -39.01083043270046      -79.94730564786552       -43.09025890083285
1am2msa       -15.83603100758046      -40.08695961884223      -81.33801311888021       -43.745519935386255
2eda1msa      -18.24852842919063      -44.935016591858584     -89.50691988139677       -49.6434672557516
1ma2msa       -20.656209791544825     -46.12744759907946      -85.43095021829185       -50.08635435497854
2msa1tma      -20.702798075566534     -46.17910739351646      -85.44796014774667       -51.02484169244417
1dma2msa      -23.723899161675945     -49.47359726403374      -86.36491062371702       -53.844044500612654
2am2msa       -25.94573258678429      -61.05657270317897      -117.76233478634973      -67.88229149393737
2msa2tma      -26.563199327909388     -64.90076140727615      -128.58481328006602      -73.6586979466374
1am2msa1tma   -26.874394121055957     -62.09093809200567      -118.11686725146585      -69.47619761995156
1eda2msa      -26.88610314205289      -55.22234574088361      -95.04022337374361       -60.55522861832287
1ma2msa1tma   -30.7144117882126       -67.48192828163155      -123.31885458132362      -75.50040657588397
1am1ma2msa    -30.90511336387135      -66.24444332474377      -118.52869347919511      -73.23890000849497
1am1dma2msa   -32.91316379618365      -68.48134200985078      -119.29625428070798      -75.48265759088099
1dma2msa1tma  -33.00630296423333      -70.45058360978146      -125.58873267029445      -78.56374582686112
1eda2msa1tma  -33.2879253248102       -71.15454242742271      -127.00525608806808      -78.95763761751004
2ma2msa       -34.150862515787594     -69.34930383611936      -118.05615066392373      -75.97053169819992
1am1eda2msa   -34.27048997837119      -72.30820504145231      -127.57912145950236      -79.6379341391148
1dma1ma2msa   -36.72390852239914      -74.20036193728447      -125.69664066795511      -81.84949573513586
1eda1ma2msa   -37.10072458698414      -74.8189482364105       -126.50754200725305      -82.26959205081221
2dma2msa      -39.14070504240226      -76.66097581281792      -125.84360479779971      -84.53122531145345
1dma1eda2msa  -39.64153257315047      -78.25346891349182      -129.50506906072513      -86.03907925274689
2eda2msa      -41.33697023498826      -82.39234512776602      -137.70040212222077      -90.16755514789838
