#CLUSTER      ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2am1msa       -2.5709376358427107     -23.19441570888739      -69.17148439714745       -27.22555661201477
1am1msa       -3.333885060856119      -13.260812664637342     -33.29507832888531       -14.799204778042622
1ma1msa       -3.7686729478882626     -15.412148929724935     -39.05240979994624       -17.651303566934075
2msa          -5.163353656535037      -18.815897170454264     -45.790855320362155      -20.296527905971743
1am1dma1msa   -5.196010011131875      -26.5119090807857       -71.49387579979376       -31.052441043313593
1msa2tma      -5.856470059370622      -28.27103410573909      -75.17881618746436       -32.55294670234434
1am1ma1msa    -6.625122950819787      -28.297097013914026     -72.68815717982471       -32.62765148491599
1eda1msa      -6.947692922782153      -20.3074501886731       -44.808845432970486      -22.69495869363891
1dma1msa      -7.007392583123874      -18.95906479365658      -40.086105015795226      -21.64090465963818
1ma1msa1tma   -7.275557560933521      -30.374661345296772     -77.47477371952571       -35.10653065901715
2ma1msa       -7.34450536739314       -31.10583195911022      -79.69587989897373       -35.08299827366136
1am1msa1tma   -7.546125969587592      -28.868763152888278     -71.51647554389966       -33.7639958091313
1eda1msa1tma  -8.225387088576099      -32.974091562238755     -83.00756154250622       -37.415559861809015
1am1eda1msa   -9.017019162536599      -31.751380066387355     -76.25142010364887       -36.253183719178196
1eda1ma1msa   -9.62219250149792       -34.138244515343104     -82.22724136809848       -38.40537142555695
1dma1msa1tma  -9.847784228128148      -33.3763804754999       -78.91529849858404       -37.530694346292876
1dma1eda1msa  -10.589027853799053     -35.67992130538914      -84.15526899799133       -40.15253583708545
1dma1ma1msa   -10.642466503952164     -34.50041673373198      -80.01995716907044       -38.91592515778029
2dma1msa      -11.870780096913222     -35.707069275842514     -79.94730564786552       -39.786497743742075
1am2msa       -12.159365082741715     -35.88096876896452      -79.56264862131489       -39.62685252295341
2eda1msa      -12.747462298546452     -39.43395046098158      -89.50691988139677       -44.14240112504922
1ma2msa       -17.545971099869348     -43.01720890740398      -85.43095021829185       -46.97611566353589
2msa1tma      -18.87842045110301      -44.35472976908204      -85.44796014774667       -49.20046406809706
2am2msa       -20.33878503390588      -55.44962515030056      -117.76233478634973      -62.27534394117538
1dma2msa      -21.321063504903577     -47.070761607261375     -86.36491062371702       -51.441208843840286
1eda2msa      -22.592363648465835     -50.928606247063726     -95.04022337374361       -56.26148912473582
1am2msa1tma   -22.91851775595569      -58.7086609818798       -120.04072857892861      -66.13049250945915
2msa2tma      -25.33576326275943      -63.67332534241723      -128.58481328006602      -72.43126188172027
1am1ma2msa    -25.950247467611916     -61.289577428251505     -118.52869347919511      -68.28403411176987
1am1eda2msa   -27.07542340119835      -63.68461180187296      -122.78781955741083      -70.75205467408523
1ma2msa1tma   -27.93208155108732      -64.6995980446518       -123.31885458132362      -72.71807633899152
1am1dma2msa   -28.6662955613574       -64.23447377490811      -119.29625428070798      -71.23578935605474
1eda2msa1tma  -29.353443084546598     -67.22006018695538      -127.00525608806808      -75.02315537713002
2ma2msa       -29.56618083245121      -64.76462215289939      -118.05615066392373      -71.38585001497995
1dma2msa1tma  -30.476202456309693     -67.92048310211976      -125.58873267029445      -76.0336453190539
1eda1ma2msa   -32.029226835933514     -69.74745048535988      -126.50754200725305      -77.19809429976158
1dma1ma2msa   -32.714878730941564     -70.19133214605972      -125.69664066795511      -77.84046594391111
2eda2msa      -34.21022652648389      -75.26560141891241      -137.70040212222077      -83.04081143916119
1dma1eda2msa  -35.21404093306046      -73.82597727363463      -129.50506906072513      -81.6115876128897
2dma2msa      -36.38117603457067      -72.62906609359197      -121.5760189802946       -80.07691470347345
