#CLUSTER             ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2nta                 0.9812243524938822      -9.919526394282002      -36.56129715509586       -11.32150262396317
1nta1sa              -2.064129855367355      -13.172410929226317     -37.25735728251472       -14.477847106463742
1msa1nta             -2.324115943221841      -14.113745221839054     -39.54261035927216       -15.388836509315297
2am1nta              -4.84851289272774       -23.960741236427566     -64.10272796812747       -26.50249784058542
1am2nta              -5.240146945987362      -26.82043733994942      -72.38064864642459       -29.676167241646908
1nta2tma             -5.624936517095193      -27.202257127297344     -72.37068794296876       -30.807635031815153
1am1nta              -6.386502358393045      -15.383589554898208     -30.176378321421097      -16.870839021285065
1ma1nta              -6.768861042684875      -17.369983763812343     -35.5563398328461        -18.584263008116977
1am1nta1tma          -6.930019916093443      -27.00127694447292      -67.3193259377533        -31.05131873107166
1ma1nta1tma          -6.9524771045544185     -29.35450374323409      -75.13676551609043       -32.593933263764484
2ma1nta              -7.212643540173303      -29.54716016713064      -74.91033582749102       -33.05995514377719
1dma1nta             -7.802215828036424      -18.538405187166063     -36.00935555638074       -19.403397392306942
1eda1nta             -7.83050706848735       -19.51055943025858      -39.175087579325336      -20.650343116285512
1am1ma1nta           -7.881827239849372      -28.415754818794085     -68.87113056831356       -31.814673495013267
1nta1tma             -8.509301814367063      -19.28385395638179      -36.1380249607121        -20.79460166345234
1eda1nta1tma         -9.505741730565205      -32.642498370609246     -77.60106201596814       -36.47489198108087
1ma2nta              -9.714887579146307      -32.67670888727298      -77.01432603755174       -36.038085134816356
1dma1nta1tma         -9.895898843300529      -32.2138399805408       -74.85474136245236       -35.85563750806614
1am1eda1nta          -10.139521015807986     -31.555738374619978     -71.8303449902152        -35.55583144639968
1dma1ma1nta          -10.1634043273516       -32.346985409531044     -74.40409552975211       -36.153113964770455
1eda1ma1nta          -10.196277679002378     -33.80253228332731      -79.1757659041771        -37.79120803621481
1am1msa1nta          -10.200785787368659     -32.54759623503196      -74.95156950409405       -35.51755439105909
1am1dma1nta          -10.409313266573008     -30.950768211798277     -68.8963774785821        -34.747050987323746
2dma1nta             -10.73288703642902      -32.89234476655838      -74.32318541061588       -36.42192382540088
2eda1nta             -12.18115570791997      -37.33890807052376      -84.37951488378292       -41.29627174889902
1dma1eda1nta         -12.281595512642525     -35.47778857886442      -77.80041276626791       -39.6417948291346
1am1nta1sa           -13.180479942006059     -34.09856711525936      -70.15960816126582       -37.274315554939676
1dma2nta             -13.205643798224628     -36.27959871763596      -77.39042401281006       -39.94803386321291
2nta1tma             -13.430824187409598     -36.08532917124103      -75.98358203532142       -39.99715166047099
1eda2nta             -14.577129303652328     -38.619104793760926     -80.63718091587798       -40.388758712797426
1ma1msa1nta          -15.221672808460426     -38.741334523510886     -78.88533193050054       -42.4290149389999
2am2nta              -16.212842605018523     -48.20937627670355      -107.31689978782315      -53.58313841663767
1msa1nta1tma         -17.781407289672643     -41.827713071368635     -80.65170478546885       -46.11688784559374
1ma1nta1sa           -17.94319050060585      -39.92754437122494      -73.73588418768458       -43.61976212175796
1dma1msa1nta         -17.974569383251946     -42.06006466501276      -80.78314701302092       -45.98686420393642
1am2nta1tma          -20.48106534819817      -53.850463882641634     -111.92151110011697      -60.18185410488513
1am1ma2nta           -20.93011758720968      -54.49230017908849      -112.56811199684822      -60.31681104958989
1dma1nta1sa          -21.00657383282669      -43.87877501233015      -76.71373865354818       -48.043873003160115
1nta1sa1tma          -21.258673591306433     -43.71471112445579      -75.31791894453349       -47.96124842824065
1eda1msa1nta         -21.48798010853352      -47.89336465948145      -88.56409374805492       -52.03996082546655
2am1msa1nta          -21.612883930269163     -54.59163595849532      -110.61127629807162      -60.68671271041967
1eda1nta1sa          -21.984004098689184     -44.88616035145242      -76.814208461956         -48.825235346273985
2nta2tma             -22.70872990670614      -57.214487431105226     -115.73287782792454      -64.61263917101314
2am1nta1sa           -23.324853566125967     -55.8152322875103       -108.97326420051822      -61.4858415456838
1am1msa1nta1tma      -23.627475120010786     -58.17697327781934      -115.8795846313809       -65.20945771367406
1am1eda2nta          -23.821741177060176     -58.28643373720115      -115.59514526269145      -64.60783419234212
1am1dma2nta          -23.993996728619095     -57.24404729733942      -111.52121606134588      -63.03279977978673
1ma2nta1tma          -24.019874508783687     -58.925012107385555     -117.07240516062166      -65.80762626611977
1msa1nta2tma         -24.75881524331635      -59.72017977471114      -117.26099121710635      -67.38644590222975
2ma2nta              -25.413359391328413     -60.18362800317118      -116.62005236237674      -66.14065265026875
1am1ma1msa1nta       -26.133353284036275     -60.21536022119108      -114.31161139417787      -66.59875550528523
1dma2nta1tma         -27.416441348730586     -62.55548310247832      -117.8569235408833       -69.74792919718311
1eda2nta1tma         -27.828605256450828     -62.98739728736109      -117.92316629516642      -70.07621805908275
1eda1ma2nta          -28.241417231794912     -63.72349900822155      -119.00748541476702      -70.17459659901215
1am1ma1nta1sa        -28.317877610214055     -61.34611351497006      -110.77724603267336      -67.56351375748636
1ma1msa1nta1tma      -28.419705163920298     -63.405637828516774     -117.34339313982989      -70.39159529402968
1dma1ma2nta          -28.540790432540234     -62.968776828667615     -115.47203218573497      -69.07321400096407
1am1eda1msa1nta      -29.221388491161633     -65.81845711564529      -122.74716962770346      -72.38874777429737
