#CLUSTER             ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2am1nta              2.7694502439990174      -16.342778099759016     -64.10272796812747       -18.884534703887766
2nta                 2.1237137496937066      -8.777036997082178      -36.56129715509586       -10.179013226705138
1am2nta              1.3898921789950691      -19.226795842288993     -69.14871045248542       -21.589619084843434
1msa1nta             -0.7793372228334192     -12.568966501450632     -39.54261035927216       -13.84405778881046
2ma1nta              -0.9000814800092485     -23.23459810699569      -74.91033582749102       -26.747393083700445
1am1ma1nta           -1.0129748722247314     -21.546902451111237     -68.87113056831356       -24.94582112741773
1nta1sa              -1.0204581166035496     -12.128739190287888     -37.25735728251472       -13.434175367699936
1ma1nta1tma          -1.1737601525965147     -23.575786791188875     -75.13676551609043       -26.81521631180658
1nta2tma             -1.7852771180623677     -23.362597728148103     -72.37068794296876       -26.96797563272412
1am1nta1tma          -1.9031854723580182     -21.974442500708392     -67.3193259377533        -26.024484287278028
1am1eda1nta          -2.871310473215999      -24.287527831969783     -71.8303449902152        -28.28762090377859
1am1nta              -2.981928812805563      -11.979016009281622     -30.176378321421097      -13.466265475697583
1eda1ma1nta          -3.0580274745298084     -25.964174392836867     -76.82759321939088       -29.885268089041347
1eda1nta1tma         -3.174744118587114      -26.31150075866026      -77.60106201596814       -30.14389436910278
1ma1nta              -3.615453643113142      -14.216576364298817     -35.5563398328461        -15.430855608574348
1ma2nta              -3.797629431122914      -26.75945073919138      -77.01432603755174       -30.120826986792963
1eda1nta             -4.038118189811939      -15.745879374677315     -39.26802342747372       -16.893526084750192
1am1dma1nta          -4.224932123994222      -24.766387069277698     -68.8963774785821        -28.562669844774064
1dma1ma1nta          -4.528952566004591      -26.712533648125827     -74.40409552975211       -30.51866220336524
1dma1nta1tma         -4.708836222824175      -27.026777360209962     -74.85474136245236       -30.668574887647992
1dma1nta             -4.732612313266145      -15.468801672395784     -36.00935555638074       -16.333793877478456
2eda1nta             -4.802176410448737      -29.959928772965213     -84.37951488378292       -33.91729245148599
1nta1tma             -4.948547724925447      -15.723099867027486     -36.1380249607121        -17.233847574010724
2dma1nta             -5.339270118245622      -27.498727848404087     -74.32318541061588       -31.028306907130172
1am1msa1nta          -5.459223239595303      -27.806033687258605     -74.95156950409405       -30.775991843169322
2am2nta              -5.495232756889891      -37.71584934962448      -108.06847758783229      -43.08997835224727
1dma1eda1nta         -6.411264869006118      -29.607457935169805     -77.80041276626791       -33.771464185469085
1eda2nta             -7.421730270201806      -31.46370576019399      -80.63718091587798       -33.23335967917228
1dma2nta             -7.763738563167863      -30.837693482637405     -77.39042401281006       -34.50612862809794
1am1nta1sa           -7.928631049173418      -28.846718222484924     -70.15960816126582       -32.02246666199062
2nta1tma             -8.574954737530788      -31.229459721333114     -75.98358203532142       -35.14128221059218
1am1ma2nta           -11.076780731673352     -44.638963323435746     -112.56811199684822      -50.463474193937145
1ma1msa1nta          -11.173123734915862     -34.69278544996632      -78.88533193050054       -38.38046586533892
1am2nta1tma          -11.36732464566012      -44.73672318030731      -111.92151110011697      -51.068113402463496
1am1eda2nta          -13.173581115494017     -47.638273675518576     -115.59514526269145      -53.95967413065955
2am1msa1nta          -13.27070586316404      -46.249457891623024     -110.61127629807162      -52.34453464343096
1ma1nta1sa           -13.539204285654705     -35.523558155982755     -73.73588418768458       -39.21577590657398
2am1nta1sa           -14.125537088315468     -46.61591580964159      -108.97326420051822      -52.2865250678733
1eda1msa1nta         -14.4180879163614       -40.8234724670765       -88.56409374805492       -44.970068633178016
1dma1msa1nta         -15.045937453192892     -39.131432734953705     -80.78314701302092       -43.058232273877366
2nta2tma             -15.30934150016401      -49.815099024621304     -115.73287782792454      -57.21325076458743
1am1dma2nta          -15.36007864808198      -48.61012921680231      -111.52121606134588      -54.398881699249614
1msa1nta1tma         -15.558192822441924     -39.60449860416702      -80.65170478546885       -43.89367337836302
1ma2nta1tma          -15.892010505805956     -50.797148104495136     -117.07240516062166      -57.679762263200246
2ma2nta              -16.256169516476803     -51.02643812837778      -116.62005236237674      -56.98346277541714
1eda1nta1sa          -16.895247674488928     -39.797403927426785     -76.814208461956         -43.736478922190145
1dma1nta1sa          -17.082905594317708     -40.04815485293511      -77.02582343970347       -44.174301484483294
1am1msa1nta1tma      -17.10623797524022      -51.811385265755234     -116.40163438017869      -59.06007703297655
1eda1ma2nta          -18.359710308199283     -53.44302434270503      -117.6700118553565       -59.856427657359745
1am1ma1msa1nta       -18.410201654449338     -52.492208591254894     -114.31161139417787      -58.87560387546546
1nta1sa1tma          -18.578151759662433     -41.03418929313193      -75.31791894453349       -45.280726596713066
1eda2nta1tma         -19.197652452538023     -54.35644448341918      -117.92316629516642      -61.44526525528636
1msa1nta2tma         -19.677511417510686     -56.69070719520096      -124.14286693807423      -65.00435204789392
1dma2nta1tma         -19.99330319117871      -54.37183284832281      -115.30615347025984      -61.15489345527021
2eda2nta             -20.032903465267736     -56.680770288570784     -122.91754762195771      -63.45163952087751
1am1ma1nta1sa        -20.19232023897348      -53.220556143671274     -110.77724603267336      -59.43795638601296
1am1eda1msa1nta      -20.207039972912753     -55.54345859057503      -118.51892878579979      -61.938155406242004
1dma1ma2nta          -20.736825502186548     -55.16481189831393      -115.47203218573497      -61.26924907055218
1am1dma1msa1nta      -21.935930231848033     -56.599842606985476     -116.2633317965329       -63.39732940364047
1dma1eda2nta         -22.07879739283817      -58.13058223272674      -120.91827885271037      -64.91330091585405
1am1eda1nta1sa       -22.255056909343693     -58.18386384216137      -120.5058089309388       -64.98207443405408
1am1nta1sa1tma       -22.702320937620243     -57.49772281732294      -116.70434975594173      -64.46490748005453
1ma1msa1nta1tma      -22.81996276177233      -57.80589542639791      -117.34339313982989      -64.79185289199813
2ma1msa1nta          -23.296212641900638     -58.81880189065123      -119.14334814344885      -65.28376195006422
1am1dma1nta1sa       -23.5256129145273       -57.73609383753501      -114.74251525544908      -64.18776966328733
2dma2nta             -23.641796142968815     -58.76633457536809      -117.80827916304952      -65.51299560826737
1eda1msa1nta1tma     -23.9742840534891       -60.74336643758579      -123.3241066038631       -68.22057898607454
