#CLUSTER             dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am1nta              -337.00651846483805  -336.96886931984915  0.0001262758510442277   -337.041215584183
1ma1nta              -376.2078408996785   -376.1673088215991   0.000135945256010254    -376.269642084264
2am1nta              -393.46099283308143  -393.4176146963587   0.00014549098347399516  -393.53010214384
1dma1nta             -415.4153710990814   -415.3715870302773   0.0001468524863463045   -415.502765782843
1am1ma1nta           -432.667333411717    -432.6207817675328   0.00015613497965510557  -432.765057212375
1nta1tma             -454.6249057038653   -454.5793531678325   0.0001527839544956615   -454.74059941765
1eda1nta             -470.6834232902997   -470.6381226618735   0.00015193905224280478  -470.789467505753
2ma1nta              -471.86746634113274  -471.81834499506704  0.00016475380199801695  -471.993223923775
1am1dma1nta          -471.87820191959275  -471.82819503582033  0.00016772391002010587  -472.002505847167
1dma1ma1nta          -511.0789992503487   -511.0261701353663   0.0001771897198802203   -511.230918645681
1am1nta1tma          -511.083692428869    -511.031106626444    0.00017637364556445564  -511.234860242426
1am1eda1nta          -527.1452037133988   -527.0935259927942   0.00017332792421479736  -527.287877247914
1ma1nta1tma          -550.282842841982    -550.2285322428985   0.0001821586419030935   -550.461416061238
2dma1nta             -550.2860404622601   -550.2297056685389   0.00018894782398527407  -550.463415584603
2nta                 -561.0728686938581   -561.0299635201653   0.00014390465769851765  -561.0952286451
1eda1ma1nta          -566.3458141072945   -566.2910716122931   0.00018360722790999198  -566.515718981153
1dma1nta1tma         -589.4942262777839   -589.4363144432085   0.0001942372449292709   -589.699241602369
1dma1eda1nta         -605.5569077617315   -605.4991602541234   0.0001936860895795303   -605.753596852744
1am2nta              -617.5376779937711   -617.4884076499155   0.00016525354303355695  -617.593664699548
1nta2tma             -628.698757727975    -628.6378360244402   0.00020433239488383835  -628.929743554377
1eda1nta1tma         -644.7609404706487   -644.7012686412437   0.00020014029651201843  -644.984215185771
1ma2nta              -656.7462577593013   -656.6952855089991   0.0001709617652265267   -656.832555879111
2eda1nta             -660.8235024390652   -660.7658160335683   0.0001934811520944977   -661.039638970933
2am2nta              -674.0122901207068   -673.9596633433747   0.00017651107607552784  -674.108179965425
1dma2nta             -695.958328097097    -695.9040673095889   0.00018199157306145178  -696.071229134222
1am1ma2nta           -713.2214978136965   -713.1655698271452   0.00018758338605142516  -713.34522619435
2nta1tma             -735.1688113519475   -735.1120525186769   0.00019037005960246588  -735.308640619471
1eda2nta             -751.2269420160369   -751.1711590095629   0.00018709712048955442  -751.355010550526
2ma2nta              -752.4300646186108   -752.3706227067593   0.00019936914925939846  -752.580912258845
1am1dma2nta          -752.43407362921     -752.3741809881523   0.00020088090242441405  -752.583182490122
1am2nta1tma          -791.636901191296    -791.5753691424451   0.0002063795031063012   -791.814273811357
1dma1ma2nta          -791.6429549474722   -791.579500333228    0.00021282781903107938  -791.819426924521
1am1eda2nta          -807.6997481371197   -807.6387262974017   0.00020466825328887054  -807.868292284745
1ma2nta1tma          -830.8444246499241   -830.7799008295219   0.00021641395405763803  -831.050105947312
2dma2nta             -830.853334235996    -830.7875224241968   0.00022073389837059293  -831.057874594888
1eda1ma2nta          -846.9083256836686   -846.8428505374113   0.00021960471660961375  -847.102985150714
1dma2nta1tma         -870.0567104186474   -869.9878801510805   0.0002308578486230172   -870.287328738522
1dma1eda2nta         -886.1200023627131   -886.0526033535128   0.0002260573845390794   -886.342728634361
2nta2tma             -909.2584364598026   -909.1879793419942   0.00023631433106978265  -909.517446559401
1eda2nta1tma         -925.3246014048751   -925.2539497035228   0.00023696696747334625  -925.573601203871
2eda2nta             -941.3859009390417   -941.3163869828932   0.00023315095136122567  -941.626209028286
1msa1nta             -944.0692713963213   -944.0218567316333   0.00015902956460818034  -944.124499474768
1nta1sa              -979.9885614581946   -979.9423088998682   0.00015513184077247134  -980.021333477589
1am1msa1nta          -1000.5403692150876  -1000.487930001548   0.00017588198403400117  -1000.631734416546
1am1nta1sa           -1036.46321031483    -1036.4107421773786  0.00017597899530883473  -1036.531208019879
1ma1msa1nta          -1039.7497878274203  -1039.6937785378486  0.00018785607771867663  -1039.869148736429
2am1msa1nta          -1057.0164576021969  -1056.9591129793341  0.00019233480752298078  -1057.14635834092
1ma1nta1sa           -1075.6724642629954  -1075.616256194435   0.00018852278571207206  -1075.767967100221
1dma1msa1nta         -1078.9617094879766  -1078.9031346855597  0.00019646084996450964  -1079.108288068622
2am1nta1sa           -1092.9367256838268  -1092.880850695573   0.00018740562889071454  -1093.043753094599
1am1ma1msa1nta       -1096.2249608329232  -1096.1639352240265  0.00020468089517469742  -1096.382062063738
1dma1nta1sa          -1114.8838614441315  -1114.8257493126657  0.00019490904399144035  -1115.007553855246
1msa1nta1tma         -1118.171716313543   -1118.1112494551924  0.00020280683666100256  -1118.346018735647
1am1ma1nta1sa        -1132.1467066562684  -1132.086249654057   0.00020277377900898688  -1132.280445437529
1eda1msa1nta         -1134.2298678851998  -1134.171925225945   0.0001943406314090774   -1134.397144528883
2ma1msa1nta          -1135.4330601057345  -1135.368891081785   0.00021522396092346743  -1135.617569913138
1am1dma1msa1nta      -1135.4363293723936  -1135.3727638630735  0.00021319976293906237  -1135.620952726394
1nta1sa1tma          -1154.0954347814056  -1154.0346815581845  0.00020376730914336362  -1154.245716367231
1eda1nta1sa          -1170.152721338586   -1170.0914437871236  0.00020552591468144833  -1170.29266585704
2ma1nta1sa           -1171.35353466137    -1171.2907732862366  0.0002105026836614719   -1171.515981445981
1am1dma1nta1sa       -1171.3577685264447  -1171.2957283356984  0.00020808381937265305  -1171.5196995849
1am1msa1nta1tma      -1174.637823174714   -1174.5724937752466  0.00021911587948163114  -1174.850440096614
1dma1ma1msa1nta      -1174.6444848146823  -1174.577976385823   0.00022307036343969914  -1174.856879559866
1am1eda1msa1nta      -1190.7027331314364  -1190.6371744662335  0.00021988484052686306  -1190.90443708428
1am1nta1sa1tma       -1210.565646999882   -1210.502709346784   0.0002110939228493929   -1210.756540529824
1dma1ma1nta1sa       -1210.5666840160227  -1210.5020913167493  0.00021664497492404774  -1210.756998173211
1ma1msa1nta1tma      -1213.8472415070341  -1213.7769204193778  0.0002358580837040336   -1214.084870051222
2dma1msa1nta         -1213.8564841674963  -1213.7852991741559  0.00023875563756571837  -1214.093760810633
1am1eda1nta1sa       -1226.624902695149   -1226.5625359855994  0.00020917896880676715  -1226.806775126841
1eda1ma1msa1nta      -1229.9107453510792  -1229.8420569083628  0.00023038216574322235  -1230.140739009046
1ma1nta1sa1tma       -1249.7734375314449  -1249.706597469562   0.00022418266604992614  -1249.991220115843
2dma1nta1sa          -1249.7781714406397  -1249.7105777567558  0.00022671032662696736  -1249.995827472354
1dma1msa1nta1tma     -1253.057414852767   -1252.9863437126598  0.00023837377194982663  -1253.32525738553
1eda1ma1nta1sa       -1265.8331726257443  -1265.767286688245   0.00022098251718741086  -1266.041963991797
1dma1eda1msa1nta     -1269.1231397010915  -1269.0512636453818  0.00024107347211134222  -1269.379537623207
1dma1nta1sa1tma      -1288.987644045168   -1288.917635897125   0.0002348084790973958   -1289.231951310499
1msa1nta2tma         -1292.2571740020112  -1292.184786758918   0.0002427880029957506   -1292.55329274683
1dma1eda1nta1sa      -1305.0467393963359  -1304.9778310510342  0.00023111972262678088  -1305.282701239391
1eda1msa1nta1tma     -1308.3239898789257  -1308.249978341355   0.00024823591336844747  -1308.607828614095
2eda1msa1nta         -1324.389063447454   -1324.3184966278225  0.00023668227278647594  -1324.666416179013
1nta1sa2tma          -1328.1872120975913  -1328.1149761925958  0.00024228041252997114  -1328.458652955472
1eda1nta1sa1tma      -1344.251988261208   -1344.1808815164702  0.00023849319046822482  -1344.514954854948
2eda1nta1sa          -1360.3107743739822  -1360.2401606648807  0.00023683954084038433  -1360.56492202157
2am2msa1nta          -1720.5670360443098  -1720.4963920536413  0.0002369411057127191   -1720.755208911043
2am1msa1nta1sa       -1756.4910862551492  -1756.4212159601025  0.00023434611788147798  -1756.656449551656
1am1ma2msa1nta       -1759.7749933783666  -1759.7007465664933  0.0002490250272443187   -1759.990647579278
2am1nta2sa           -1792.4123504872166  -1792.3427417602845  0.00023346881412798727  -1792.554179712539
