#CLUSTER     dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
2am          -113.05566862703388  -113.02054110028108  0.0001178183020385581   -113.099844202
1am1ma       -152.319322318914    -152.2813754469675   0.000127274432153275    -152.391189769
2ma          -191.58417647401023  -191.54383029322562  0.00013532175342814893  -191.684021407
1am1dma      -191.59026341738394  -191.5491768109576   0.00013780515319924012  -191.6883169
1dma1ma      -230.85599535343252  -230.81162302954291  0.0001488255035707257   -230.981015667
1am1tma      -230.86426934743434  -230.82158865620588  0.00014315173982379828  -230.989571163
1am1eda      -246.92421249726902  -246.8829786458749   0.00013829901524106802  -247.042437958
2dma         -270.12568305307707  -270.07979185903133  0.00015391981903649255  -270.278811978
1ma1tma      -270.12879462025916  -270.0831149113652   0.00015321049436168053  -270.281449024
1eda1ma      -286.1892232346552   -286.144596718734    0.0001496780678221309   -286.334383901
1dma1tma     -309.3989347617978   -309.3507028876443   0.00016177049858642192  -309.578877986
1dma1eda     -325.4597821114631   -325.4125194726635   0.00015851966728011463  -325.63173297
2tma         -348.6700438300548   -348.61842558258     0.0001731284503597833   -348.874861469
1eda1tma     -364.73181916606046  -364.6820599016731   0.00016689339053289537  -364.930009987
2eda         -380.7940305758674   -380.74593571061797  0.00016131096847037203  -380.985241694
1am1sa       -756.6576007865607   -756.6165481570106   0.0001376911941980377   -756.702712308
1ma1sa       -795.9265806486259   -795.8821325664079   0.00014907959824922372  -796.000154192
2am1sa       -813.1974355945599   -813.1486630793554   0.000163583817556745    -813.275877752
1dma1sa      -835.203302260324    -835.1551420907017   0.0001615300004101127   -835.303026538
1am1ma1sa    -852.4659303564664   -852.414732114837    0.00017171974385193927  -852.573787044
1sa1tma      -874.4770787989348   -874.4275452296533   0.00016613640543851354  -874.604690389
1eda1sa      -890.536178947277    -890.4880660559909   0.00016137142809344982  -890.655521904
2ma1sa       -891.7320120360729   -891.6786190538721   0.0001790809397981334   -891.868004563
1am1dma1sa   -891.739947249347    -891.6863365056436   0.00017981131545687134  -891.8756872
1dma1ma1sa   -931.0070256362706   -930.9508816186535   0.00018830795779640355  -931.170348598
1am1sa1tma   -931.0117115315123   -930.9557210329639   0.0001877930523174225   -931.173386733
1am1eda1sa   -947.073568472972    -947.0182209649345   0.00018563645157677303  -947.227241718
1ma1sa1tma   -970.2769317891963   -970.2192222688042   0.00019355867983278857  -970.467314632
2dma1sa      -970.2782656382489   -970.2184987701041   0.00020045905800658724  -970.467202307
1eda1ma1sa   -986.3405753472725   -986.2821684696058   0.00019589762759258196  -986.521129028
1dma1sa1tma  -1009.5495407713578  -1009.487560674824   0.0002078822623974769   -1009.76468137
1dma1eda1sa  -1025.6161304003763  -1025.5556648200552  0.00020280255012944894  -1025.82455748
1sa2tma      -1048.8233578580134  -1048.7603516093168  0.00021132399361610928  -1049.06326042
1eda1sa1tma  -1064.8839800220696  -1064.822973199854   0.000204617884338545    -1065.12166528
2eda1sa      -1080.9497034160786  -1080.8881998563263  0.0002062839502008268   -1081.17695625
2sa          -1400.2382689951105  -1400.1888631768836  0.00016570792630154723  -1400.28166006
1am2sa       -1456.795923382095   -1456.7423783598388  0.00017959088464299718  -1456.87754143
1ma2sa       -1496.0694783785461  -1496.012400562724   0.00019143993232325103  -1496.17861627
2am2sa       -1513.3419274339099  -1513.2813422754118  0.00020320361730008835  -1513.45953414
1dma2sa      -1535.3470213644673  -1535.2867578659143  0.00020212476455780385  -1535.48295293
1am1ma2sa    -1552.616015398475   -1552.5510784600112  0.0002177995588251883   -1552.75996937
2sa1tma      -1574.6165684471398  -1574.554445275735   0.0002083621378667506   -1574.78067274
1eda2sa      -1590.6800159732086  -1590.6178230576127  0.0002085960610297021   -1590.83358872
2ma2sa       -1591.8885213495364  -1591.823627862891   0.0002176538207125175   -1592.06328078
1am1dma2sa   -1591.8910762058817  -1591.8255366464102  0.00021982075958924994  -1592.06414434
1am2sa1tma   -1631.160213129302   -1631.0938167787526  0.00022269445094549466  -1631.36242645
1dma1ma2sa   -1631.1657664497823  -1631.0974459412928  0.0002291481082992323   -1631.36691645
1am1eda2sa   -1647.2250415552303  -1647.1582752656911  0.00022393523239666596  -1647.41666577
1ma2sa1tma   -1670.434603085083   -1670.3658466936913  0.00023061006671649042  -1670.66529932
2dma2sa      -1670.4402168074937  -1670.3697985923436  0.0002361838509141357   -1670.6699984
1eda1ma2sa   -1686.4986582047084  -1686.4284713570032  0.00023540784070124398  -1686.71739565
1dma2sa1tma  -1709.7117333568856  -1709.639837035937   0.00024114144205428535  -1709.96957358
1dma1eda2sa  -1725.7757240575988  -1725.7042763397567  0.00023963681986309746  -1726.02377319
2sa2tma      -1748.9833414558482  -1748.9084893313482  0.00025105525574364775  -1749.26724054
1eda2sa1tma  -1765.045507479629   -1764.972357962039   0.00024534468418508813  -1765.32155748
2eda2sa      -1781.107300257918   -1781.032838528225   0.0002497458651447814   -1781.37153531
