#CLUSTER     ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2tma         6.654452579736244       -1.8488766411028337     -28.520305956202478      -2.971734555059811
2ma          6.03271433840564        -2.8963068506272975     -29.948083813784535      -4.418436624153401
2dma         5.738159527536482       -4.062750352517469      -32.87241281254674       -5.600420395610854
1eda1tma     5.68810212110111        -3.74084149421833       -31.624831847359914      -5.309614086858346
1eda1ma      5.6572530161138275      -4.684763145756733      -34.687292174559595      -6.507027904794086
1dma1eda     5.647310466025374       -5.2162312549044145     -36.43649747097375       -7.05367851119081
2eda         5.523162335128291       -6.741372330056038      -41.13545083102828       -8.815286564698908
1dma1ma      5.501505734391685       -3.0767991515094764     -28.77177556916451       -4.473054152083932
1dma1tma     5.409282221662579       -4.070925143052591      -31.796771305384738      -5.6817429903603625
1am1ma       5.3052060311165405      -1.7163039640072384     -23.550259919910353      -3.266807424937724
1am1dma      5.099646143993596       -2.46148468850879       -25.360157077021057      -4.0420000788144534
1ma1tma      5.070965875755064       -3.8350322722108103     -29.8708641553253        -5.1704605451232055
1am1eda      5.030278823032859       -4.027559819762246      -30.38013967051289       -5.908896717563039
1am1tma      4.057594301935751       -3.3172117403591983     -24.735220668288633      -4.696817929230747
2am          3.6836122904351214      -1.69396058395796       -18.03646779946415       -3.1884834002994467
2sa          -5.088205410516821      -16.525830663740635     -38.36198307263703       -17.74279183964245
1am1sa       -5.402487485611346      -14.571902136085555     -30.754367434249886      -15.999278978444636
1ma1sa       -7.039569384069182      -17.491411987051833     -35.055651862739914      -19.819548079220112
2am1sa       -9.56439219135791       -27.59965608129278      -60.490571490573714      -30.652152703143656
1am1ma1sa    -9.89797454699874       -30.78533169243019      -70.05653914292978       -34.96678857097868
1eda1sa      -10.157631228445098     -22.408713258628268     -41.09033047194043       -24.93542543897638
2ma1sa       -10.580284915340599     -32.542361279251054     -73.66116506437857       -36.42744103516452
1dma1sa      -11.231930778420065     -21.530127972655464     -34.540322636672926      -24.14735578536056
1sa1tma      -12.348603703052504     -22.933069765073014     -35.50047312459364       -25.68979294435121
1am1eda1sa   -12.609294632566161     -34.030733594612684     -71.8478583328674        -38.50534268160118
1am1dma1sa   -13.197196425986476     -33.785242679703515     -69.05264549266947       -38.28845920949243
1ma1sa1tma   -13.262165121821454     -35.839382669277256     -75.72435870296701       -39.89158175885677
1eda1ma1sa   -13.26754636602709      -36.182306395377964     -76.85648173524066       -40.35433150990866
1am1sa1tma   -13.44679747938062      -33.689621702971635     -67.89476512992036       -37.738900015479885
1dma1ma1sa   -14.031339924840722     -36.442833885666914     -75.16851907050739       -40.75420795980608
1dma1sa1tma  -14.565819902083604     -36.63893868247396      -74.03360315397471       -40.45658468629699
2dma1sa      -14.657744841708336     -36.97158980171662      -74.84100271641383       -41.17907295905752
1eda1sa1tma  -14.90682433519396      -38.522323769604554     -79.2067732148787        -42.581579057499766
2eda1sa      -15.05062324757455      -40.05827630351996      -83.87607934240748       -44.48867958574556
1sa2tma      -15.096903775818646     -37.67419027001597      -75.72458995154656       -39.45226689276751
1dma1eda1sa  -17.177096738829277     -41.183948467543814     -80.51937524406301       -45.880606271035504
1am2sa       -19.02459848136641      -41.57496143551543      -75.6342879562849        -45.24262636981439
1ma2sa       -24.04518181097228      -48.3132154061459       -81.3953835165189        -52.539792134892195
2am2sa       -26.102262146188878     -58.32620247383602      -108.079625448884        -64.9900135762291
2sa1tma      -27.46535144446534      -51.36976660930668      -80.17580132399601       -56.41910268669017
1eda2sa      -27.621321647777222     -52.2571083875373       -82.62883360586173       -56.59169333439786
1dma2sa      -28.916758351842873     -52.84004253614694      -80.2390883250227        -57.26564662961755
1am2sa1tma   -31.853004686912755     -66.78608776631881      -117.16613476192761      -74.29618016059976
1am1ma2sa    -31.999621989787556     -64.52470868313685      -109.08967530854156      -71.232706946088
1am1eda2sa   -33.31892650038935      -68.79500801803079      -118.98736044736053      -75.74260343448259
1am1dma2sa   -34.30711533117574      -67.66909915150609      -111.89664202643218      -74.7732639979804
2ma2sa       -36.21895887365099      -70.11868150811642      -113.70022684667317      -77.51954381470568
1ma2sa1tma   -37.79335213187733      -73.63791647963808      -120.22325791553064      -81.11290318833198
1eda1ma2sa   -39.21481779869646      -75.9575734930113       -123.23580645423431      -82.97531127685215
1dma1ma2sa   -40.24268786981702      -76.2333594824886       -120.71330408484926      -83.41541755606886
2sa2tma      -41.1190965140122       -77.48302260803757      -121.96520574804822      -85.79569079820067
2eda2sa      -41.34522131946869      -79.50439385359641      -127.9864918137832       -86.93297088181134
1dma2sa1tma  -41.83638571345364      -77.95660787404631      -121.14781875155289      -85.911432996043
1eda2sa1tma  -42.29275144546409      -79.15022110581049      -123.62055898172065      -86.88348707149271
1dma1eda2sa  -43.018051297054626     -80.45816045743413      -125.57474144063887      -88.21304582012817
2dma2sa      -43.53346246678848      -80.38351743051317      -123.59568996786686      -88.39838429400697
