#CLUSTER            ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1fa2tma             0.45256630453513935     -20.41304973702063      -69.98361912313403       -22.743401335348608
1am1fa1tma          -1.338550759581267      -20.47211567944032      -64.174291195189         -23.238045446923934
1fa1ma1tma          -1.363657999492716      -22.74094051316206      -71.69975687949929       -25.427559724950697
2dma1fa             -1.7954151420126436     -24.462204240408028     -76.02478315751235       -27.25154227312305
1dma1fa1tma         -1.8344033245375613     -23.758769873937126     -73.53468572665037       -26.390273070544936
2fa2tma             -2.0923085669928696     -35.41472613037331      -111.76393615084271      -40.51802558579948
1fa2ma              -2.1397346950980136     -23.350779003376374     -71.14219120670889       -26.032500729110325
1eda1fa1tma         -2.171110831972328      -24.123544477217365     -73.62882322738984       -26.5654361404886
1fa1nta             -2.779816760972608      -13.89345407957444      -37.27532221573563       -15.32667543462594
1eda1fa1ma          -2.782793992795632      -25.461467214787262     -76.06464270336045       -28.41939613845898
1am1dma1fa          -2.8178528674761765     -23.374177099234657     -68.94624930999954       -25.95336827103165
1am1fa1ma           -3.015383814301458      -22.722236037967377     -66.09710623411209       -25.483621282241074
1dma1fa1ma          -3.0604753266234184     -24.21502365170454      -70.95270275047156       -26.639128084789263
2eda1fa             -3.076169866209966      -27.383507243182976     -81.5272090456151        -30.54584642770351
2am1fa              -3.0914194487268105     -21.148889273565146     -60.56505056118982       -24.16025127764442
1am1eda1fa          -3.2710772679856746     -23.593875830687466     -68.16300037798561       -26.23030354245566
1dma1eda1fa         -3.4320678794319974     -25.935692082173773     -75.47752541599125       -28.37095554237021
1fa1ma              -3.5317906586424215     -13.483317555874237     -33.37758476359017       -14.994317717646481
1am1fa              -3.597087539252243      -12.356769237638218     -29.38011637900449       -14.0160687155294
1dma1fa             -4.04030541976681       -14.218797546986025     -34.138829874899         -15.566793850070098
1am2fa1tma          -4.041569930588594      -36.41517534208833      -108.58160460010633      -40.58784138128976
1eda1fa             -4.703076929159579      -16.157604877647827     -38.41867499078539       -17.711160479462706
1fa1tma             -4.736573364105425      -15.07916854674113      -34.68923421977621       -16.320122496632393
2fa                 -4.934579568274785      -16.128376744309207     -37.54417969490082       -17.598240059625823
1fa1msa             -5.129801208793651      -17.25730275682872      -40.675839503394954      -18.59485224686796
2am2fa              -5.5022971075668465     -34.1495534433634       -96.08336855887794       -38.426256508828374
1dma2fa1tma         -5.559178850002354      -39.27304121138877      -113.07684843670914      -43.856329623173224
2fa1tma             -5.565881758957403      -27.815626544266706     -74.62600967724879       -31.087058980221627
1am2fa              -5.95521330437623       -25.605811369925505     -65.90842886327067       -28.343563593167346
