#CLUSTER            dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am1fa              -246.23827359716435  -246.20220210637316  0.00012098437293704236  -246.281636698
1fa1ma              -285.5045119560119   -285.46490065825736  0.00013285694366775715  -285.574520926
2am1fa              -302.76735581455125  -302.72425278363875  0.00014456827406516033  -302.844302748
1dma1fa             -324.77608253738947  -324.7333657001495   0.00014327297414058117  -324.872128322
1am1fa1ma           -342.0335770599287   -341.9876633615151   0.00015399529905611514  -342.137736967
1fa1tma             -364.0499911275413   -364.005706205019    0.00014853235794843567  -364.173336652
2fa                 -379.4131701443304   -379.3746439503548   0.00012921748775984892  -379.453645552
1eda1fa             -380.10988714472995  -380.06613894713473  0.00014673217372203053  -380.2249448
1fa2ma              -381.2985240269605   -381.2495682831651   0.00016419836926171512  -381.429936944
1am1dma1fa          -381.3040224742426   -381.25599527427505  0.00016108401800281322  -381.435180652
1dma1fa1ma          -420.57075153885535  -420.51823852671714  0.0001761295057460581   -420.727598764
1am1fa1tma          -420.57446403706194  -420.52233989957176  0.000174825213785571    -420.730861277
1am2fa              -435.9446847035971   -435.89778675720333  0.0001572964829573426   -436.017269591
1am1eda1fa          -436.63749314356386  -436.5860289190604   0.00017261185478265097  -436.785021158
2dma1fa             -459.8394957194893   -459.7859254059513   0.000179675712017672    -460.025269806
1fa1ma1tma          -459.84084646553237  -459.78685880373394  0.00018107550494196568  -460.025675799
1fa1nta             -470.5146433599581   -470.47403343395644  0.00013620635922066254  -470.546162497
2fa1ma              -475.211631483187    -475.1623532181262   0.00016528011088638844  -475.311301751
1eda1fa1ma          -475.9030574237304   -475.84990841042355  0.00017826266411813873  -476.079835008
2am2fa              -492.473850987345    -492.41944161490716  0.00018248992935708167  -492.57983765
1dma1fa1tma         -499.1123568568612   -499.0557738026297   0.0001897804938168336   -499.323905084
1dma2fa             -514.4847513991591   -514.4338005911127   0.00017088984754781212  -514.613713577
1dma1eda1fa         -515.174852321367    -515.1179571114795   0.00019082746901702608  -515.3764529
1am2fa1ma           -531.743327116859    -531.6879967462935   0.000185578972213413    -531.879303595
1fa2tma             -538.3815113062784   -538.3214114054626   0.0002015760550587299   -538.618101176
2fa1tma             -553.753965883279    -553.7004739926075   0.0001794126804343235   -553.909669847
1eda1fa1tma         -554.4456418427784   -554.3860386429183   0.0001999101118905402   -554.673583404
1eda2fa             -569.817130274466    -569.7640210252167   0.00017812929481550427  -569.963533196
2eda1fa             -570.5070335587433   -570.4499479045646   0.00019146622229983232  -570.729318022
2fa2ma              -571.0092514069931   -570.9503707271351   0.00019748676792911385  -571.171838452
1am1dma2fa          -571.0157441197028   -570.957698030453    0.0001946875373127607   -571.179223678
1dma2fa1ma          -610.281283136038    -610.2199276799626   0.00020578720803445408  -610.468333019
1am2fa1tma          -610.2814247717928   -610.2222177849051   0.0001985812070691367   -610.471310563
1am1eda2fa          -626.3485616377895   -626.2902630617749   0.00019553438207142878  -626.529852544
2fa1ma1tma          -649.5529600571026   -649.4898746279385   0.00021158956620525581  -649.769698726
2dma2fa             -649.5598305237538   -649.4960135487562   0.0002140431829534658   -649.777388808
1eda2fa1ma          -665.6178628627981   -665.5561539497819   0.00020697270842266565  -665.826371817
1dma2fa1tma         -688.8209458807866   -688.7549683632216   0.0002212896782323278   -689.064539645
1dma1eda2fa         -704.8921007852275   -704.8264322844847   0.00022025323073244206  -705.12743108
2fa2tma             -728.0882200194261   -728.0197890855868   0.00022951847673739273  -728.359227476
1eda2fa1tma         -744.1568137943353   -744.0894050265382   0.00022609011503298644  -744.418840657
2eda2fa             -760.223473526414    -760.1585231639883   0.0002178445830141232   -760.479068684
1fa1msa             -853.910890243593    -853.8659700060384   0.00015066321500788754  -853.975526429
1fa1sa              -889.8269219078209   -889.7829841134092   0.00014736808456031726  -889.868805374
1am1fa1msa          -910.452290424447    -910.4011683696388   0.0001714642120016586   -910.552762576
1am1fa1sa           -946.370320781083    -946.3201571471628   0.00016824965259146425  -946.448170168
1fa1ma1msa          -949.7248739936998   -949.6699759541325   0.00018412892694068616  -949.852454165
2am1fa1msa          -966.9896223137509   -966.9335230744489   0.00018815777059233676  -967.126581108
1fa1ma1sa           -985.644412367368    -985.5907420701213   0.00018001105901959208  -985.749394455
1dma1fa1msa         -988.9992827426224   -988.9423479112168   0.00019096036024021917  -989.15464893
2am1fa1sa           -1002.9087298742415  -1002.8529259024515  0.0001871674385042482   -1003.02242356
1am1fa1ma1msa       -1006.2611430361319  -1006.2004106122403  0.00020369754785048622  -1006.4241811
1dma1fa1sa          -1024.9202401318407  -1024.8633421855557  0.00019083664693945047  -1025.05196026
1fa1msa1tma         -1028.265867897955   -1028.2063554937895  0.0001996055816387411   -1028.44833744
1am1fa1ma1sa        -1042.1806256339898  -1042.1202118486415  0.00020262882893968854  -1042.32061314
1eda1fa1msa         -1044.3320327012614  -1044.2737158071095  0.00019559582140491868  -1044.50575983
1fa2ma1msa          -1045.5300603032124  -1045.466355943221   0.00021366547037190964  -1045.72072337
1am1dma1fa1msa      -1045.5327167637492  -1045.4700133068407  0.00021030842498295153  -1045.72326242
1fa1sa1tma          -1064.1892430744151  -1064.1313198630462  0.00019427540288088004  -1064.34903476
1eda1fa1sa          -1080.2533938001643  -1080.193781580955   0.00019994036293611637  -1080.40185555
1fa2ma1sa           -1081.4479760040729  -1081.383705792644   0.00021556334539298984  -1081.61404224
1am1dma1fa1sa       -1081.4551933805355  -1081.3927709343939  0.00020936591025222482  -1081.62238531
1am1fa1msa1tma      -1084.7984040464335  -1084.7320829425664  0.0002224420723360548   -1085.01405756
1dma1fa1ma1msa      -1084.8045734080858  -1084.7375992035713  0.00022463258264104755  -1085.02198522
1am1eda1fa1msa      -1100.86773885281    -1100.8059074802989  0.00020738343958061835  -1101.07909364
1dma1fa1ma1sa       -1120.7213748559388  -1120.6570696450171  0.00021568073426721533  -1120.91681003
1am1fa1sa1tma       -1120.7223911920926  -1120.6584847955394  0.00021434310432085084  -1120.91771316
1fa1ma1msa1tma      -1124.0701494204125  -1124.0014748964254  0.00023033548209671685  -1124.313466
2dma1fa1msa         -1124.077877678185   -1124.0086512251569  0.00023218666117078035  -1124.32299221
1am1eda1fa1sa       -1136.7876457771636  -1136.7235914161133  0.00021483937967527766  -1136.97303523
1eda1fa1ma1msa      -1140.1404407774269  -1140.0749904491763  0.00021952147660747     -1140.37908044
1fa1ma1sa1tma       -1159.9924889074268  -1159.9274104704705  0.0002182741470950038   -1160.21463464
2dma1fa1sa          -1159.9974064497228  -1159.9307268660261  0.00022364441957599293  -1160.22169393
1dma1fa1msa1tma     -1163.3394773080408  -1163.268632877712   0.0002376133836284934   -1163.61273782
1eda1fa1ma1sa       -1176.054835409638   -1175.989449839318   0.00021930427744383174  -1176.26944938
1dma1eda1fa1msa     -1179.4100963037486  -1179.3398517989203  0.00023560122363957368  -1179.67370927
1dma1fa1sa1tma      -1199.2683193517498  -1199.1993804245546  0.00023122229480192246  -1199.5164346
1fa1msa2tma         -1202.6019355007768  -1202.52831914503    0.00024691046703606437  -1202.90035784
1dma1eda1fa1sa      -1215.3286906675264  -1215.2617725542148  0.00022444445182507965  -1215.57198107
1eda1fa1msa1tma     -1218.673870478137   -1218.601024516757   0.0002443265516685678   -1218.96252376
2eda1fa1msa         -1234.744118205372   -1234.6742511706625  0.0002343351826579699   -1235.02797827
1fa1sa2tma          -1238.5351868607236  -1238.4628071814957  0.00024276263366720268  -1238.8098752
1eda1fa1sa1tma      -1254.5987705929615  -1254.5280623258361  0.00023715669000668748  -1254.86531169
2eda1fa1sa          -1270.6613304724433  -1270.591428320785   0.00023445296548129133  -1270.92037278
2am1fa2msa          -1631.2140619861345  -1631.1452792338305  0.00023069848165063996  -1631.41144144
2am1fa1msa1sa       -1667.1382768363856  -1667.0711286585     0.0002252160921875749   -1667.3139748
