#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
2pz       -535.499786370485    -535.4460994163659   0.0001800669264435582   -535.759362796
3pz       -803.251918706086    -803.1840926431729   0.00022748972971043914  -803.655587959
1pz1sa    -967.8916876455926   -967.8411143236242   0.00016962375303829092  -968.046458906
4pz       -1071.0060474281304  -1070.9234805445712  0.00027693068441749256  -1071.55257276
2pz1sa    -1235.656645945076   -1235.5910768660383  0.0002199197686991258   -1235.9543277
2sa       -1400.2385296372881  -1400.1893264629427  0.00016502825539276714  -1400.28213737
3pz1sa    -1503.4157586323565  -1503.3380748311235  0.00026055274604408165  -1503.85920074
1pz2sa    -1668.037172139894   -1667.9742447269523  0.0002110595771982626   -1668.22763007
4pz1sa    -1771.1746203365221  -1771.083045121174   0.0003071447772870812   -1771.76227493
2pz2sa    -1935.8219339920306  -1935.744579160961   0.0002594493747098817   -1936.15864165
3sa       -2100.3591777200754  -2100.2971297816903  0.0002081098050823777   -2100.43732431
3pz2sa    -2203.5899900002546  -2203.50028682553    0.0003008659222686512   -2204.07269877
1pz3sa    -2368.16730550901    -2368.090986968621   0.000255973638734666    -2368.39267812
4pz2sa    -2471.3526741655737  -2471.2501098818902  0.00034400229308549385  -2471.98022182
2pz3sa    -2635.960280818815   -2635.872427757549   0.0002946606113237959   -2636.3338657
4sa       -2800.482136831797   -2800.4047666526267  0.0002595008524918548   -2800.59236064
3pz3sa    -2903.746311502827   -2903.646702549313   0.0003340900671281815   -2904.26999205
1pz4sa    -3068.3098891566947  -3068.221087679069   0.00029784161538005477  -3068.5723856
4pz3sa    -3171.525266685503   -3171.411190498992   0.0003826134043652805   -3172.19297803
2pz4sa    -3336.095563070389   -3335.994168275592   0.0003400798081387901   -3336.50459325
3pz4sa    -3603.879939964097   -3603.7676631793015  0.0003765781814378014   -3604.43656194
4pz4sa    -3871.671311766666   -3871.5460193045747  0.0004202329769957342   -3872.37612077
