#CLUSTER  dE_[Eh]
1am1sa    -756.620580905787
2am2sa    -1513.296053278927
3am3sa    -2269.970462351604
4am4sa    -3026.644972569486
5am5sa    -3783.328223767391
4am6sa    -4426.848801105278
5am6sa    -4483.42931087637
6am6sa    -4540.004068061971
7am6sa    -4596.560553676557
8am6sa    -4653.110110425963
5am7sa    -5183.536016099455
6am7sa    -5240.108052337049
7am7sa    -5296.685139852141
8am7sa    -5353.240185371457
9am7sa    -5409.80867961927
6am8sa    -5940.207125819939
7am8sa    -5996.800133817319
8am8sa    -6053.376885341121
9am8sa    -6109.948011901136
10am8sa   -6166.482682018841
7am9sa    -6696.888329744459
8am9sa    -6753.479914958534
9am9sa    -6810.064090727959
10am9sa   -6866.612369383045
11am9sa   -6923.158098844059
8am10sa   -7453.564481815552
9am10sa   -7510.145303335927
10am10sa  -7566.735200121334
11am10sa  -7623.287785223824
12am10sa  -7679.834053574232
9am11sa   -8210.238911672235
10am11sa  -8266.813686556306
11am11sa  -8323.397971992947
12am11sa  -8379.965557806343
13am11sa  -8436.520166676315
10am12sa  -8966.934322722942
11am12sa  -9023.504894099398
12am12sa  -9080.089320439798
13am12sa  -9136.641508750321
14am12sa  -9193.194924101888
11am13sa  -9723.598018585166
12am13sa  -9780.180370052763
13am13sa  -9836.760008930352
14am13sa  -9893.319068652618
15am13sa  -9949.86357158632
12am14sa  -10480.283679108476
13am14sa  -10536.856176172516
14am14sa  -10593.44167654673
15am14sa  -10649.985636288433
16am14sa  -10706.549561409445
13am15sa  -11236.961271608441
14am15sa  -11293.540747171064
15am15sa  -11350.131967254418
16am15sa  -11406.67873138349
17am15sa  -11463.213450902673
14am16sa  -11993.646481685611
15am16sa  -12050.212062509481
16am16sa  -12106.796979665134
17am16sa  -12163.350945272889
18am16sa  -12219.891601634134
15am17sa  -12750.306401543909
16am17sa  -12806.891399388667
17am17sa  -12863.48717924782
18am17sa  -12920.034348214333
19am17sa  -12976.591799206568
16am18sa  -13506.999027623368
17am18sa  -13563.578883631106
18am18sa  -13620.138802244002
19am18sa  -13676.721446980664
20am18sa  -13733.264930965332
17am19sa  -14263.680136475637
18am19sa  -14320.2471930514
19am19sa  -14376.83788634589
20am19sa  -14433.404563121761
21am19sa  -14489.9335703407
18am20sa  -15020.353458609618
19am20sa  -15076.945441375881
20am20sa  -15133.49897054844
21am20sa  -15190.086676523972
22am20sa  -15246.608307356302
21am21sa  -15890.180955301434
22am22sa  -16646.866403149917
23am23sa  -17403.542071805372
24am24sa  -18160.216545051804
25am25sa  -18916.907171663453
26am26sa  -19673.610230298153
27am27sa  -20430.285712946614
28am28sa  -21186.958160368933
29am29sa  -21943.625466171794
30am30sa  -22700.30540715578
