#CLUSTER  dE_[Eh]
1am1sa    -28.322820443553
2am2sa    -56.701117377238
3am3sa    -85.076594435921
4am4sa    -113.465942285881
5am5sa    -141.845351483355
4am6sa    -160.458716306523
5am6sa    -165.348447589649
6am6sa    -170.233170020558
7am6sa    -175.093731413853
8am6sa    -179.953593739082
5am7sa    -188.847019461771
6am7sa    -193.734169698822
7am7sa    -198.618073359957
8am7sa    -203.485764157616
9am7sa    -208.349467736784
6am8sa    -217.232333625003
7am8sa    -222.12524038227
8am8sa    -227.019893375666
9am8sa    -231.888231400866
10am8sa   -236.738845244108
7am9sa    -245.625424014259
8am9sa    -250.518519726093
9am9sa    -255.412625226164
10am9sa   -260.280858556829
11am9sa   -265.114104241955
8am10sa   -274.013569354743
9am10sa   -278.903167528689
10am10sa  -283.799581672196
11am10sa  -288.662655130141
12am10sa  -293.512030024464
9am11sa   -302.396642317221
10am11sa  -307.274389876036
11am11sa  -312.178319267644
12am11sa  -317.049962755565
13am11sa  -321.914337588396
10am12sa  -330.791717235718
11am12sa  -335.667072285269
12am12sa  -340.568880088066
13am12sa  -345.42086269127
14am12sa  -350.301500830337
11am13sa  -359.18443376578
12am13sa  -364.061009444931
13am13sa  -368.948841699933
14am13sa  -373.819239538593
15am13sa  -378.675812750863
12am14sa  -387.564470611478
13am14sa  -392.451114153192
14am14sa  -397.342468608874
15am14sa  -402.183307748255
16am14sa  -407.076377897116
13am15sa  -415.956778840077
14am15sa  -420.844157096433
15am15sa  -425.735519285576
16am15sa  -430.596183001426
17am15sa  -435.443899826559
14am16sa  -444.355878421612
15am16sa  -449.237382556764
16am16sa  -454.13923402318
17am16sa  -458.992547872165
18am16sa  -463.836615479042
15am17sa  -472.747414735567
16am17sa  -477.606194553052
17am17sa  -482.521169419219
18am17sa  -487.380046815439
19am17sa  -492.231337647452
16am18sa  -501.132217686828
17am18sa  -506.016677455787
18am18sa  -510.899591131964
19am18sa  -515.781184083457
20am18sa  -520.633783571342
17am19sa  -529.526160055733
18am19sa  -534.402835896058
19am19sa  -539.304372449543
20am19sa  -544.161919258316
21am19sa  -549.003039108881
18am20sa  -557.899036014822
19am20sa  -562.78901372426
20am20sa  -567.690654463864
21am20sa  -572.575191717837
22am20sa  -577.413619396886
21am21sa  -596.070829886237
22am22sa  -624.472141961494
23am23sa  -652.848650937981
24am24sa  -681.2305875168
25am25sa  -709.649920223188
26am26sa  -738.060702744812
27am27sa  -766.451876139226
28am28sa  -794.849930655912
29am29sa  -823.224082248496
30am30sa  -851.626791307264
