#CLUSTER        ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1p           17.838936548883794      17.57776027743239       -0.875989506849038       17.92262767268403
2pa             2.0530793827492744      -10.559413690003566     -42.3025090481907        -11.963830382213928
2ca             1.1530716140987352      -12.043979151523672     -44.263125156948405      -13.43928069632966
1ca1pa          1.1039814796531573      -11.835409684979822     -43.39893062052357       -13.220459732634481
1pa1sa          -2.798176680749748      -15.388799108855892     -42.22915454661545       -16.665542190603446
1ca1sa          -4.423887683136854      -17.52475753100589      -43.94053277816553       -18.80090164183639
1am1ca          -5.937139251560438      -15.509623536083382     -32.106269610805015      -17.09089811105514
1ca1ma          -6.71663144712511       -18.37971003614075      -39.11815726631156       -19.35678471247229
1ca2tma         -8.687649370142026      -31.432217462250264     -76.28565518050311       -36.066286500223214
2am1ca          -9.113418313441798      -29.73418927710736      -69.16240470774775       -33.834648385003675
1am1pa          -9.46000617381651       -18.878140415006783     -31.588577028789103      -20.150757104798686
1am2ca          -9.701328788069077      -33.117960685747676     -78.53976822954044       -36.82946242578328
1ca1dma         -9.714656111667864      -22.179324473749148     -41.80670253933083       -25.232888967264444
1ca1tma         -10.881067914291634     -22.543849626017618     -39.11716153530112       -25.42641904995253
1am1ca1tma      -10.935419514295063     -32.02423513196118      -70.73223416975145       -36.920887730419054
1ca1ma1tma      -11.75493522468605      -34.78198206421803      -77.23309354166082       -38.911823224669206
1am1ca1ma       -12.392192780142068     -34.579725295407115     -74.41734870080481       -38.874145936577406
1ca2ma          -12.660218164412072     -35.80320291992393      -77.62195121766955       -40.02566502041009
1ma1pa          -12.781264539633412     -24.163063719228376     -38.174741504897575      -26.776788061426487
1ca1dma1tma     -14.033308457394014     -37.38257793111552      -78.31383355258744       -41.620511961504235
2ca1ma          -14.104984488381888     -39.29194693143654      -84.47748597334353       -43.306012127730355
1am1ca1pa       -14.898833546205424     -37.94616986886831      -77.30114480172823       -41.50794470036635
1am1ca1dma      -15.440557495458052     -37.44509287501569      -73.80357330047023       -42.060237073281314
1am2pa          -15.514010902959853     -37.91726520075463      -75.14088310501235       -41.12946187343914
1ca1dma1ma      -15.601793044232181     -38.27301830892975      -76.03966213186149       -42.699418782613066
1ca2dma         -15.847175974515267     -40.04047668876592      -81.14472820470773       -44.35625059570884
2ca1tma         -16.14853615417087      -41.00868938570784      -83.3813625069096        -46.01014707532886
2am1pa          -16.200081695104018     -36.375058201374486     -67.66720277102759       -40.33710304228589
1dma1pa         -16.202352344349492     -27.974880138412118     -39.48525169870834       -30.98420308099594
1pa2tma         -16.841265365335857     -39.00532909526373      -74.33863400934554       -43.693744223419344
1pa1tma         -17.942287301280885     -29.31232475406432      -38.135292479707715      -32.31709224327642
2ca1dma         -18.001179888437036     -43.386058850359404     -85.14130123072827       -47.80522168974858
1am1ca1sa       -18.94036457949551      -42.34660323325079      -78.50490911889864       -46.12585975788534
1am1pa1tma      -19.104293637428782     -39.50840275349037      -68.43571731048385       -44.34920863159641
1ca1ma1pa       -19.616511493863072     -44.332585200842004     -82.89811741364667       -48.281780223653186
1am1ma1pa       -19.91483497369336      -41.647322814853396     -72.8911213857017        -46.01781076932093
2ma1pa          -20.081242514657788     -43.42415229429025      -78.29250303427837       -47.601681930129416
1ma1pa1tma      -20.111990132703795     -42.24831760836241      -74.2456061571592        -46.08992228475108
1ma2pa          -20.648273010738194     -44.79695754847489      -80.9950848153012        -48.5080220378004
1ca1pa1tma      -22.33346803962195      -46.45868021667411      -80.91635813163332       -51.33808240473445
1am1pa1sa       -22.41216231515864      -45.27659332629992      -76.68767738118407       -49.15016254928196
1dma1ma1pa      -23.133633824822027     -46.47781420761021      -78.29676465823559       -50.986847766151186
1am1dma1pa      -23.257695998356212     -44.80968906613998      -72.28573895009046       -49.422035126481205
1dma1pa1tma     -23.330281308255508     -45.47799975016096      -74.28381164522195       -49.65245811866771
1ca1dma1pa      -23.51645109214587      -48.16961555008311      -82.6871187582282        -52.42803189822007
1ca1ma1sa       -23.822777893394232     -48.59727297065547      -83.0940636502236        -52.898176724032965
2dma1pa         -23.96105373930186      -47.46978637954453      -78.84867563367105       -51.6667571811704
2pa1tma         -24.513072704183287     -48.1479455743538       -79.27175203812752       -52.52483051099989
1dma2pa         -24.800996205303818     -49.32375388487708      -82.2497322804189        -53.35047574073542
1ca1sa1tma      -25.148748360734317     -49.685981419330346     -82.29828293981          -54.80264694847574
1am2ca1tma      -25.879139687735005     -60.87877636808844      -117.38935663393698      -68.60602923230908
2am2ca          -25.946247892570682     -59.01686227461323      -110.91938414172202      -65.63493856997229
2ca2tma         -27.009665951802162     -62.94084091120749      -120.5137513317448       -71.34786167365382
1ma1pa1sa       -27.526499165280256     -51.68375685909996      -81.02383932165677       -56.10938128369162
1ca1dma1sa      -28.065187306376174     -52.42544366250513      -81.70470017107708       -57.04819969157688
1am2ca1ma       -28.77039540237456      -64.11939712664753      -118.5611327322585       -71.39759693406086
2am1ca1sa       -29.004192542808596     -61.97640961932484      -110.5893579621381       -68.71137556550093
1pa1sa1tma      -30.130668190002325     -54.437314554161276     -81.52489137706323       -59.559692598631955
2ca1ma1tma      -30.315751287300372     -66.20906972317607      -120.38677992904277      -74.37717771191092
1am2ca1dma      -31.735874591453467     -66.76037611582433      -117.47275372888964      -74.05199160124175
2am1ca1pa       -31.817116605117917     -64.83408592274645      -110.73945771430262      -71.47362369141774
1dma1pa1sa      -32.23246082471451      -55.91475645120954      -79.43080874259536       -60.627121009340044
2ca1dma1tma     -32.42956915339164      -69.35985989567416      -123.86480208667649      -77.78301977172669
1am1ca1ma1sa    -33.170547110028565     -67.33215300220763      -114.57858759719394      -74.4519207237172
2ca2ma          -33.779717645345954     -69.56105449536699      -120.01119184954662      -77.13806679182744
1am1ca1sa1tma   -33.78922038168821      -68.87048340767797      -117.66313273837473      -76.25621009430324
1am1ca1pa1tma   -34.62001851781679      -69.00203089810384      -115.31783458057147      -76.71969510514464
2ca1dma1ma      -35.663546311538084     -72.63617512765632      -124.00680468243544      -80.50809725543513
1am1ca1ma1pa    -35.693016742996406     -70.32563787180698      -116.15838044184949      -77.4980888569844
1ca1sa2tma      -35.931219762103865     -72.97633452879381      -124.24992375264803      -81.45546978400671
2am1pa1sa       -36.55039585841587      -68.27621276368154      -106.40891130344986      -74.82003130257362
1ca1pa2tma      -36.76796287854086      -71.81648266789853      -117.55331138477631      -80.24428106364212
1am1ca1dma1sa   -37.08781224710401      -72.10271838813787      -117.44057065571225      -79.00132425082847
2am2pa          -37.52625416626688      -70.25042124930769      -109.75739420724777      -76.81295447552111
1ca1ma1sa1tma   -37.81692411638505      -74.66062717900786      -123.57438558677049      -82.25671719537058
1ca2ma1sa       -37.92641749914037      -72.84612814261345      -117.1212833925151       -80.16738458693726
