#CLUSTER          ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1p             17.83802778099198       17.576986533007585      -0.8780000000000072      17.92262767268403
2pcla             0.8559140919242054      -10.55585546605289      -38.271                  -11.963824107311666
2ca               0.719745940878056       -12.03990006109234      -42.79900000000002       -13.43928069632966
1ca1pcla          0.2980639249435626      -11.831569064990617     -40.68299999999999       -13.220459732634481
1pcla1sa          -3.5246843509958126     -14.330913514015265     -36.24199999999999       -15.616859176836442
1ca1sa            -4.693722440046258      -17.52051126305014      -43.022000000000006      -18.80090164183639
1am1ca            -6.721184633031953      -15.503716621024068     -29.46                   -17.09089811105514
1ca1ma            -7.071958810098295      -18.360110276997148     -37.862                  -19.35677780991682
2am1ca            -9.466510258091148      -29.717287074076012     -67.92800000000001       -33.83444758405676
1ca1dma           -10.001142814086052     -22.167798481037607     -40.809000000000026      -25.232888967264444
1am1pcla          -10.510675249970518     -18.872152725060005     -28.04500000000001       -20.150758987292647
1ca2tma           -10.584093101060716     -31.404642641020473     -69.83299999999998       -36.06651240112842
1am2ca            -10.700808659079485     -33.10454826802015      -75.14600000000002       -36.82946242578328
1ca1tma           -11.347136749085621     -22.601403053995455     -37.75                   -25.472045420654467
1am1ca1tma        -11.770701274057501     -32.00892802994349      -67.882                  -36.920887730419054
1am1ca1ma         -12.848751428078685     -34.18134341607947      -71.554                  -38.68585613137839
1ca1ma1tma        -13.333811247095582     -34.769313726981636     -71.89500000000001       -38.911823224669206
1ca2ma            -13.68333041803271      -35.78900610197161      -74.14099999999999       -40.02566502041009
1ma1pcla          -13.744198208965827     -24.153217973012943     -34.90999999999999       -26.776788061426487
2ca1ma            -14.861781052146398     -39.2779227820356       -81.89300000000003       -43.306012127730355
1ca1dma1tma       -15.562074400120764     -37.369686159072444     -73.14500000000001       -41.62155424406228
1am1ca1dma        -15.90657354707946      -37.41047385407728      -72.12900000000002       -42.061269315716345
1am1ca1pcla       -16.20589247805765      -37.933811356080696     -72.876                  -41.50794470036635
1ca2dma           -16.75746761506889      -40.02339634607779      -78.03600000000003       -44.35629514843458
2am1pcla          -16.958268575021066     -36.31736362806987      -64.93400000000001       -40.33130867953878
1am2pcla          -17.3937556570163       -37.906828727107495     -68.80100000000002       -41.12946187343914
1dma1pcla         -17.398775681038387     -27.964671195135452     -35.43700000000001       -30.984194923308678
2ca1tma           -17.427640819063527     -40.9922609780042       -79.039                  -46.01014707532886
1ca1dma1ma        -17.477213556041534     -38.25885791006294      -69.703                  -42.699418782613066
1pcla1tma         -18.899762856963207     -29.301880088081816     -34.88899999999998       -32.31709224327642
2ca1dma           -19.047226062131813     -43.369242342043435     -81.57800000000003       -47.805202864692546
1pcla2tma         -19.287559710937785     -38.97860385099193      -66.04199999999999       -43.685316858201986
1am1ca1sa         -19.655903971986845     -42.31252728984691      -75.99400000000003       -46.132354414090514
1am1ma1pcla       -20.580215890950058     -41.62352899595862      -70.58000000000001       -46.01787100970978
1am1pcla1tma      -20.637318664070335     -39.49378381393035      -63.246999999999986      -44.34920863159641
2ma1pcla          -20.96613023604732      -43.40689252206357      -75.26299999999999       -47.601741542923264
1ca1ma1pcla       -21.061510691943113     -44.315516865986865     -77.99100000000001       -48.28172374825226
1ma1pcla1tma      -22.538652753995848     -42.23722692989395      -66.06699999999998       -46.08996620988182
1ma2pcla          -22.772083870018832     -44.78426160698291      -73.82499999999999       -48.50802831281908
1am1pcla1sa       -23.668158153945114     -45.23731877305545      -72.345                  -49.15115400386276
1am1dma1pcla      -24.25361845304724      -44.78426160698291      -68.859                  -49.42261117417365
1dma1ma1pcla      -24.346488897048403     -46.45969461702043      -74.166                  -50.98696259915596
1ca1pcla1tma      -24.673417960017105     -46.38125674208277      -72.80699999999997       -51.07272393621679
1ca1ma1sa         -24.945126759062987     -48.651562595914584     -79.512                  -52.96619177405955
2dma1pcla         -25.681815280986484     -47.45742438704474      -73.035                  -51.66680110641755
1dma1pcla1tma     -26.078397176999715     -45.46572986515821      -65.02399999999997       -49.65246439356997
1ca1dma1pcla      -26.149305016035214     -47.45365936902817      -71.45400000000004       -51.75279474502895
1ca1sa1tma        -26.852108375998796     -49.661842425965006     -76.50499999999998       -54.802966974893934
1dma2pcla         -27.069224413949996     -49.31106824905146      -74.59799999999998       -53.35047574073542
2pcla1tma         -27.52541909502179      -48.13450012417161      -69.11899999999999       -52.52483051099989
1am2ca1tma        -27.613897018090938     -60.85273092801799      -111.48599999999998      -68.60602923230908
2am2ca            -27.693589899106883     -58.99343953910284      -104.98600000000003      -65.63493856997229
1ma1pcla1sa       -29.354590339993592     -51.67738206195645      -74.869                  -56.109651109960396
2ca2tma           -29.74740721823764      -62.91156827105442      -111.23600000000002      -71.34838877615402
1am2ca1ma         -30.01535099902685      -64.0875088930261       -114.28300000000002      -71.39768478432234
1ca1dma1sa        -30.189169330114964     -52.40905056009069      -74.52600000000001       -57.04819969157688
2am1ca1sa         -30.38683277508244      -61.47772391606122      -104.28500000000001      -68.2412754179677
1pcla1sa1tma      -31.602306085886084     -54.40639260891476      -76.48200000000001       -59.57145200482046
2ca1ma1tma        -33.093253214043216     -66.18211390712531      -110.98299999999998      -74.37717771191092
2am1ca1pcla       -33.65173088404117      -64.81101985217538      -104.51300000000002      -71.47362369141774
1am2ca1dma        -33.71699119612458      -66.73557155308663      -110.74800000000002      -74.05199160124175
2ca1dma1tma       -34.63816560017585      -69.33280647010542      -116.367                 -77.78179614098917
1am1ca1ma1sa      -34.87598923704354      -67.30032425298123      -108.75600000000003      -74.45205249934224
1dma1pcla1sa      -35.16903313790681      -55.898594743106514     -69.52600000000001       -60.627121009340044
1am1ca1sa1tma     -35.850501396125765     -68.56599780396209      -109.73400000000002      -75.83551325787266
2ca2ma            -36.29853853817622      -69.53423493304581      -111.474                 -77.13804169163632
1am1ca1pcla1tma   -37.038364574968        -68.94061709500966      -107.003                 -76.72022220764484
2ca1dma1ma        -37.62696238913486      -72.60962713603658      -117.33300000000006      -80.50809725543513
1am1ca1ma1pcla    -37.80831075605238      -70.30104359897086      -108.981                 -77.4980888569844
1ca1sa2tma        -38.17602751389495      -72.94785125291673      -116.626                 -81.45546978400671
2am1pcla1sa       -39.08967188204406      -68.2541288130451       -97.82099999999998       -74.82003130257362
1am1ca1dma1sa     -39.305532914062496     -72.07813209493179      -109.92500000000001      -79.00132425082847
2am2pcla          -39.36514569900464      -70.20817315520253      -103.44900000000003      -76.82434992992785
1ca1ma1sa1tma     -40.10999176000769      -74.13132191103068      -114.11000000000001      -81.93783272091241
1ca2ma1sa         -40.455118409881834     -72.81419311399804      -108.53499999999998      -80.16741596226348
1ca1pcla2tma      -40.67976448396803      -71.7901082180324       -104.34299999999996      -80.24428106364212
1am1ca1dma1pcla   -40.942060738103464     -72.87506090500392      -107.10500000000002      -80.3063472599024
2ca2dma           -41.60407640313497      -75.42397809104295      -113.435                 -83.49721457285341
1ca1ma1pcla1tma   -42.03015094001603      -74.76635494703078      -109.79499999999996      -82.83726289081096
1am1ma1pcla1sa    -42.609336208959576     -73.78494025499094      -104.565                 -80.84867563826265
1ca1dma1ma1sa     -42.749269377905875     -78.3305719870259       -119.34100000000001      -85.68949306453578
1ca2ma1pcla       -43.21111158595886      -75.99249580915784      -109.948                 -83.51588994066697
1ca1dma1sa1tma    -43.28139192204981      -78.4196774129814       -117.85699999999999      -86.54176625829132
1am1pcla1sa1tma   -43.39747997689119      -75.77412476498284      -108.59400000000001      -83.17474002832023
1am1ma2pcla       -44.04192555800546      -76.05901112698484      -107.38500000000002      -83.14085499185603
1am2pcla1tma      -45.20970864100673      -76.19643428400741      -103.92999999999999      -83.91912675711501
1ca1dma1ma1pcla   -45.43560972093837      -79.26178643916501      -113.453                 -87.07809319806984
1am1dma1pcla1sa   -45.43811973294942      -76.73734186997171      -104.97800000000001      -83.97311397764133
1ca1dma1pcla1tma  -45.46886737989553      -78.13290854208753      -109.55600000000003      -86.39917122181214
1ca2dma1sa        -46.335449023055844     -82.04852726199897      -119.78400000000002      -89.81343700742582
1ma1pcla1sa1tma   -47.81321858802403      -81.59045007199165      -113.289                 -89.22518381812552
1am1dma2pcla      -48.05166972801089      -79.37536448205356      -105.06099999999998      -86.69867200322915
2ma1pcla1sa       -48.20289795094868      -79.487687519053        -104.927                 -86.84741945582209
1pcla1sa2tma      -48.62834498504526      -81.89227901498089      -111.56499999999997      -90.18738298761309
1ca2dma1pcla      -49.40644870483084      -82.64591011806624      -111.48600000000005      -90.6350442552939
1dma1ma1pcla1sa   -49.67690249817679      -84.32573564909399      -116.21100000000004      -91.62549135118024
2ma2pcla          -50.12995966395829      -81.959421836189        -106.75099999999999      -89.3653179135872
1ma2pcla1tma      -50.57423178800673      -82.22109058723436      -106.14                  -90.17353412199009
2pcla2tma         -50.9971688100195       -82.65846017823787      -106.18799999999996      -91.28128261244274
1dma1pcla1sa1tma  -51.33790293907805      -85.89763066408341      -115.91399999999997      -93.95230246950814
2dma1pcla1sa      -53.366620137996506     -88.19240913516842      -116.80700000000002      -95.96610580483684
1dma1ma2pcla      -54.05248091707472      -85.36864563496783      -105.03000000000003      -93.07915727095678
1dma2pcla1tma     -54.41706016003445      -86.23710978697636      -106.72099999999999      -94.56372131260287
2dma2pcla         -56.09312067297287      -89.1393111620564       -110.83500000000001      -97.1814021600876
