#CLUSTER          dG_298.15K_[Eh]  dH_298.15K_[Eh]  dS_298.15K_[Eh/K]       dE_[Eh]
1am1ca            -742.652741      -742.611107      0.0001396423602755684   -742.6787935
1ca1ma            -781.919568      -781.876492      0.00014447739692081152  -781.973729821
2am1ca            -799.186867      -799.141663      0.00015161521140137974  -799.251974958
1am1pcla          -817.751684      -817.709192      0.00014252043416525497  -817.782602066
1ca1dma           -821.194839      -821.149693      0.00015142079002012737  -821.279778466
1am1ca1ma         -838.458525      -838.40961       0.00016406136703728906  -838.551031624
1ma1pcla          -857.023105      -856.978441      0.00014980486149070204  -857.084486799
1ca1tma           -860.469643      -860.421321      0.00016207093830627103  -860.580168503
2am1pcla          -874.29171       -874.244898      0.0001570096079221932   -874.361260789
1ca2ma            -877.726123      -877.673005      0.00017816329164960167  -877.844492142
1am1ca1dma        -877.734001      -877.681889      0.00017478482174587213  -877.853095112
1dma1pcla         -896.299532      -896.251648      0.00016060480985748273  -896.387876167
1am1ma1pcla       -913.56375       -913.514187      0.0001662366554422847   -913.661648371
1am1ca1tma        -917.000069      -916.944218      0.00018732818807240762  -917.144912221
1ca1dma1ma        -917.002772      -916.944074      0.00019687555278620182  -917.145437453
1pcla1tma         -935.574583      -935.524716      0.00016725338364916183  -935.690009209
2ma1pcla          -952.830633      -952.777862      0.00017699835697996663  -952.95549783
1am1dma1pcla      -952.840207      -952.786357      0.00018061905680132205  -952.963758595
1ca1ma1tma        -956.268828      -956.20945       0.00019915761358909836  -956.439410386
1ca2dma           -956.272228      -956.214019      0.00019523571998858967  -956.44476225
1dma1ma1pcla      -992.106623      -992.04986       0.0001903863407824345   -992.257576948
1am1pcla1tma      -992.107103      -992.048863      0.00019533771153285322  -992.255682443
1ca1dma1tma       -995.542982      -995.480727      0.00020880537622927698  -995.740413031
1ma1pcla1tma      -1031.376401     -1031.314068     0.0002090683231793314   -1031.54978192
2dma1pcla         -1031.379354     -1031.318583     0.0002038285075927924   -1031.55534472
1ca2tma           -1034.807708     -1034.742158     0.00021985870983883742  -1035.03156933
1dma1pcla1tma     -1070.652645     -1070.586346     0.00022237025161632695  -1070.85214355
1pcla2tma         -1109.914482     -1109.846945     0.00022652321980930765  -1110.14264311
2ca               -1372.223411     -1372.176177     0.0001584231469809706   -1372.23153408
1ca1sa            -1386.234028     -1386.186907     0.00015804705316149883  -1386.26103197
1am2ca            -1428.771362     -1428.717651     0.00018015053314486144  -1428.81530773
1am1ca1sa         -1442.787623     -1442.734321     0.0001787784281509411   -1442.8510865
1ca1pcla          -1447.316987     -1447.268562     0.0001624183470039187   -1447.33011768
1pcla1sa          -1461.325069     -1461.274541     0.00016947488697265193  -1461.35489014
2ca1ma            -1468.044261     -1467.988322     0.00018762300738004437  -1468.11695425
1ca1ma1sa         -1482.06232      -1482.005256     0.00019139669451779512  -1482.1533024
2am2ca            -1485.328193     -1485.266813     0.0002058731193317004   -1485.40771129
2am1ca1sa         -1499.334475     -1499.272768     0.00020696952843253337  -1499.43281831
1am1ca1pcla       -1503.873039     -1503.818064     0.00018439115032119367  -1503.92169576
2ca1dma           -1507.321534     -1507.261975     0.0001997647820010422   -1507.42080861
1am1pcla1sa       -1517.886921     -1517.831699     0.00018521664438257666  -1517.95482963
1ca1dma1sa        -1521.34128      -1521.278377     0.00021098225825215178  -1521.45649193
2pcla             -1522.409002     -1522.359246     0.00016688525791908564  -1522.4270474
1am2ca1ma         -1524.598161     -1524.535764     0.00020928186797513316  -1524.70822028
1am1ca1ma1sa      -1538.607897     -1538.54288      0.0002180690769605882   -1538.73404129
1ca1ma1pcla       -1543.147045     -1543.089067     0.0001944644089350967   -1543.22381595
2ca1tma           -1546.591612     -1546.529124     0.00020958624899004464  -1546.71795689
1ma1pcla1sa       -1557.162251     -1557.102795     0.00019941896692127366  -1557.25724419
2am1ca1pcla       -1560.430592     -1560.368801     0.0002072500051792581   -1560.51594824
1ca1sa1tma        -1560.608621     -1560.544936     0.00021360375966330043  -1560.7529228
2ca2ma            -1563.874442     -1563.805277     0.00023198295466316494  -1564.00869359
1am2ca1dma        -1563.874663     -1563.807117     0.00022655509216689     -1564.0091346
2am1pcla1sa       -1574.441248     -1574.376284     0.0002178937789938853   -1574.54223465
1ca2ma1sa         -1577.883056     -1577.8125       0.00023664588057746339  -1578.03447477
1am1ca1dma1sa     -1577.885559     -1577.817627     0.00022784592264897535  -1578.03797546
1am2pcla          -1578.967836     -1578.910738     0.00019150824776933335  -1579.02002492
1ca1dma1pcla      -1582.425756     -1582.361201     0.0002165216739999649   -1582.52603188
1dma1pcla1sa      -1596.44212      -1596.376655     0.00021957345223847533  -1596.56112768
1am1ca1ma1pcla    -1599.703484     -1599.638383     0.0002183543345609503   -1599.81687431
1am2ca1tma        -1603.137596     -1603.068679     0.00023115427336602376  -1603.30046473
2ca1dma1ma        -1603.147162     -1603.077311     0.00023428573249849     -1603.31074854
1am1ma1pcla1sa    -1613.713125     -1613.645931     0.00022537103408270555  -1613.84316738
1am1ca1sa1tma     -1617.152712     -1617.082967     0.0002339255748578094   -1617.33293928
1ca1dma1ma1sa     -1617.157315     -1617.088424     0.00023106503076479316  -1617.33995922
1ma2pcla          -1618.242675     -1618.182531     0.0002017265256102361   -1618.32310891
1ca1pcla1tma      -1621.696063     -1621.630429     0.00022014078020344126  -1621.82495702
2am2pcla          -1635.532601     -1635.470119     0.00020956871919337433  -1635.62340757
1pcla1sa1tma      -1635.709095     -1635.645214     0.0002142635174652551   -1635.85945426
1ca2ma1pcla       -1638.978362     -1638.908286     0.0002350379201374336   -1639.11778976
1am1ca1dma1pcla   -1638.979081     -1638.909618     0.00023298374669125085  -1639.11803397
2ca1ma1tma        -1642.412596     -1642.338005     0.0002501804772248101   -1642.60098711
2ca2dma           -1642.424103     -1642.348929     0.00025213743998036664  -1642.61219642
1am1dma1pcla1sa   -1652.988236     -1652.917769     0.0002363526548877057   -1653.14483091
2ma1pcla1sa       -1652.988307     -1652.915852     0.00024301875847605506  -1653.14405246
1ca1ma1sa1tma     -1656.425768     -1656.352669     0.0002451765170843804   -1656.63398942
1ca2dma1sa        -1656.433633     -1656.361482     0.00024199884303341973  -1656.64321558
1dma2pcla         -1657.520126     -1657.456878     0.00021213444397875388  -1657.62751029
1am1ma2pcla       -1674.806322     -1674.740276     0.00022152085328675715  -1674.92479904
1am1ca1pcla1tma   -1678.245519     -1678.174285     0.00023892156690884345  -1678.41232797
1ca1dma1ma1pcla   -1678.25251      -1678.180629     0.00024109207446020177  -1678.42015092
2ca1dma1tma       -1681.685661     -1681.610159     0.00025324022355271606  -1681.90309714
1am1pcla1sa1tma   -1692.257643     -1692.187171     0.00023636540383073862  -1692.44356752
1dma1ma1pcla1sa   -1692.261259     -1692.190695     0.00023667615931716656  -1692.44835125
1ca1dma1sa1tma    -1695.701425     -1695.626636     0.00025084501588040216  -1695.9380107
2pcla1tma         -1696.793512     -1696.72594      0.00022664114753236236  -1696.92620344
2ma2pcla          -1714.082292     -1714.010512     0.0002407558210877079   -1714.22604383
1am1dma2pcla      -1714.083315     -1714.012694     0.0002368642062269025   -1714.22715321
1ca1ma1pcla1tma   -1717.519742     -1717.444402     0.00025269679985593697  -1717.71340157
1ca2dma1pcla      -1717.529441     -1717.453155     0.000255866505817502    -1717.72250371
2ca2tma           -1720.950526     -1720.870863     0.0002671923480843916   -1721.19285366
1ma1pcla1sa1tma   -1731.530948     -1731.457273     0.0002471079819538711   -1731.74453499
2dma1pcla1sa      -1731.537742     -1731.46399      0.0002473661480502882   -1731.7519529
1ca1sa2tma        -1734.965948     -1734.888853     0.0002585820306835186   -1735.229914
1am2pcla1tma      -1753.351445     -1753.278565     0.0002444418592421072   -1753.52273259
1dma1ma2pcla      -1753.359146     -1753.283078     0.00025513822244674524  -1753.52864664
1ca1dma1pcla1tma  -1756.795825     -1756.7169       0.0002647174595181218   -1757.01576226
1dma1pcla1sa1tma  -1770.807168     -1770.73127      0.0002545645200102629   -1771.04875258
1ma2pcla1tma      -1792.626262     -1792.548999     0.0002591445777948472   -1792.8240251
2dma2pcla         -1792.633001     -1792.55622      0.0002575270556475427   -1792.83186842
1ca1pcla2tma      -1796.060852     -1795.977729     0.000278800260715885    -1796.30596263
1pcla1sa2tma      -1810.075509     -1809.995824     0.0002672704353604684   -1810.34276165
1dma2pcla1tma     -1831.902989     -1831.822532     0.0002698584707961555   -1832.12770575
2pcla2tma         -1871.170198     -1871.087766     0.0002764831403196479   -1871.42248371
