#CLUSTER          dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am1ca            -741.971305874993    -741.9296718749931   0.0001396423602755684   -741.997358374993
1ca1ma            -781.1724643094141   -781.129385309414    0.0001444901458638445   -781.226597141414
2am1ca            -798.433131390051    -798.3879143900509   0.00015166142631987416  -798.498229478051
1am1pcla          -817.0206180368709   -816.978059036871    0.00014274354066833145  -817.051467099871
1ca1dma           -820.3834800066498   -820.33833700665     0.0001514128219307318   -820.46842147165
1am1ca1ma         -837.6400929721818   -837.5922329721819   0.0001605219417277686   -837.733344658182
1ma1pcla          -856.2258086873829   -856.1811446873829   0.00014980486149070204  -856.287190486383
1ca1tma           -859.5955246263371   -859.5469596263371   0.0001628868706603793   -859.705842418337
2am1pcla          -873.4886338973962   -873.4418158973959   0.00015703032495462173  -873.558119920396
1ca2ma            -876.8421703537251   -876.7890523537249   0.00017816329164960167  -876.960539495725
1am1ca1dma        -876.8527940073411   -876.800207007341    0.00017637684600711073  -876.971381474341
1dma1pcla         -895.4377685536698   -895.38987255367     0.00016064624392233978  -895.52610173367
1am1ma1pcla       -912.696030277206    -912.646361277206    0.00016659203222932798  -912.793809552206
1ca1dma1ma        -916.055663621462    -915.996965621462    0.00019687555278620182  -916.198329074462
1am1ca1tma        -916.0574259490519   -916.0015749490518   0.00018732818807240762  -916.202269170052
1pcla1tma         -934.650324228656    -934.6004572286561   0.00016725338364916183  -934.765750437656
2ma1pcla          -951.897268074298    -951.844481074298    0.0001770493527520984   -952.022111809298
1am1dma1pcla      -951.9087982550259   -951.8547642550259   0.00018123259968478238  -952.032163370026
1ca1ma1tma        -955.2576061789368   -955.198223178937    0.00019917354976788952  -955.428187602937
1ca2dma           -955.2601978447989   -955.2019888447991   0.00019523571998858967  -955.432732094799
1dma1ma1pcla      -991.1095717940271   -991.0528027940269   0.0001904038705791048   -991.260513559027
1am1pcla1tma      -991.114170227       -991.055930227       0.00019533771153285322  -991.26274967
1ca1dma1tma       -994.468344114031    -994.406082114031    0.00020883246773322197  -994.665765484031
1ma1pcla1tma      -1030.31552998343    -1030.2530249834297  0.000209645212851572    -1030.48873883343
2dma1pcla         -1030.3178044462882  -1030.2570254462878  0.00020385559909673738  -1030.493787096288
1ca2tma           -1033.6716032297     -1033.6059842297     0.0002200913780491886   -1033.8953721997
1dma1pcla1tma     -1069.5282124930952  -1069.4617514930949  0.00022291367531310607  -1069.727548033095
1pcla2tma         -1108.7293842727693  -1108.661631272769   0.000227245128708548    -1108.957320812769
2ca               -1370.999343433377   -1370.9521094333768  0.00015842474059884972  -1371.007466483377
1ca1sa            -1384.9563897231321  -1384.909268723132   0.00015804705316149883  -1384.983393693132
1am2ca            -1427.476746197871   -1427.4230351978706  0.00018015053314486144  -1427.520691927871
1am1ca1sa         -1441.4379682580368  -1441.384478258037   0.00017940631359531346  -1441.501202408037
1ca1pcla          -1446.04461092469    -1445.99618592469    0.0001624183470039187   -1446.05774160469
1pcla1sa          -1459.9998247217122  -1459.950979721712   0.0001638318860626961   -1460.031320061712
2ca1ma            -1466.684891401196   -1466.6290524011958  0.00018728675400755056  -1466.757786361196
1ca1ma1sa         -1480.647631537374   -1480.590274537374   0.00019237676951345251  -1480.738324547374
2am2ca            -1483.9621182719811  -1483.900738271981   0.0002058731193317004   -1484.041636561981
2am1ca1sa         -1497.9149385369335  -1497.8532315369332  0.00020696952843253337  -1498.013281846933
1am1ca1pcla       -1502.5283075713921  -1502.4733325713921  0.00018439115032119367  -1502.576964331392
2ca1dma           -1505.898502978242   -1505.8389079782423  0.00019988270972409695  -1505.997738618242
1am1pcla1sa       -1516.4884644355127  -1516.433240435513   0.000185221425236214    -1516.556329485513
1ca1dma1sa        -1519.862806862161   -1519.799903862161   0.00021098225825215178  -1519.978018792161
2pcla             -1521.0885477681663  -1521.038790768166   0.00016688685153696473  -1521.106592178166
1am2ca1ma         -1523.1672742344006  -1523.1048272344008  0.00020944919785244057  -1523.277273374401
1am1ca1ma1sa      -1537.123447250401   -1537.058347250401   0.00021834796008943382  -1537.249496330401
1ca1ma1pcla       -1541.7374180886811  -1541.679396088681   0.0001946094281620964   -1541.814139128681
2ca1tma           -1545.1053805231663  -1545.0430215231659  0.00020915437854480376  -1545.231676333166
1ma1pcla1sa       -1555.6988961005884  -1555.6393441005878  0.00019973928411497633  -1555.793807860588
2am1ca1pcla       -1559.015018590227   -1558.953227590227   0.0002072500051792581   -1559.100374830227
1ca1sa1tma        -1559.06740410699    -1559.00367110699    0.00021376152783333306  -1559.21164739699
2ca2ma            -1562.378817386671   -1562.309351386671   0.0002329949020164047   -1562.512766016671
1am2ca1dma        -1562.380429207814   -1562.3128832078141  0.00022655509216689     -1562.514900807814
2am1pcla1sa       -1572.9721651599984  -1572.9072011599983  0.0002178937789938853   -1573.073151809998
1ca2ma1sa         -1576.333642043279   -1576.2629460432788  0.00023711918508756134  -1576.484907763279
1am1ca1dma1sa     -1576.335192579347   -1576.2672605793466  0.00022784592264897535  -1576.487609039347
1am2pcla          -1577.575220930985   -1577.5184359309849  0.00019046124082275302  -1577.627715630985
1ca1dma1pcla      -1580.952292272865   -1580.887737272865   0.0002165216739999649   -1581.052568152865
1dma1pcla1sa      -1594.9147933893937  -1594.849328389394   0.00021957345223847533  -1595.033801069394
1am1ca1ma1pcla    -1598.222882802765   -1598.157781802765   0.0002183543345609503   -1598.336273112765
1am2ca1tma        -1601.580193716166   -1601.5112697161658  0.00023117499039845225  -1601.743057486166
2ca1dma1ma        -1601.587321419585   -1601.5174704195847  0.00023428573249849     -1601.750907959585
1am1ma1pcla1sa    -1612.1788888962328  -1612.111694896233   0.00022537103408270555  -1612.308931276233
1am1ca1sa1tma     -1615.5406179390154  -1615.4708729390152  0.0002339255748578094   -1615.720845219015
1ca1dma1ma1sa     -1615.5426182781273  -1615.473710278127   0.00023112080739056225  -1615.725240428127
1ma2pcla          -1616.7849749211491  -1616.7248269211486  0.00020173927455326908  -1616.865403821149
1ca1pcla1tma      -1620.160792840788   -1620.095490840788   0.00021902843492381709  -1620.290342740788
2am2pcla          -1634.0679739516213  -1634.005194951621   0.00021056473036782291  -1634.158433361621
1pcla1sa1tma      -1634.1204898180351  -1634.056077818035   0.00021604358863622965  -1634.270277338035
1ca2ma1pcla       -1637.432640895549   -1637.3625458955494  0.0002351032584704774   -1637.572051665549
1am1ca1dma1pcla   -1637.435533276856   -1637.3660702768561  0.00023298374669125085  -1637.574486246856
2ca1ma1tma        -1640.7903970818656  -1640.715806081866   0.0002501804772248101   -1640.978788191866
2ca2dma           -1640.800982931559   -1640.7258089315594  0.00025213743998036664  -1640.989076351559
2ma1pcla1sa       -1651.3889210883137  -1651.3164660883142  0.00024301875847605506  -1651.544666548314
1am1dma1pcla1sa   -1651.3906513916418  -1651.3201843916418  0.0002363526548877057   -1651.547246301642
1ca1ma1sa1tma     -1654.7480331426648  -1654.674867142665   0.0002454028108232152   -1654.956188452665
1ca2dma1sa        -1654.755478896006   -1654.683337896006   0.00024196537705795828  -1654.965094676006
1dma2pcla         -1655.9987309549188  -1655.9354829549193  0.00021213444397875388  -1656.106115244919
1am1ma2pcla       -1673.2768430394867  -1673.210670039487   0.00022194794287836074  -1673.395157859487
1am1ca1pcla1tma   -1676.638990648326   -1676.5675386483258  0.0002396530375153585   -1676.805523778326
1ca1dma1ma1pcla   -1676.642911802069   -1676.5709958020686  0.0002412100021832565   -1676.810515672069
2ca1dma1tma       -1679.9996005331632  -1679.9240805331629  0.0002532960001784852   -1680.217021623163
1am1pcla1sa1tma   -1690.5962040757138  -1690.5255970757141  0.00023681958492628716  -1690.781992715714
1dma1ma1pcla1sa   -1690.597765882239   -1690.5272018822388  0.00023667615931716656  -1690.784858132239
1ca1dma1sa1tma    -1693.9611653544007  -1693.8860993544013  0.00025177409510392774  -1694.197460934401
2pcla1tma         -1695.209385739712   -1695.141813739712   0.00022664114753236236  -1695.342077179712
