#CLUSTER  ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1ica1nta  -0.38401050338870846    -11.890062387625221     -38.59150816293812       -12.919962204119656
1ip1w     -0.45044625455193454    -10.728066890027549     -34.471287475331174      -12.303099927536095
1isa1w    -0.6357262832825654     -10.187150245990779     -32.035632949723315      -11.867702215022291
1ica1w    -1.0089334128206247     -11.0937412013227       -33.82461106486668       -12.833565818189527
1am1ip    -1.0807377025485039     -11.249398713931441     -34.105835116048944      -13.015585891902447
1ip1nta   -1.1509759345499333     -12.814286344277207     -39.11893479986583       -13.915534135943744
1am1it    -1.240847209468484      -11.570073692128062     -34.64439537990942       -13.295964129269123
1it1w     -1.4787371428465121     -11.871473202940251     -34.857386503840324      -13.474370786032523
1am1isa   -1.5338413659483194     -10.609410979785025     -30.43963068589637       -12.406569155864418
1isa1ma   -1.6715788998189964     -11.983988301661157     -34.58801166241826       -13.745029929719749
1dma1isa  -2.1816056659445167     -13.17004287429154      -36.85542003736376       -14.779437045566738
1it1ma    -2.5078360716361203     -14.408800695855462     -39.91600988341438       -16.358714782327297
1isa1tma  -3.371586888722959      -13.792642159503885     -34.95241169401308       -15.422979244365706
1fa1ip    -3.420092824846506      -15.772696454077959     -41.43085663598857       -16.987260343506932
1ica1ma   -3.686884450587968      -15.993667810987972     -41.27715365396613       -18.443359579585376
1am1ica   -3.8933689035475254     -13.295459703542292     -31.53478811017947       -14.93157203681767
1fa1ica   -3.9093441432341933     -16.072473242878914     -40.79535594556429       -17.3742307247594
1dma1it   -4.7160590793937445     -17.264512673020363     -42.087719578467215      -19.28171999566257
1ip1msa   -4.788493433501571      -18.289345979050267     -45.28208132014086       -19.57211982557783
1ip1ma    -4.850348943706194      -16.65807916859194      -39.60330018782489       -18.679896424218896
1isa1nta  -5.22714746123529       -17.053119199874345     -39.664503566124445      -17.875452848209534
2ica      -5.787049081176519      -19.864558059722185     -47.21621751648499       -21.051756674423814
1ica1msa  -6.090262848418206      -20.02887403621571      -46.75033100271676       -20.993500998301897
1fa1isa   -6.65563090890646       -18.562180306762457     -39.9347834093577        -19.672834220342338
1ica1ip   -6.810187999159098      -21.264543902128935     -48.48016830182793       -22.622445913031697
1it1tma   -6.9945100589393405     -19.488885443774052     -41.90634037826595       -21.562938532195403
1dma1ica  -7.125638674013317      -19.56984519213438      -41.73807318104983       -22.348348731175065
1ica1tma  -7.258015888437512      -19.15481389046181      -39.90205601827938       -21.766010083592846
1dma1ip   -7.462333874776959      -20.105766320601106     -42.40628021599865       -22.19213160313666
1it1msa   -7.820683078374714      -21.251286664337385     -45.04642305782322       -21.42329320969293
1ip1isa   -8.091700085438788      -22.002594463527203     -46.657389421365096      -23.389320015907288
1ip1sa    -8.107084585004486      -22.311694293748587     -47.64251546265302       -23.142268980969675
1ica1it   -9.579210555180907      -24.18602458946407      -48.99153641824584       -25.52045753225684
1ica1sa   -9.616801606141962      -23.193594564218074     -45.53682880670803       -24.02471329376567
1fa1it    -9.693113779649138      -22.99972277134657      -44.63060629542175       -24.035369584336877
1isa1msa  -9.837270135525614      -22.743387887545396     -43.28733104900218       -22.94971028814325
1ica1isa  -9.838071686215699      -23.00880745239556      -44.17490631366765       -24.38712712749839
2isa      -10.032983480021358     -22.698077328503132     -42.47897501264467       -23.913707880303264
1isa1it   -10.140493389219046     -24.4306505843997       -47.92944312990109       -25.84065398387611
1ip1tma   -10.341819311186555     -22.753075646352954     -41.62755772731845       -24.93244670551212
1it1sa    -10.42829149926547      -24.48935362463817      -47.16105449911119       -25.495881619979627
2ip       -11.213996268808842     -28.274673331528902     -57.22179126144553       -29.436113011091948
1it1nta   -11.595702804013854     -25.450943943636958     -46.47070648961931       -26.362725661194418
1isa1sa   -11.701526485965587     -23.829220491927117     -40.6765271031025        -23.906648472999223
1ip1it    -14.55667956918478      -31.840779077261686     -57.971174854200854      -33.0541190803051
2it       -16.10860662907362      -33.49129940569401      -58.30181621358378       -34.72744555026293
