#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am       -56.510155549224     -56.48831486922399   7.325399966459837e-05   -56.526648016657
1w        -76.42231087002      -76.40089446002      7.18309575716921e-05    -76.426176346739
1ma       -95.73447997536599   -95.70711909536598   9.176880764715747e-05   -95.77593109267
1dma      -134.963961849045    -134.933115269045    0.00010345993627368774  -135.031496499207
1tma      -174.19699123434398  -174.16434098434397  0.00010950947509642799  -174.291753792939
1fa       -189.69958814197997  -189.67140071197997  9.454110347140701e-05   -189.70959484926
1nta      -280.839929215861    -280.809824845861    0.00010097055173570352  -280.84132063869
1msa      -665.5499738704038   -665.5143604904038   0.00011944782827435855  -665.583667216406
1sa       -701.5325095901318   -701.4987333201319   0.0001132861982223713   -701.54431723161
1isa      -7372.8934792088785  -7372.860671458879   0.00011003776622505453  -7372.881357309343
1am1isa   -7429.406079115128   -7429.365893675127   0.00013478262619486838  -7429.427776656426
1ica      -7448.062995272097   -7448.027493252098   0.00011907439208452123  -7448.052401038982
1isa1w    -7449.316803183669   -7449.277800343669   0.00013081616635921516  -7449.326446238516
1isa1ma   -7468.630623042265   -7468.586888452265   0.00014668650008385043  -7468.679192727458
1am1ica   -7504.579355363617   -7504.536996003617   0.00014207398960254904  -7504.6028442758
1dma1isa  -7507.860917703717   -7507.814774743717   0.00015476424618480632  -7507.93640658367
1ica1w    -7524.486913996443   -7524.446066896443   0.00013700184470903908  -7524.499029185661
1ica1ma   -7543.803350732442   -7543.760100142441   0.00014506318966962938  -7543.857723799229
1isa1tma  -7547.095843464369   -7547.046992644369   0.00016384645312762038  -7547.197689437756
1fa1isa   -7562.603673883272   -7562.561653193272   0.00014093808485661583  -7562.622303138948
1dma1ica  -7583.038312666334   -7582.991795376333   0.00015601978869696462  -7583.119512266296
1ica1tma  -7622.271553010328   -7622.222359690329   0.0001649952372966628   -7622.378841534746
1fa1ica   -7637.7688134148     -7637.7245073448     0.00014860328693610603  -7637.78968377296
1isa1nta  -7653.741738500391   -7653.697672460391   0.00014779825591145398  -7653.75116458929
1ica1nta  -7728.903536453963   -7728.856266313964   0.00015854482642964953  -7728.914311160438
1isa1msa  -8038.459129928851   -8038.411276218852   0.00016050212980043605  -8038.501597594384
1isa1sa   -8074.444636560832   -8074.397379450832   0.00015850112359550562  -8074.46377260339
1ica1msa  -8113.622674694265   -8113.573772114265   0.00016402005701827939  -8113.669523873923
1ica1sa   -8149.610830369208   -8149.563188299208   0.00015979228576220027  -8149.635004483237
1it       -14744.53656880552   -14744.49220134552   0.00014880919000503101  -14744.512367169425
2isa      -14745.802947159613  -14745.75751497961   0.0001523802783833641   -14745.80082393112
1am1it    -14801.048701791042  -14800.99895449104   0.00016685326178098278  -14801.060203872239
1ip       -14819.701777903447  -14819.655952513447  0.0001536991111856448   -14819.680671659227
1it1w     -14820.961236217488  -14820.912014397487  0.00016509079322488682  -14820.960016514358
1ica1isa  -14820.97215260791   -14820.92483195791   0.00015871423779976522  -14820.972622110135
1it1ma    -14840.275045313289  -14840.222282563289  0.00017696713063894014  -14840.314367802452
1am1ip    -14876.213655735593  -14876.162194625593  0.00017260144222706693  -14876.228061546268
1dma1it   -14879.508046250632  -14879.452829650632  0.00018519738386718094  -14879.574591362358
1ip1w     -14896.124806612672  -14896.073943412672  0.00017059600872044276  -14896.12645444598
2ica      -14896.13521288908   -14896.08664301908   0.0001629041757504612   -14896.138350533785
1ip1ma    -14915.443987481609  -14915.389618221609  0.00018235539158141878  -14915.486371368817
1it1tma   -14918.74470661615   -14918.68760016615   0.000191535971826262    -14918.838484046735
1fa1it    -14934.251604066923  -14934.200254826923  0.00017222616132819054  -14934.260265213386
1dma1ip   -14954.677631861174  -14954.621108691174  0.0001895796411202415   -14954.74753393613
1ip1tma   -14993.915250045948  -14993.856553205947  0.00019687016602381354  -14994.012158245007
1fa1ip    -15009.4068163665    -15009.3524888765    0.0001822152607747778   -15009.417337710287
1it1nta   -15025.39497714069   -15025.34258527069   0.00017572319302364584  -15025.395699919072
1ip1nta   -15100.543541335133  -15100.486198435134  0.00019232902901224216  -15100.544168341914
1it1msa   -15410.099005856304  -15410.040428266304  0.00019647023310414224  -15410.13017492892
1it1sa    -15446.085697107435  -15446.029961337434  0.00018693868857957405  -15446.097315093828
1ip1msa   -15485.2593828026    -15485.199459232601  0.0002009846050645648   -15485.295529355717
1ip1sa    -15521.247207088521  -15521.19024214852   0.0001910613449605903   -15521.261868824447
1isa1it   -22117.446208085967  -22117.391805925967  0.00018246573872211973  -22117.434904606966
1ip1isa   -22192.608152190252  -22192.551687700252  0.00018938282743585444  -22192.599302607126
1ica1it   -22192.614829678827  -22192.558237878828  0.0001898097937279893   -22192.605438065813
1ica1ip   -22267.7756260129    -22267.7173333229    0.0001955146402817374   -22267.769124232484
2it       -29489.09880857457   -29489.037775024568  0.0002047075633070602   -29489.080076616978
1ip1it    -29564.261544493787  -29564.198895893787  0.00021012440046956236  -29564.245714463796
2ip       -29639.421426631845  -29639.356964051844  0.00021620855274190846  -29639.408253234436
