#CLUSTER          ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2tma              6.943458745634416       -2.5264525786042213     -31.762238216535323      -3.963504844374256
2dma              6.029651226854185       -3.5167150629276875     -32.018669427402315      -5.033302199444734
2ma               5.992641099946923       -2.625309401220875      -28.904705521046438      -4.10875181609299
1dma1ma           5.831121827744937       -2.831168035430892      -29.05342046983062       -4.286066621418286
1ma1tma           5.61545532164746        -3.142378148273565      -29.373917390306893      -4.661173016007524
1dma1tma          5.493581688991981       -3.586876173314522      -30.4560049047124        -5.067794212009176
1am1dma           4.900032876321347       -2.3127815320767695     -24.191898066107676      -3.791310443470138
1am1ma            4.855706064416154       -2.2612572607467882     -23.870390911051487      -3.754741607386677
1am1tma           4.474322291061981       -2.7440015936736017     -24.21037694029851       -4.266005666780984
2am               3.3954250080278143      -1.6344319639902096     -16.870222948213993      -3.072396477946313
1isa1w            -1.1277170164394192     -10.738609439707943     -32.23509113959417       -12.405104824698356
1ica1w            -1.3575964655028656     -11.470767390055698     -33.91976253436189       -13.234954539810133
1am1isa           -2.0450699271750636     -11.480525061720982     -31.646692636458162      -13.264164950698614
1isa1ma           -2.084175914169464      -12.713995158752368     -35.65258844410533       -14.416945703218516
1ica1nta          -2.3041972910577897     -14.215070185164222     -39.949284484890164      -15.292341836320702
1ica2w            -2.4871708907885477     -22.36830451458809      -66.68164891427132       -25.77628882318095
1dma1isa          -2.524068067141343      -13.512505276303273     -36.85542003736376       -15.121899447636679
1isa1ma2tma       -2.733101866557263      -36.20952723748633      -112.28048086832135      -41.1706355655333
2am1isa           -2.810127859818749      -21.500191764323972     -62.686802547341955      -24.92653669900028
1ip1nta           -2.843987921689404      -15.011967620026553     -40.81158283850409       -16.124435516714584
1ip1w             -2.857240784971509      -13.223471119490569     -34.768485860808305      -14.809486174381163
1isa2ma           -3.11955586411932       -25.07880999810004      -73.65167821214156       -28.558354061751743
1isa1tma          -3.1858139059331734     -14.20126511916169      -36.94602545124941       -15.820377939584432
1isa2w            -3.3818583931424655     -23.83966727394727      -68.6158061571692        -26.94699145494087
1am1isa1ma        -3.3981546460927348     -24.000653168674035     -69.10113968660073       -27.50472951791744
1it1w             -3.4666026733466424     -14.083696157045779     -35.60990603310413       -15.70454911248089
1am1it            -3.6421529126819223     -13.97137939510867      -34.64439537990942       -15.6972698335303
1am1ip            -3.902403506799601      -14.071064521674998     -34.105835116048944      -15.837251697434112
2dma1isa1ma       -4.246984229241207      -38.13899856196804      -113.67437307650513      -43.20125717094197
1ica1nta1w        -4.421994815900689      -25.389191807000316     -70.32432329733356       -27.993232730084856
1am1ica           -4.502120674063917      -13.89148571313126      -31.492105699178275      -15.683779638435226
1am1isa1w         -4.761160187423229      -24.785985723210615     -67.16361499510316       -27.833715519409452
1ica1ma           -4.7958109030660125     -17.102594264979416     -41.27715365396613       -19.55228603247815
1am1ica1w         -4.8993865482043475     -25.838182753548608     -70.22906659506961       -29.922755989835423
1ip2w             -5.021680607809685      -25.650772707682336     -69.19029288827767       -28.940096391612315
1dma1isa1ma       -5.3695306209192495     -27.672399122697243     -74.80418749538825       -30.971231965180777
1ica1nta2w        -5.372492435068125      -36.94120201043552      -105.88192864437366      -41.28905606306216
2dma1isa          -5.604072417307179      -28.264730579569004     -76.00424094355193       -31.497457569814287
2sa               -5.6460335430456325     -16.931442821631208     -37.85151133315449       -18.094648499856703
1am1dma1isa       -5.727772083657328      -26.716266526607797     -70.39577634730844       -30.060001222824212
1isa1ma1w         -5.960977298549551      -26.89320982251229      -70.20703085329534       -30.295015397729003
1isa1ma1tma       -6.064829045062652      -28.41359311621636      -74.95810094294819       -31.97196614733548
1ip1msa           -6.18824633496115       -19.875322946114466     -45.906658849169844      -21.15681812603725
1am1sa            -6.240404384443536      -15.112035523459781     -29.755638735636445      -16.441962264769245
1dma1isa1tma      -6.2621912887261715     -29.052202919410774     -76.43809460251553       -32.60159938575816
1am1isa1tma       -6.287404359172797      -27.263411492371233     -70.35389370534969       -30.875554545928026
1isa2tma          -6.3009144987445325     -28.992571309267078     -76.1082109190676        -32.509573872666806
2am1ica           -6.354609930480365      -25.493840482318774     -64.1933148646319        -28.962374744703993
1it1ma            -6.476282762239862      -18.37724738401448      -39.91600988341438       -20.327161472356238
1isa1nta          -6.651682400755817      -18.49692475606571      -39.72915857923865       -19.312318559736013
1fa1ica           -6.810258683864959      -18.61823991104029      -39.60418414308236       -19.7784158103168
1isa1ma2w         -6.88768627907848       -37.279702228843234     -101.93527888552742      -42.379954445772455
1fa1ip            -6.98004844551906       -19.332652076613158     -41.43085663598857       -20.547215964412317
1dma1isa1ma1w     -7.1844136227082345     -39.53270155008795      -108.49666829582425      -44.7088234184921
2dma1ica1ma       -7.226977151112806      -42.07380004875449      -116.87679564826428      -47.28657537629624
1fa1ica1w         -7.228031356120482      -29.356504224138916     -74.21926167362066       -32.341464543256734
1fa1ica2w         -7.531196880561765      -39.753965382958995     -108.07569512775447      -44.382376396344625
1isa1tma1w        -7.626376535597956      -28.99558959870774      -71.67269180976021       -32.60882807410235
