#CLUSTER          ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2tma              7.051766691554803       -2.4181446327711456     -31.762238216535323      -3.8551968984829728
2ma               6.052928478893591       -2.5650220222742064     -28.904705521046438      -4.04846443713177
2dma              5.995636395760812       -3.5507298939919565     -32.018669427402315      -5.0673170305090025
1dma1ma           5.817036765518424       -2.8452530976428534     -29.05342046983062       -4.300151683652075
1ma1tma           5.615669362232438       -3.1421641076449305     -29.373917390306893      -4.66095897537889
1dma1tma          5.43324776753434        -3.6472100948303705     -30.4560049047124        -5.128128133510472
1am1dma           4.915010453041759       -2.2978039554000134     -24.191898066107676      -3.776332866764278
1am1ma            4.84965323007782        -2.239103835228889      -23.775786651953737      -3.7361931294944952
1am1tma           4.462660469711409       -2.7556634150532773     -24.21037694029851       -4.277667488131556
2am               3.3039909453655127      -1.7258660266379593     -16.870222948213993      -3.1638305406086147
1isa1ma2tma       1.1184582568821497      -32.3579671132029       -112.28048086832135      -37.31907544229762
1ica2w            0.9659478422690881      -18.82617447989469      -66.38306145624685       -22.209169342269888
1ica1nta1w        0.44255748175055487     -20.524639509669214     -70.32432329733356       -23.128680432317196
1isa2ma           0.29636903600476217     -21.662885098383413     -73.65167821214156       -25.142429162136978
2am1isa           0.17973738443106413     -18.510326518677175     -62.686802547341955      -21.93667145445943
1ica1nta2w        0.13323369687714148     -31.435475877995486     -105.88192864437366      -35.78332993030199
1am1isa1w         0.1283555021727807      -19.885036929037597     -67.12524712762034       -22.917812119281734
1ip2w             -0.09581992025778163    -20.724912018500618     -69.19029288827767       -24.01423570336192
1am1isa1ma        -0.1194293348598876     -20.721927857790433     -69.10113968660073       -24.226004207201186
1ica1nta          -0.20879410891211592    -12.119667003455106     -39.949284484890164      -13.196938654466067
1ip1w             -0.45044625455193454    -10.728066890027549     -34.471287475331174      -12.303099927536095
1isa1w            -0.6089594829609268     -10.219851905938413     -32.23509113959417       -11.886347291103448
1ip1nta           -0.7715757986006793     -12.939555498363916     -40.81158283850409       -14.052023395022843
2dma1isa1ma       -0.874340472604672      -34.68973041309073      -113.41739465524066      -39.67765205602336
1ica1w            -1.0089334128206247     -11.0937412013227       -33.82461106486668       -12.833565818189527
1am1ip            -1.0807377025485039     -11.249398713931441     -34.105835116048944      -13.015585891902447
1am1it            -1.240847209468484      -11.570073692128062     -34.64439537990942       -13.295964129269123
1it1w             -1.3702212413554662     -11.987314725753095     -35.60990603310413       -13.608167680955376
1am1isa           -1.4678643504157662     -10.903319485485554     -31.646692636458162      -12.686959374696016
1isa1ma           -1.599124926935474      -12.177633250896179     -35.480490774107004      -13.926932557180407
1dma1isa1ma       -1.7895278659198084     -24.021199877206527     -74.56539329656215       -27.300171847149613
1am1dma1isa       -2.136423693038523      -23.124918134883046     -70.39577634730844       -26.4686528313905
1dma1isa          -2.1816056659445167     -13.17004287429154      -36.85542003736376       -14.779437045566738
2dma1isa          -2.3188123255968094     -24.866858799010515     -75.62653948998829       -28.091101062484086
1isa2w            -2.456030445129727      -22.173279110327712     -66.13195502347811       -25.618901449342957
1isa1ma1w         -2.494813436482218      -23.01465098868357      -68.82387238752308       -26.378251687361626
1it1ma            -2.5078360716361203     -14.408800695855462     -39.91600988341438       -16.358714782327297
2am1ica           -2.6894973879680037     -21.82872794009745      -64.1933148646319        -25.297262202948332
1isa1ma1tma       -2.69241482160578       -25.04052001418313      -74.9559121013584        -28.6054039625742
1isa1ma2w         -2.841055879180203      -33.233071829003165     -101.93527888552742      -38.33332404658722
1isa1tma          -2.9584192313923268     -13.973870444227941     -36.94602545124941       -15.592983264810755
1am1isa1tma       -3.0179262940509943     -23.960299266618676     -70.24110522381355       -27.561562215312733
1dma1isa1tma      -3.1262173360883025     -25.94580945756752      -76.53730805688416       -29.467432975172414
1isa2tma          -3.3168471728859004     -26.008503983030096     -76.1082109190676        -29.52550654739025
2dma1ica1ma       -3.3441469323370256     -38.103564937431656     -116.58365924766056      -43.26882308877248
1fa1ip            -3.420092824846506      -15.772696454077959     -41.43085663598857       -16.987260343506932
1dma1isa1ma1w     -3.5521040501334937     -35.94298688072013      -108.63953230266647      -41.11169764652732
1fa1ica1w         -3.6506256703069084     -25.779098537277605     -74.21926167362066       -28.764058857268537
1am1ica1w         -3.6649204967325204     -24.355871842701163     -69.39781190823413       -28.40879492838576
1ica1ma           -3.686884450587968      -15.993667810987972     -41.27715365396613       -18.443359579585376
1am1ica           -3.8933689035475254     -13.295459703542292     -31.53478811017947       -14.93157203681767
1fa1ica           -3.9093441432341933     -16.072473242878914     -40.79535594556429       -17.3742307247594
1fa1ica2w         -3.9095977525721537     -36.13236625304853      -108.07569512775447      -40.76077726864605
1am1ica1nta       -3.915386707842117      -26.82875915389741      -76.85186984920342       -30.32426614506403
1isa1tma1w        -4.0035215920288465     -25.37870220804325      -71.69270708237465       -28.989524926437298
1dma1isa1w        -4.491032254860329      -25.61204905667546      -70.84023746936109       -28.97667795517191
1ip3w             -4.710943796613719      -37.40770296516712      -109.66538342545695      -41.10082240880001
1dma1it           -4.7160590793937445     -17.264512673020363     -42.087719578467215      -19.28171999566257
1isa1tma2w        -4.758452052832581      -36.086545602520346     -105.074919587456        -41.35579986726225
1ip1msa           -4.788493433501571      -18.289345979050267     -45.28208132014086       -19.57211982557783
1ip1ma            -4.850348943706194      -16.65807916859194      -39.60330018782489       -18.679896424218896
1dma1ica1ma1w     -4.93341901882377       -38.48980082228081      -112.548635009626        -43.90187339644763
1isa1ma1tma1w     -4.9795507504532        -36.56367807502829      -105.93366107348648      -41.6989478218311
2sa               -5.044904411421157      -16.330313690239564     -37.85151133315449       -17.493519368348643
1ica1tma1w        -5.158515764072945      -27.3973664097648       -74.58947055404997       -31.4127978788747
1isa1nta          -5.22714746123529       -17.053119199874345     -39.664503566124445      -17.875452848209534
1ica1msa1w        -5.509218942817824      -29.535882111456885     -80.58580208931747       -32.314161995527684
2ica1w            -5.572257309198903      -29.523331465657975     -80.3323173959752        -32.587902146435226
1am1sa            -5.610451338754501      -14.482082477712538     -29.755638735636445      -15.812009218963794
1ica1tma2w        -5.665223950170912      -38.07058954994136      -108.68810774871709      -43.7221059663716
2ica              -5.787049081176519      -19.864558059722185     -47.21621751648499       -21.051756674423814
2ica2w            -5.84859550553665       -40.316525815971545     -115.60602577950696      -45.09468674854725
1ica1msa          -6.090262848418206      -20.02887403621571      -46.75033100271676       -20.993500998301897
1fa1isa1w         -6.264472410060989      -28.375117917072203     -74.15946841442226       -30.998681039593066
1ica1ma1tma1w     -6.323144968126144      -39.94010590988182      -112.75181843951032      -45.154070207005134
1am1fa1ica        -6.358075427822769      -28.070231429301202     -72.82294911175582       -30.87808313872665
1ma1sa            -6.425401686516125      -16.510736577911302     -33.82637897538152       -18.67750057845842
2am1fa1isa        -6.5491380682215095     -37.506766396574676     -103.8324152403824       -41.79074152931571
1am1ica1tma       -6.632990036785486      -28.303743391414173     -72.6840839501258        -32.051825450136675
