#CLUSTER          dG_298.15K_[Eh]  dH_298.15K_[Eh]  dS_298.15K_[Eh/K]       dE_[Eh]
1am               -56.58896886     -56.56712818     7.325399966459837e-05   -56.605461327433
1w                -76.4730721      -76.45165569     7.18309575716921e-05    -76.476937576719
1ma               -95.89960323     -95.87224235     9.176880764715747e-05   -95.941054347304
2am               -113.17252671    -113.13686102    0.00011962331041422104  -113.215818880825
1dma              -135.21503768    -135.1841911     0.00010345993627368774  -135.282572330162
1am1ma            -152.48083395    -152.44297411    0.00012698252557437532  -152.552499298094
1tma              -174.5332393     -174.50058905    0.00010950947509642799  -174.628001858595
1fa               -189.8691586     -189.84097117    9.454110347140701e-05   -189.87916530728
2ma               -191.78965648    -191.74866844    0.00013747455978534298  -191.888656474963
1am1dma           -191.79619776    -191.75500497    0.0001381612946503438   -191.894075557703
1dma1ma           -231.10534833    -231.06094525    0.0001489286936105987   -231.230457029865
1am1tma           -231.1150778     -231.07209012    0.00014418138520878754  -231.240261568931
2dma              -270.4204664     -270.3739865     0.00015589434848230758  -270.5731658207
1ma1tma           -270.42389364    -270.37783915    0.00015446748281066578  -270.576484334555
1nta              -281.04415819    -281.01405382    0.00010097055173570352  -281.045549612829
1dma1tma          -309.73952231    -309.69049626    0.0001644341774274694   -309.918650316221
2tma              -349.05541338    -349.0052043     0.0001684020794901895   -349.262320029374
1isa              -446.81344401    -446.78063626    0.00011003776622505453  -446.801322110465
1am1isa           -503.40567193    -503.36606001    0.0001328590306892504   -503.427921448315
1ica              -522.02349266    -521.98799064    0.00011907439208452123  -522.012898426884
1isa1w            -523.28831326    -523.24940519    0.0001304983062217005   -523.298028684025
1isa1ma           -542.71636862    -542.67313986    0.00014498997149086032  -542.765351560204
2am1isa           -559.99586       -559.94915571    0.00015664695623008557  -560.051968139879
1am1ica           -578.61963618    -578.57725654    0.0001421420090558444   -578.643353705961
1am1isa1w         -579.88307244    -579.83891952    0.00014808958577897032  -579.928077321311
1dma1isa          -582.03250409    -581.98636113    0.00015476424618480632  -582.107992969953
1ica1w            -598.49872825    -598.45792635    0.0001368502096260272   -598.510927463787
1am1isa1ma        -599.30743146    -599.25825466    0.00016493976186483314  -599.391669813922
1isa2w            -599.7649776     -599.72193896    0.00014435230588629886  -599.798140471274
1ica1ma           -617.93073858    -617.88748799    0.00014506318966962938  -617.985111646787
1isa1ma1w         -619.19561886    -619.1473918     0.000161754351836324    -619.267592712674
1isa1tma          -621.35176028    -621.3038567     0.00016066939460003353  -621.454535606199
2am1ica           -635.2115572     -635.16287444    0.00016328277712560795  -635.269976039965
1fa1isa           -636.6952067     -636.65318777    0.00014093221532785513  -636.713859650952
1isa2ma           -638.61762185    -638.565087      0.00017620275029347644  -638.728941908704
1am1dma1isa       -638.62657843    -638.57453106    0.00017456773436189837  -638.737259923455
1am1ica1w         -655.09334137    -655.0479507     0.00015224105316116049  -655.142982769974
1dma1ica          -657.25119749    -657.2046802     0.00015601978869696462  -657.332397089963
1dma1isa1w        -658.51466184    -658.46324993    0.00017243639107831626  -658.612960830116
1msa              -664.51157737    -664.47596399    0.00011944782827435855  -664.545270716002
1am1ica1ma        -674.52455251    -674.47459082    0.00016757232936441392  -674.613661713517
1ica2w            -674.97360046    -674.92694855    0.00015647123930907265  -675.007851135048
1dma1isa1ma       -677.9366419     -677.88116894    0.00018605721952037567  -678.074305096929
1am1isa1tma       -677.94567189    -677.89180095    0.00018068401811168876  -678.083989132245
1am1fa1isa        -693.29300558    -693.24484653    0.00016152624517860138  -693.345928577848
1ica1ma1w         -694.41015568    -694.3609789     0.0001649397283246688   -694.486981269489
1isa1ma2w         -695.67016778    -695.61559959    0.00018302260607076977  -695.763789064328
1ica1tma          -696.56908342    -696.51997027    0.0001647263122589301   -696.676468631763
1isa1tma1w        -697.83190894    -697.77908889    0.00017715931578064732  -697.958227557215
1sa               -700.447511      -700.41373473    0.0001132861982223713   -700.459318641478
1fa1ica           -711.90350421    -711.85863217    0.00015050155961764212  -711.92358297122
1fa1isa1w         -713.17406966    -713.12689399    0.00015822797249706526  -713.21523682156
1ica2ma           -713.83539046    -713.78236144    0.0001778602381351669   -713.951718604633
1am1dma1ica       -713.8440023     -713.79095709    0.00017791453966124434  -713.959735022409
2dma1isa          -717.25245012    -717.19406164    0.00019583592151601543  -717.416661682319
1isa1ma1tma       -717.25595156    -717.19874807    0.0001918614791212477   -717.421329413247
1isa1nta          -727.86820244    -727.82416711    0.0001476952205265806   -727.877648179438
1fa1isa1ma        -732.6049135     -732.55340007    0.0001727769243669294   -732.68465182105
1dma1ica1w        -733.72957629    -733.67756378    0.00017445081334898542  -733.833708268223
2am1fa1isa        -749.879706      -749.82400794    0.00018681220861982222  -749.966616578802
1dma1ica1ma       -753.15481413    -753.09884148    0.00018773318799262119  -753.297869147931
1am1ica1tma       -753.16237582    -753.1070718     0.00018549059198390072  -753.303724776371
1dma1isa1ma1w     -754.41260623    -754.35172542    0.0002041952372966628   -754.573135145004
1dma1isa1tma      -756.57170053    -756.51171452    0.00020119406339091063  -756.763850790891
1am1sa            -757.04642468    -757.00494572    0.00013912107999329196  -757.090982173944
1am1fa1ica        -768.49735437    -768.44642512    0.00017081754150595341  -768.552334834281
1am1fa1isa1w      -769.76428781    -769.71043068    0.00018063769914472588  -769.838900522181
1ica1ma2w         -770.88798798    -770.83240218    0.00018643565319470068  -770.98625375816
1dma1fa1isa       -771.9219891     -771.86801085    0.00018104393761529433  -772.029030898697
1ica1tma1w        -773.04502236    -772.99089391    0.00018154771088378335  -773.174895455579
1isa1tma2w        -774.30577516    -774.24757246    0.00019521284588294483  -774.454631938328
1am1isa1nta       -784.47321349    -784.42273243    0.00016931433842025826  -784.517339106877
1fa1ica1w         -788.37724208    -788.32740055    0.00016716931074962267  -788.420541247016
1am1fa1isa1ma     -789.19307725    -789.13488381    0.0001951817876907597   -789.308055311748
1fa1isa2w         -789.66812406    -789.60965061    0.00019612094583263458  -789.723134015221
2dma1ica          -792.47129411    -792.41236957    0.0001976338755659903   -792.640726146263
1ica1ma1tma       -792.47323329    -792.41516717    0.00019475468723796746  -792.642116695986
1isa1ma1tma1w     -793.73246816    -793.6685659     0.0002143292302532283   -793.918942100765
1isa2tma          -795.88996386    -795.82801744    0.00020776931074962268  -796.109133665821
1ma1sa            -796.35996721    -796.31490223    0.0001511486835485494   -796.432751132633
1ica1nta          -803.07132286    -803.02469785    0.00015638104980714406  -803.082818189077
1isa1nta1w        -804.35229672    -804.30262257    0.00016660791547878586  -804.384229436084
1fa1ica1ma        -807.8132253     -807.75946788    0.00018030323662585952  -807.897741334768
1fa1isa1ma1w      -809.07626645    -809.01860792    0.00019338765721952037  -809.178569952086
1fa1isa1tma       -811.24013021    -811.18412892    0.00018782928056347478  -811.37464974921
2dma1isa1ma       -813.14989067    -813.0820398     0.00022757293308737215  -813.376367413921
2am1sa            -813.64009032    -813.5926544     0.00015910085527419087  -813.719794831336
1isa1ma1nta       -823.78770508    -823.73357588    0.00018155022639610937  -823.858733685212
2am1fa1ica        -825.08793278    -825.03231968    0.00018652725138353177  -825.180671485004
1fa1isa2ma        -828.50389859    -828.4423364     0.00020648056347476106  -828.645669576277
1am1dma1fa1isa    -828.51188701    -828.45164827    0.00020204172396444744  -828.652324879922
1dma1ica1ma1w     -829.62626313    -829.56470888    0.000206453966124434    -829.79074952293
1dma1ica1tma      -831.7892823     -831.72832817    0.00020444115378165354  -831.984684095629
1dma1sa           -835.68070117    -835.63280223    0.00016065383196377665  -835.780753042828
2am1isa1nta       -841.06407019    -841.00649369    0.00019311252725138356  -841.142316230258
1am1fa1ica1w      -844.97262438    -844.9178163     0.00018382720107328526  -845.053362934701
1dma1fa1ica       -847.13243031    -847.07598128    0.0001893309743417743   -847.244010985925
1dma1fa1isa1w     -848.40822673    -848.34298077    0.00021883598859634415  -848.529498512645
1ica1tma2w        -849.51823153    -849.4588956     0.00019901368438705349  -849.670799627059
1am1ma1sa         -852.9534506     -852.90223431    0.0001717802783833641   -853.061261946881
1am1ica1nta       -859.67140132    -859.6204878     0.00017076478282743586  -859.720753109165
1am1isa1nta1w     -860.9450759     -860.88824953    0.00019059657890323664  -861.010357156166
1dma1isa1nta      -863.10523876    -863.04916654    0.00018806711386885796  -863.204114005642
1am1fa1ica1ma     -864.40236207    -864.34147919    0.00020420218011068256  -864.519783357517
1fa1ica2w         -864.85079731    -864.79562582    0.0001850460506456482   -864.916667436145
1dma1fa1isa1ma    -867.82213738    -867.75907617    0.00021150833473084028  -867.990239507483
1am1fa1isa1tma    -867.8281156     -867.76432133    0.0002139670300184471   -867.995522653136
1ica1ma1tma1w     -868.94616487    -868.88302489    0.0002117725306054      -869.13779741966
1ica2tma          -871.1080621     -871.04496268    0.00021163649169880932  -871.330293147607
1sa1tma           -875.00050774    -874.95057551    0.00016747348650008386  -875.127718084406
1ica1nta1w        -879.54776992    -879.49416082    0.000179805802448432    -879.579996132605
1am1isa1ma1nta    -880.37594287    -880.31583462    0.00020160402481972167  -880.482375005574
1isa1nta2w        -880.82657393    -880.77109036    0.00018609280563474764  -880.880651071179
1fa1ica1ma1w      -884.28712633    -884.2279234     0.000198567600201241    -884.393299776925
1fa1ica1tma       -886.44931112    -886.39083825    0.00019611896696293811  -886.586441171037
1fa1isa1tma1w     -887.72604021    -887.65810182    0.00022786647660573542  -887.873638722452
2dma1ica1ma       -888.36468829    -888.29566475    0.00023150612107999334  -888.594454166474
1isa1ma2tma       -891.78388136    -891.71176086    0.00024189334227737717  -892.063990435891
2ma1sa            -892.26479726    -892.2105749     0.00018186265302699985  -892.40000897457
1am1dma1sa        -892.2738602     -892.22001851    0.00018058591313097435  -892.409358469336
1it               -892.36646228    -892.32209482    0.00014880919000503101  -892.342260643905
2isa              -893.64577932    -893.60034714    0.0001523802783833641   -893.643656091509
1ica1ma1nta       -898.99039496    -898.93597153    0.00018253704511152105  -899.066899822769
1isa1ma1nta1w     -900.25906706    -900.20026388    0.00019722683213147746  -900.35378002159
1isa1nta1tma      -902.42077266    -902.36287609    0.0001941860808317961   -902.547147012266
1fa1ica2ma        -903.71259105    -903.6491786     0.00021268639946335737  -903.857973156709
1am1dma1fa1ica    -903.72044658    -903.65756493    0.00021090605399966467  -903.865015512203
2dma1fa1isa       -907.13851946    -907.07213877    0.00022264195874559787  -907.332672472755
1fa1isa1ma1tma    -907.13932967    -907.07233747    0.00022469297333556934  -907.33383831414
2am1ica1nta       -916.26844106    -916.21131075    0.00019161599865839344  -916.35245253185
