#CLUSTER          dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am               -56.510155549224     -56.48831486922399   7.325399966459837e-05   -56.526648016657
1w                -76.42231087002      -76.40089446002      7.18309575716921e-05    -76.426176346739
1ma               -95.73447997536599   -95.70711909536598   9.176880764715747e-05   -95.77593109267
2am               -113.01504579940502  -112.97938010940499  0.00011962331041422104  -113.05833797023
1dma              -134.963961849045    -134.933115269045    0.00010345993627368774  -135.031496499207
1am1ma            -152.23690703049502  -152.199002240495    0.00012713328861311418  -152.308533173498
1tma              -174.19699123434398  -174.16434098434397  0.00010950947509642799  -174.291753792939
1fa               -189.69958814197997  -189.67140071197997  9.454110347140701e-05   -189.70959484926
2ma               -191.459313895687    -191.418325855687    0.00013747455978534298  -191.55831389065
1am1dma           -191.466284749735    -191.42509195973503  0.0001381612946503438   -191.564162547438
1dma1ma           -230.689171690618    -230.644768610618    0.0001489286936105987   -230.814280390483
1am1tma           -230.70003500805498  -230.65704732805503  0.00014418138520878754  -230.825218776986
2dma              -269.918368944733    -269.871889044733    0.00015589434848230758  -270.071068365433
1ma1tma           -269.9225219786111   -269.876467488611    0.00015446748281066578  -270.075112673166
1nta              -280.839929215861    -280.809824845861    0.00010097055173570352  -280.84132063869
1dma1tma          -309.15229456260494  -309.103268512605    0.0001644341774274694   -309.331422568826
2tma              -348.38274464720894  -348.332535567209    0.0001684020794901895   -348.589651296583
1msa              -665.5499738704038   -665.5143604904038   0.00011944782827435855  -665.583667216406
1sa               -701.5325095901318   -701.4987333201319   0.0001132861982223713   -701.54431723161
1am1sa            -758.0516060549191   -758.0101270949192   0.00013912107999329196  -758.096163548863
1ma1sa            -797.2772292005059   -797.2321642205059   0.0001511486835485494   -797.350013123139
2am1sa            -814.5658305348961   -814.5183946148959   0.00015910085527419087  -814.645535046232
1dma1sa           -836.512344947677    -836.4644460076771   0.00016065383196377665  -836.612396820505
1am1ma1sa         -853.7919860472481   -853.7407697572481   0.0001717802783833641   -853.899797394129
1sa1tma           -875.7474026339431   -875.6974704039429   0.00016747348650008386  -875.874612978349
2ma1sa            -893.016319214001    -892.962096854001    0.00018186265302699985  -893.151530928571
1am1dma1sa        -893.0266534061728   -892.9719419561728   0.00018350310246520208  -893.161061721068
1dma1ma1sa        -932.251176910158    -932.193653380158    0.00019293486500083853  -932.413184719804
1am1sa1tma        -932.2581521929691   -932.2021421429689   0.00018785862820727822  -932.419903072416
2dma1sa           -971.4809952160251   -971.420720716025    0.00020216166359215165  -971.669713542009
1ma1sa1tma        -971.4823257299721   -971.423800699972    0.00019629391246017109  -971.671986578265
1dma1sa1tma       -1010.7128220204861  -1010.6511490004862  0.00020685232265638104  -1010.928608974933
1sa2tma           -1049.948464216495   -1049.8844151064948  0.0002148218011068254   -1050.187711951333
2sa               -1403.0730588301321  -1403.0234909201322  0.000166251551232601    -1403.116512448454
1am2sa            -1459.6031061877745  -1459.5499554977748  0.0001782682877746101   -1459.685202902766
1ma2sa            -1498.8362377879698  -1498.7795851279702  0.00019001391916820392  -1498.945831792284
2am2sa            -1516.1240130363237  -1516.0636520863238  0.0002024515847727654   -1516.241900628897
1dma2sa           -1538.0724877785099  -1538.01238783851    0.00020157618648331376  -1538.208732785212
1am1ma2sa         -1555.355717380473   -1555.291565130473   0.00021516766728156976  -1555.500772717732
2sa1tma           -1577.3028203212891  -1577.2401425912888  0.00021022213650846887  -1577.466482279282
2ma2sa            -1594.587605488315   -1594.5193526483147  0.00022892114707362063  -1594.759588265689
1am1dma2sa        -1594.5911880102062  -1594.526179290206   0.0002180403152775449   -1594.764728618167
1am2sa1tma        -1633.817982952008   -1633.7505142320076  0.00022629119570685891  -1634.018961862784
1dma1ma2sa        -1633.8230256828542  -1633.754519392854   0.00022977122253899044  -1634.024092059072
1ma2sa1tma        -1673.0517252817906  -1672.9808338817909  0.00023777092067751128  -1673.279930366304
2dma2sa           -1673.0584309559597  -1672.9872113059598  0.00023887191011235956  -1673.287032312608
1dma2sa1tma       -1712.2884133471373  -1712.2147612971369  0.00024703018614791216  -1712.543757369903
2sa2tma           -1751.517105955587   -1751.442555125587   0.0002500447090390743   -1751.801764036809
1isa              -7372.8934792088785  -7372.860671458879   0.00011003776622505453  -7372.881357309343
1am1isa           -7429.405973972976   -7429.366362052977   0.0001328590306892504   -7429.428223491292
1ica              -7448.062995272097   -7448.027493252098   0.00011907439208452123  -7448.052401038982
1isa1w            -7449.3167605276185  -7449.277852457619   0.0001304983062217005   -7449.326475951643
1isa1ma           -7468.630507578318   -7468.587197048319   0.00014526422941472415  -7468.679482610737
2am1isa           -7485.913503874616   -7485.866799584616   0.00015664695623008557  -7485.969612014495
1am1ica           -7504.579355363617   -7504.536996003617   0.00014207398960254904  -7504.6028442758
1am1isa1w         -7505.8257410785     -7505.7815699385     0.00014815072949857455  -7505.870703907884
1dma1isa          -7507.860917703717   -7507.814774743717   0.00015476424618480632  -7507.93640658367
1ica1w            -7524.486913996443   -7524.446066896443   0.00013700184470903908  -7524.499029185661
1am1isa1ma        -7525.138305058193   -7525.089128258192   0.00016493976186483314  -7525.222543412115
1isa2w            -7525.742014922947   -7525.697796112948   0.0001483106154620158   -7525.774536742214
1ica1ma           -7543.803350732442   -7543.760100142441   0.00014506318966962938  -7543.857723799229
1isa1ma1w         -7545.054245833562   -7545.005361573562   0.00016395857789703168  -7545.125501602261
1isa1tma          -7547.095185033003   -7547.047281453003   0.00016066939460003353  -7547.197960359202
2am1ica           -7561.087592401669   -7561.038909641669   0.00016328277712560795  -7561.146011241634
1fa1isa           -7562.603671675589   -7562.56164689559    0.00014095180278383363  -7562.622310285454
1isa2ma           -7564.361966860616   -7564.309432010617   0.00017620275029347644  -7564.47328691932
1am1dma1isa       -7564.3710012501415  -7564.318953880142   0.00017456773436189837  -7564.481682743596
1am1ica1w         -7581.001302174171   -7580.955516534172   0.0001535657554922019   -7581.0504981659
1dma1ica          -7583.038312666334   -7582.991795376333   0.00015601978869696462  -7583.119512266296
1dma1isa1w        -7584.28690891724    -7584.235497007241   0.00017243639107831626  -7584.385207907357
1am1ica1ma        -7600.318360377373   -7600.2683986873735  0.00016757232936441392  -7600.40746958089
1ica2w            -7600.906077660386   -7600.859283900385   0.00015694707362066076  -7600.940146661804
1dma1isa1ma       -7603.594772856892   -7603.539186436892   0.0001864377662250545   -7603.732290943179
1am1isa1tma       -7603.605435413747   -7603.551510873747   0.00018086375985242327  -7603.743681717262
1am1fa1isa        -7619.116306210034   -7619.068134140033   0.00016156991447258094  -7619.169212900089
1ica1ma1w         -7620.231874347686   -7620.182697567687   0.0001649397283246688   -7620.308699937175
1isa1ma2w         -7621.4771084817285  -7621.42254029173    0.00018302260607076977  -7621.570729766057
1ica1tma          -7622.271553010328   -7622.222359690329   0.0001649952372966628   -7622.378841534746
1isa1tma1w        -7623.519161396831   -7623.46635085683    0.00017712741908435352  -7623.645485674251
1fa1ica           -7637.7688134148     -7637.7245073448     0.00014860328693610603  -7637.78968377296
1fa1isa1w         -7639.025361396115   -7638.978185726114   0.00015822797249706526  -7639.066528557675
