#CLUSTER         ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
3dma1malonic     -1.703337399463635      -36.564559390506474     -116.9251114915116       -40.38149097681162
2dma1malonic     -3.280282937368611      -25.967253277660348     -76.09247137434285       -28.901655166235287
1dma1malonic     -4.037767860048916      -15.601291847793618     -38.78424949747391       -16.717836675379658
1malonic1sa      -5.610310722258873      -18.47550794784911      -43.150082929272514      -19.83518434583675
1malonic2sa      -12.359039225033484     -38.46612955944147      -87.56361004244197       -41.10675539204385
1malonic3sa      -18.12713564815931      -58.15129976393655      -134.24170422763416      -61.71797807817347
1dma1malonic1sa  -19.68966139666736      -44.477548582013696     -83.13898100111624       -48.08642250834964
2dma1malonic1sa  -33.19130386901088      -71.31050062808208      -127.85241240666495      -78.3362167023588
1dma1malonic2sa  -34.12756830465514      -72.2233042762382       -127.77372453872297      -78.3209285485791
3dma1malonic1sa  -34.23410942545161      -84.2368367096642       -167.70996908928635      -92.3914159318665
1dma1malonic3sa  -45.34156308299862      -97.3557234571781       -174.45634873137936      -104.89029488665983
2dma1malonic2sa  -52.80679668660741      -104.45641115831677     -173.2336557828349       -113.70613285142463
3dma1malonic2sa  -65.44162424455862      -130.0609419014072      -216.73425341774447      -141.938834471046
2dma1malonic3sa  -67.84285093587823      -132.9111147664953      -218.2400262631927       -142.6548054155428
