#CLUSTER     ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1dma2sa   -35.56033145880792      -68.47796540800482      -110.40624316394437      -75.46714963112026
2am1dma3sa   -60.930898976977915     -120.24715115921572     -198.94766361660248      -131.435907344101
1am2dma3sa   -67.14389403024688      -127.84003158449195     -203.5758007858126       -139.57390453177504
3am1dma4sa   -87.63662972813472      -169.36754007148556     -274.1267954670133       -185.03262553852983
2am2dma4sa   -91.53466581366956      -175.8198082940653      -282.69371098396795      -191.77085965126753
1am3dma4sa   -95.64097642060369      -182.5345798463095      -291.4425108184136       -199.08177255024202
4am1dma5sa   -111.11329906666651     -217.81504496652633     -357.87936726604073      -237.68720724293962
3am2dma5sa   -114.92801530426368     -224.7914287946187      -368.4836733720276       -245.59571800380945
2am3dma5sa   -119.66610220586881     -231.0524403778836      -373.591566733926        -252.27383682643995
1am4dma5sa   -125.3496416034177      -238.65219196118414     -380.0185318054338       -260.4907058761455
4am2dma6sa   -139.11498666368425     -272.5655162963085      -447.59524855750465      -297.6204718952067
5am1dma6sa   -139.77512609492987     -272.4903477113694      -445.1290344358546       -296.9679166530259
2am4dma6sa   -149.0114682521671      -287.4466369901784      -464.31374689974865      -313.76155028073117
3am3dma6sa   -149.43830834329128     -285.4969349694438      -456.3428066452793       -311.1158230374567
1am5dma6sa   -155.469314977061       -294.9942681742832      -467.9688808426296       -321.8452912126668
6am1dma7sa   -169.6951656625606      -325.58304396504536     -522.8504847462686       -354.0605691438541
5am2dma7sa   -171.51379485800862     -330.64093777164817     -533.7149893962437       -360.3140230346471
4am3dma7sa   -175.68565442739055     -337.5706855766475      -542.9649708150932       -367.71406584698707
3am4dma7sa   -179.47660712664947     -341.5186269758269      -543.4914924502098       -371.9998517772183
2am5dma7sa   -182.92279712762684     -348.2604752825573      -554.5451845718264       -379.44648194871843
1am6dma7sa   -184.0900907581672      -350.63076118938625     -558.5800193908772       -382.64095984306186
7am1dma8sa   -199.13700402062386     -379.6984132323414      -605.605912921818        -412.8376248483546
6am2dma8sa   -202.97958766575903     -385.31591421412304     -611.5589937891332       -419.23328924225643
5am3dma8sa   -205.5890149665065      -389.67353977262974     -617.4224794771426       -423.8038834496401
4am4dma8sa   -207.7946503609419      -393.88256634492427     -624.1418443198727       -428.8951166360639
2am6dma8sa   -212.13424148317426     -403.3793912725523      -641.4392491695121       -439.735321554821
3am5dma8sa   -213.41683251503855     -404.56161947501823     -641.1026516354186       -440.06965680839494
1am7dma8sa   -215.95875931764022     -410.22248091362417     -651.5635675707197       -447.03097036713734
8am1dma9sa   -229.87291043857113     -437.70022860588506     -697.0562196611104       -474.71547332871705
7am2dma9sa   -230.14716690033674     -436.73988546431065     -692.9153523042767       -474.58973584417254
6am3dma9sa   -232.83593567926437     -444.38920978456736     -709.553095019789        -482.5270313262008
5am4dma9sa   -234.45147980330512     -446.29585882555693     -710.5294236016102       -485.39674785686657
3am6dma9sa   -238.39463962987065     -453.8209877512418      -722.5434068310919       -493.89117496460676
4am5dma9sa   -238.79119642544538     -452.80290178442374     -717.798692800671        -492.35003555892035
1am8dma9sa   -240.74802688043565     -460.65593240363523     -737.5745608662421       -501.79719306807965
2am7dma9sa   -242.7884030858986      -460.3262674272992      -729.6254248414559       -501.4186331629753
9am1dma10sa  -256.11250058561563     -486.1337276333943      -771.4949547972163       -527.8578050499782
8am2dma10sa  -257.62768815550953     -489.2294070087373      -776.7959292432          -531.6552810706198
7am3dma10sa  -257.9152225796133      -493.1268030423671      -788.9034223109848       -535.3957373471931
6am4dma10sa  -260.1986620714888      -495.8995379982516      -790.5445483860476       -539.2844405900687
1am9dma10sa  -260.23318101093173     -506.52820263803005     -826.0773608927725       -552.4483132157475
5am5dma10sa  -262.8673570305109      -502.1438266262412      -802.5371062238138       -546.5277484767139
4am6dma10sa  -263.51790194027126     -504.78327994514257     -809.207916667047        -548.9365583192557
3am7dma10sa  -267.9192707333714      -510.27883199229836     -812.8777831975517       -555.4950988711789
2am8dma10sa  -272.45085894782096     -516.4722238536924      -818.4514999335572       -562.0132164396346
