#CLUSTER     ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am3dma4sa   638.307510686107        551.2453662289772       -292.00780020553424      534.5643688819837
3am1dma4sa   606.5881319202017       524.8572215763852       -274.1267954670133       509.1921361091081
1am2dma3sa   481.2675196256023       420.57138207065873      -203.5758007858126       408.8375091238413
1am1dma2sa   326.43168411555234      291.84196802193765      -116.01447624809666      284.8842511055991
2am1dma3sa   -64.41744717559777      -123.24089615233243     -197.29479356454812      -134.39433572930284
2am2dma4sa   -99.20011513750069      -182.42253736173734     -279.12932978084865      -198.59394880849868
4am1dma5sa   -119.63654540805146     -226.33829130930826     -357.87936726604073      -246.2104535852559
3am2dma5sa   -127.96966510079801     -236.64065346634015     -364.48423885638107      -257.5630456600338
2am3dma5sa   -132.74421540880576     -243.84498324105516     -372.6337380728495       -264.98986749723554
1am4dma5sa   -141.38839204469696     -255.5550516829826      -382.91676853587137      -277.496962367557
5am1dma6sa   -150.51271986635402     -283.0740149966441      -444.61274142585955      -307.5425125034526
4am2dma6sa   -153.39512569690123     -288.6904702242464      -453.78276698702007      -313.7278831419535
3am3dma6sa   -165.44342389842495     -301.4313372108154      -456.1056330310918       -327.04519870551303
2am4dma6sa   -168.71799412043765     -307.23324479255825     -464.582343018682        -333.78955762740225
1am5dma6sa   -177.38364471215755     -316.90859791077673     -467.9688808426296       -343.75962094869465
6am1dma7sa   -180.07614777470008     -335.93226815061644     -522.7439681377496       -364.6169712198898
5am2dma7sa   -187.9221771657467      -347.04932008031756     -533.7149893962437       -376.72240534285083
4am3dma7sa   -194.97582990070805     -357.3584709279239      -544.6339835738723       -387.7461021700874
3am4dma7sa   -202.4943374339491      -365.17464078450575     -545.6323268509141       -395.5628317981027
2am5dma7sa   -209.61070341896266     -374.9483815757558      -554.5451845718264       -406.1343882409856
1am6dma7sa   -212.97123541450128     -379.48575152177364     -558.492297354855        -411.5576973245479
7am1dma8sa   -215.93073571519926     -397.2881826828234      -608.27585768375         -430.4848128547892
6am2dma8sa   -224.13046170352027     -406.4667882528156      -611.5589937891332       -440.384163280949
5am3dma8sa   -230.48906247364357     -414.57358728023246     -617.4224794771426       -448.70393095724285
4am4dma8sa   -234.49747329065576     -422.3686461262405      -630.1229171036728       -457.78813535161316
3am5dma8sa   -243.04002399323508     -434.1848109541461      -641.1026516354186       -469.69284828705713
2am6dma8sa   -243.45572360791266     -435.1866109208204      -643.0684208020461       -472.13014853931963
8am1dma9sa   -246.11607156135142     -453.94338972773403     -697.0562196611104       -490.95863445149735
1am7dma8sa   -250.87096257694066     -444.13319566100836     -648.2045586390744       -481.3766984269023
7am2dma9sa   -252.35016096010804     -458.9428795245476      -692.9153523042767       -496.7927299053408
6am3dma9sa   -256.6654066108167      -467.6279682163149      -707.571814543049        -505.61426273873076
5am4dma9sa   -262.6484042722732      -474.32308765873313     -709.9602826951538       -513.772197030019
4am5dma9sa   -266.70332263130695     -479.59649134380743     -714.0470814554085       -519.1126792016439
3am6dma9sa   -273.4856254956685      -489.10453546233475     -723.1892413794067       -529.7011581663974
9am1dma10sa  -278.6771514751017      -508.4754329835996      -770.7471917890996       -550.7225785432383
8am2dma10sa  -281.24408702738583     -512.8458058824763      -776.7959292432          -555.2716799443588
1am8dma9sa   -281.5950846769847      -501.62361510051414     -737.9791598154958       -543.4935256317258
2am7dma9sa   -281.71533849509433     -499.25320283696055     -729.6254248414559       -540.345568572171
7am3dma10sa  -289.87430388107896     -525.0419089328498      -788.7559280623178       -567.4095596102998
6am4dma10sa  -293.02102957013994     -530.8554847231135      -797.7005871259436       -574.231627240777
5am5dma10sa  -299.2749226465821      -538.681297914125       -802.9728330260609       -583.1218168633059
4am6dma10sa  -304.2814339874312      -546.2304953364655      -811.5010018375654       -590.7894417056814
1am9dma10sa  -307.99898960534483     -554.2940112324432      -826.0773608927725       -600.2141218082979
3am7dma10sa  -310.2795011634007      -552.6390624241903      -812.8777831975517       -597.8553293012083
2am8dma10sa  -316.5151483975351      -560.5365133052692      -818.4514999335572       -606.07750589028
