#CLUSTER     dG_298.15K_[Eh]  dH_298.15K_[Eh]  dS_298.15K_[Eh/K]       dE_[Eh]
1am          -56.51557085     -56.49374429     7.320664095254067e-05   -56.531912119857
1dma         -135.03146373    -135.00071668    0.00010312607747777966  -135.097502436027
1sa          -700.05983454    -700.02555845    0.00011496256917658899  -700.069492373395
1am1dma2sa   -1591.72337324   -1591.65470558   0.00023031249371121922  -1591.888665101612
2am1dma3sa   -2348.33920962   -2348.25650862   0.0002773805131645145   -2348.579262407827
1am2dma3sa   -2426.86500364   -2426.77558116   0.000299924467549891    -2427.157821581816
3am1dma4sa   -3104.95717374   -3104.85409049   0.00034574291464028176  -3105.266079589456
2am2dma4sa   -3183.4792786    -3183.37134533   0.00036200996142881096  -3183.842408075982
1am3dma4sa   -3262.00171537   -3261.8890185    0.00037798715411705526  -3262.41964919366
4am1dma5sa   -3861.56999197   -3861.45060004   0.0004004425289283918   -3861.95139536553
3am2dma5sa   -3940.09196405   -3939.96869012   0.0004134627536474929   -3940.529588825845
2am3dma5sa   -4018.61540763   -4018.48564017   0.00043524215998658395  -4019.105821511569
1am4dma5sa   -4097.1403579    -4097.00472366   0.00045491947006540324  -4097.684506377168
5am1dma6sa   -4618.19107336   -4618.05703432   0.0004495691095086366   -4618.647270657184
4am2dma6sa   -4696.70591423   -4696.5641265    0.00047555834311588136  -4697.213900897055
3am3dma6sa   -4775.23825854   -4775.09170663   0.000491537514673822    -4775.800997646091
2am4dma6sa   -4853.7534712    -4853.6017861    0.0005087543182961597   -4854.370804240499
1am5dma6sa   -4932.27965542   -4932.12078653   0.0005328488680194535   -4932.949276950748
6am1dma7sa   -5374.81415986   -5374.66094653   0.0005138800268321315   -5375.339659022212
5am2dma7sa   -5453.33295094   -5453.17597927   0.0005264855944994131   -5453.915214954309
4am3dma7sa   -5531.85549217   -5531.69399503   0.0005416640952540668   -5532.49259811101
3am4dma7sa   -5610.37742638   -5610.20725893   0.0005707444574878418   -5611.065018332265
2am5dma7sa   -5688.89881117   -5688.72497525   0.0005830485326178098   -5689.642475731415
1am6dma7sa   -5767.41656427   -5767.23572497   0.0006065379842361228   -5768.213156824672
7am1dma8sa   -6131.43648429   -6131.26648849   0.0005701687070266646   -6132.034731682317
6am2dma8sa   -6209.95850078   -6209.78241303   0.0005906012074459165   -6210.610514243614
5am3dma8sa   -6288.47855209   -6288.29632981   0.0006111764883447928   -6289.183388340431
4am4dma8sa   -6366.99795991   -6366.81000978   0.0006303878249203423   -6367.757092136833
3am5dma8sa   -6445.5228124    -6445.3340005    0.0006332782156632568   -6446.340490400014
2am6dma8sa   -6524.03666132   -6523.83908887   0.0006626612443400974   -6524.905547913544
1am7dma8sa   -6602.55864902   -6602.35696653   0.0006764463860472917   -6603.482764706102
8am1dma9sa   -6888.06087097   -6887.87822396   0.0006126010732852591   -6888.734745821228
7am2dma9sa   -6966.57720091   -6966.38366593   0.0006491194700654034   -6967.300135759896
6am3dma9sa   -7045.09737866   -7044.90282842   0.0006525247023310414   -7045.878375092057
5am4dma9sa   -7123.6158461    -7123.41283928   0.0006808882441723964   -7124.448538639799
4am5dma9sa   -7202.13865483   -7201.93018141   0.0006992232433338924   -7203.025209839568
3am6dma9sa   -7280.65391575   -7280.43877624   0.0007215814187489519   -7281.593256143049
2am7dma9sa   -7359.17681061   -7358.95611556   0.0007402148247526414   -7360.170842351188
1am8dma9sa   -7437.68945191   -7437.46361331   0.0007574663759852423   -7438.737035947192
9am1dma10sa  -7644.67809224   -7644.47471119   0.0006821433842025827   -7645.420838884449
8am2dma10sa  -7723.19639975   -7722.98661691   0.0007036150930739561   -7723.992480926301
7am3dma10sa  -7801.71275085   -7801.49980026   0.0007142398121750796   -7802.564032100469
6am4dma10sa  -7880.23228266   -7880.01119133   0.0007415439208452121   -7881.135819523655
5am5dma10sa  -7958.75242842   -7958.52811473   0.0007523518027838337   -7959.712952904776
4am6dma10sa  -8037.26935802   -8037.0392934    0.000771640516518531    -8038.282381943377
3am7dma10sa  -8115.792265     -8115.5550236    0.000795711588126782    -8116.858424067032
2am8dma10sa  -8194.3153795    -8194.07186589   0.0008167486500083851   -8195.434401771898
1am9dma10sa  -8272.81180207   -8272.56299131   0.0008345153781653531   -8273.984749287278
