#CLUSTER     dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am          -56.587939140315996  -56.566112580316     7.320664095254067e-05   -56.604280410173
1dma         -135.214237154989    -135.183490104989    0.00010312607747777966  -135.280275861016
1sa          -700.453472038356    -700.419195948356    0.00011496256917658899  -700.463129871751
1am1dma2sa   -1592.1889130039     -1592.1229100039002  0.00022137511319805466  -1592.35681937865
2am1dma3sa   -2349.853188346235   -2349.7697020062355  0.00028001455643132656  -2350.092399512885
1am2dma3sa   -2427.6098730414483  -2427.520450561449   0.000299924467549891    -2427.902690983264
3am1dma4sa   -3105.8252730370727  -3105.7221897870727  0.00034574291464028176  -3106.134178886529
2am2dma4sa   -3185.576327821128   -3185.4667009811274  0.00036769022304209293  -3185.938114896888
1am3dma4sa   -3263.0273204973028  -3262.9148922173035  0.00037708629884286436  -3263.445736144435
4am1dma5sa   -3864.0240088457917  -3863.9046169157923  0.0004004425289283918   -3864.405412241322
3am2dma5sa   -3942.6635866689953  -3942.538412468996   0.0004198363239979877   -3943.099499385869
2am3dma5sa   -4021.2974934924046  -4021.167270942405   0.00043676857286600694  -4021.787330352777
1am4dma5sa   -4099.937567021514   -4099.803309841513   0.00045030078819386217  -4100.483257333622
5am1dma6sa   -4621.114624848119   -4620.9803405081175  0.00045039188328022817  -4621.570562388901
4am2dma6sa   -4699.7455163162585  -4699.606668516258   0.00046569780311923534  -4700.256414956983
3am3dma6sa   -4778.391014714358   -4778.244350114357   0.0004919154787858461   -4778.95363312001
2am4dma6sa   -4857.022531142684   -4856.870973662684   0.0005083262787187658   -4857.640376501813
1am5dma6sa   -4935.662638893074   -4935.503770003074   0.0005328488680194535   -4936.332260423821
6am1dma7sa   -5378.2031488340735  -5378.049884894074   0.0005140497736038907   -5378.728927548676
5am2dma7sa   -5456.841950421464   -5456.684978751465   0.0005264855944994131   -5457.424214435772
4am3dma7sa   -5535.479489263249   -5535.318785123247   0.0005390043266812008   -5536.117777446973
3am4dma7sa   -5614.117768905951   -5613.94861863595    0.000567332785510649    -5614.806229777908
2am5dma7sa   -5692.755407688693   -5692.581571768694   0.0005830485326178098   -5693.499072250108
1am6dma7sa   -5771.387061107236   -5771.2061801272375  0.0006066777796411203   -5772.18371038327
7am1dma8sa   -6135.301698525136   -6135.132971305135   0.000565913835317793    -6135.901306000688
6am2dma8sa   -6213.941063769747   -6213.764976019749   0.0005906012074459165   -6214.593077233362
5am3dma8sa   -6292.577494964295   -6292.3952726842945  0.0006111764883447928   -6293.282331214725
4am4dma8sa   -6371.210180854113   -6371.025072554113   0.000620856280395774    -6371.972803416108
3am5dma8sa   -6449.850092430318   -6449.661280530318   0.0006332782156632568   -6450.667770430331
2am6dma8sa   -6528.477052911329   -6528.28025454133    0.0006600649672983399   -6529.347650006432
1am7dma8sa   -6607.115167983401   -6606.911889503402   0.0006817993627368775   -6608.038380924496
8am1dma9sa   -6892.391213594699   -6892.208566584699   0.0006126010732852591   -6893.065088445927
7am2dma9sa   -6971.027446365698   -6970.833911385697   0.0006491194700654034   -6971.750381215594
6am3dma9sa   -7049.6606212329925  -7049.465129622992   0.000655682106322321    -7050.440434818882
5am4dma9sa   -7128.296453859711   -7128.093176609712   0.0006817952372966627   -7129.129430899668
4am5dma9sa   -7206.92921386478    -7206.718957924781   0.0007052018782492035   -7207.813937038382
3am6dma9sa   -7285.566320278557   -7285.351487638557   0.0007205522052658058   -7286.506806478616
2am7dma9sa   -7364.205733311006   -7363.9850382610075  0.0007402148247526414   -7365.199765052195
1am8dma9sa   -7442.831839687045   -7442.606193317044   0.0007568215998658394   -7443.880777143691
9am1dma10sa  -7649.484514692485   -7649.280778352488   0.0006833350327016604   -7650.227739617682
8am2dma10sa  -7728.1149034215505  -7727.90512058155    0.0007036150930739561   -7728.910984597853
7am3dma10sa  -7806.754954704102   -7806.5419340340995  0.0007144748616468222   -7807.606323190746
6am4dma10sa  -7885.3862673970925  -7885.168576177093   0.0007301399295656549   -7886.293190410538
5am5dma10sa  -7964.022531727587   -7963.798425057586   0.0007516574207613618   -7964.983353426512
4am6dma10sa  -8042.656808208245   -8042.427833118245   0.0007679862149924534   -8043.671568141393
3am7dma10sa  -8121.292664850009   -8121.055423450009   0.000795711588126782    -8122.35882391704
2am8dma10sa  -8199.928900103601   -8199.685386493606   0.0008167486500083851   -8201.047922375501
1am9dma10sa  -8278.541626615364   -8278.292815855364   0.0008345153781653531   -8279.71457383264
