Number of files in database_s1.pkl: 15587
Number of files in database_s2.pkl: 15587
Example output:
info  cluster_type                                                                      1am1dma
      component_ratio                                                                    [1, 1]
      components                                                                      [am, dma]
      file_basename                                                                1am1dma-3_11
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_I/r2S...
log   NAtoms                                                                                 14
      charge                                                                                  0
      dipole_moment                                                                     2.64175
      dipole_moments                          [1.1890274897320159, 0.6889461591639218, 2.255...
      electronic_energy                                                             -191.647516
      energy_thermal_correction                                                             NaN
      enthalpy_energy                                                                       NaN
      enthalpy_thermal_correction                                                           NaN
      entropy                                                                               NaN
      gibbs_free_energy                                                                     NaN
      gibbs_free_energy_thermal_correction                                                  NaN
      internal_energy                                                                       NaN
      method                                                                     !_r2scan-3c_sp
      moments_of_inertia                                                                    NaN
      mulliken_charges                        [-0.787293, 0.262904, 0.262703, 0.261835, -0.4...
      multiplicity                                                                            1
      polarizability                                                                        NaN
      pressure                                                                              NaN
      program                                                                        ORCA_5.0.0
      rotational_constant                                                              9.544589
      rotational_constants                               [9.386467689, 1.274659301, 1.16989425]
      rotational_symmetry_number                                                            NaN
      sp_electronic_energy                                                          -191.647516
      temperature                                                                           NaN
      termination                                                                             1
      vibrational_frequencies                                                               NaN
      zero_point_correction                                                                 NaN
      zero_point_energy                                                                     NaN
xyz   structure                               (Atom('N', [-2.10766, 5.60273, 0.31522], index...
Name: 0, dtype: object
Number of files in mydatabase.pkl: 31174
1am1dma-3_11       -191.64751613413  
1am1dma-2_9        -191.639274074947 
1am1dma-2_7        -191.640385839994 
1am1dma-1_11       -191.640684967494 
1am1dma-1_6        -191.64713888984  
1am1dma-1_1        -191.659622207634 
1am1dma-1_8        -191.645128364779 
1am1dma-3_9        -191.646146597308 
1am1dma-3_7        -191.641627017685 
1am1dma-2_1        -191.660225808578 
1am1dma-2_6        -191.641241045599 
1am1dma-2_8        -191.647874128745 
1am1dma-3_10       -191.647889432485 
1am1dma-3_1        -191.660887271884 
1am1dma-3_6        -191.649395936307 
1am1dma-3_8        -191.649822150313 
1am1dma-1_9        -191.643574664221 
1am1dma-1_10       -191.640067293221 
1am1dma-1_7        -191.645885857077 
1am1dma-3_5        -191.645614152964 
1am1dma-2_10       -191.644128968742 
1am1dma-3_2        -191.645660332131 
1am1dma-1_4        -191.647804891651 
1am1dma-1_3        -191.642576619078 
1am1dma-2_5        -191.643704330273 
1am1dma-2_2        -191.648036592769 
1am1dma-1_2        -191.650656208554 
1am1dma-1_5        -191.643379092788 
1am1dma-3_3        -191.649965967599 
1am1dma-3_4        -191.647024299917 
1am1dma-2_11       -191.645243127909 
1am1dma-2_3        -191.642247214818 
1am1dma-2_4        -191.644777535215 
1am1eda-4_6        -246.984383761068 
1am1eda-4_10       -246.988491324235 
1am1eda-4_1        -247.013814741332 
1am1eda-3_5        -246.983891670922 
1am1eda-4_8        -246.972929912548 
1am1eda-3_2        -246.985433283272 
1am1eda-1_4        -246.985769787329 
1am1eda-6_9        -246.990502496423 
1am1eda-1_3        -246.991963076162 
1am1eda-6_7        -246.988361125318 
1am1eda-5_6        -246.98711905564  
1am1eda-6_10       -246.997580374225 
1am1eda-5_1        -247.013292400281 
1am1eda-2_5        -246.978215256015 
1am1eda-2_2        -246.988276200333 
1am1eda-5_8        -246.984357671891 
1am1eda-2_11       -246.986375289417 
1am1eda-7_9        -246.988791346617 
1am1eda-7_7        -246.994650615607 
1am1eda-6_1        -247.013198021002 
1am1eda-6_6        -246.988640587142 
1am1eda-6_8        -246.993885726017 
1am1eda-1_2        -246.978823487115 
1am1eda-1_5        -246.979708231735 
1am1eda-4_9        -246.983051877777 
1am1eda-3_3        -246.996471711044 
1am1eda-3_4        -246.986558079467 
1am1eda-4_11       -246.990413819332 
1am1eda-4_7        -246.969789726662 
1am1eda-7_1        -247.012978889982 
1am1eda-7_6        -246.991734742149 
1am1eda-7_8        -246.995666687705 
1am1eda-2_10       -246.98332807624  
1am1eda-2_3        -246.996117356835 
1am1eda-5_9        -246.989098892861 
1am1eda-2_4        -246.999206244039 
1am1eda-5_7        -246.98883830664  
1am1eda-6_11       -246.995552377804 
1am1eda-5_11       -246.987303739201 
1am1eda-7_5        -246.990001622245 
