Number of files in database_s1.pkl: 18835
Number of files in database_s2.pkl: 18834
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-2
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_III/r...
log   NAtoms                                                                                  4
      charge                                                                                  0
      dipole_moment                                                                     1.40296
      dipole_moments                          [1.0724197877272172, 0.822023301207759, -0.377...
      electronic_energy                                                              -56.540146
      energy_thermal_correction                                                             NaN
      enthalpy_energy                                                                       NaN
      enthalpy_thermal_correction                                                           NaN
      entropy                                                                               NaN
      gibbs_free_energy                                                                     NaN
      gibbs_free_energy_thermal_correction                                                  NaN
      internal_energy                                                                       NaN
      method                                                                     !_r2scan-3c_sp
      moments_of_inertia                                                                    NaN
      mulliken_charges                                 [0.25059, 0.259575, 0.254908, -0.765073]
      multiplicity                                                                            1
      polarizability                                                                        NaN
      pressure                                                                              NaN
      program                                                                        ORCA_5.0.0
      rotational_constant                                                            480.393514
      rotational_constants                    [320.105111636, 304.66541024400004, 188.386925...
      rotational_symmetry_number                                                            NaN
      sp_electronic_energy                                                           -56.540146
      temperature                                                                           NaN
      termination                                                                             1
      vibrational_frequencies                                                               NaN
      zero_point_correction                                                                 NaN
      zero_point_energy                                                                     NaN
xyz   structure                               (Atom('H', [-0.54099, 0.20068, -0.51166], inde...
Name: 0, dtype: object
Number of files in mydatabase.pkl: 37669
1am-2                  -56.540145998582  
1am-5                  -56.540637024267  
1am-10                 -56.54112719179   
1am-11                 -56.540096235501  
1am-4                  -56.540674740635  
1am-3                  -56.540395873663  
1am-7                  -56.540310087896  
1am-9                  -56.540258349401  
1am-8                  -56.541165220153  
1am-6                  -56.540484929802  
1am-1                  -56.541594601842  
1dma-7                 -135.105721718559 
1dma-9                 -135.105506093525 
1dma-8                 -135.108837393958 
1dma-6                 -135.103364800375 
1dma-1                 -135.112745255968 
1dma-2                 -135.107353196143 
1dma-5                 -135.097143118913 
1dma-10                -135.104343014021 
1dma-4                 -135.092899491486 
1dma-3                 -135.10637180015  
1dma-11                -135.101044606926 
1eda-11                -190.456511084718 
1eda-7                 -190.456382828998 
1eda-9                 -190.454446194823 
1eda-8                 -190.454160476937 
1eda-1                 -190.465003330938 
1eda-6                 -190.453282093979 
1eda-10                -190.451420071738 
1eda-5                 -190.454590198422 
1eda-2                 -190.447207065201 
1eda-3                 -190.453541289206 
1eda-4                 -190.452064148314 
1ma-6                  -95.821405483804  
1ma-1                  -95.823970069878  
1ma-8                  -95.819254552037  
1ma-9                  -95.816998106858  
1ma-7                  -95.81764104338   
1ma-10                 -95.817977762804  
1ma-4                  -95.818031392666  
1ma-3                  -95.816275042821  
1ma-11                 -95.816723803374  
1ma-2                  -95.819598371704  
1ma-5                  -95.819718405463  
1msa-5                 -664.262358023886 
1msa-2                 -664.271658186731 
1msa-3                 -664.265538723718 
1msa-4                 -664.269852441703 
1msa-10                -664.271947346749 
1msa-9                 -664.263514573288 
1msa-7                 -664.264304253754 
1msa-1                 -664.276208578215 
1msa-6                 -664.270095176565 
1msa-8                 -664.269468108813 
1msa-11                -664.272972940745 
1sa1msa1am1dma-5_11    -1556.170259666454
1sa1msa1am1dma-49_5    -1556.172590727845
1sa1msa1am1dma-70_3    -1556.17039063624 
1sa1msa1am1dma-118_6   -1556.139148242405
1sa1msa1am1dma-113_2   -1556.159924432262
1sa1msa1am1dma-86_7    -1556.148131980401
1sa1msa1am1dma-42_1    -1556.217374299278
1sa1msa1am1dma-43_10   -1556.177845255279
1sa1msa1am1dma-8_2     -1556.187496107112
1sa1msa1am1dma-14_7    -1556.182827479268
1sa1msa1am1dma-92_8    -1556.155447045503
1sa1msa1am1dma-26_5    -1556.177739109518
1sa1msa1am1dma-66_11   -1556.177878775891
1sa1msa1am1dma-3_6     -1556.190132130103
1sa1msa1am1dma-114_8   -1556.152054549108
1sa1msa1am1dma-77_9    -1556.165106112712
1sa1msa1am1dma-26_11   -1556.16319472757 
1sa1msa1am1dma-98_10   -1556.16315280171 
1sa1msa1am1dma-51_4    -1556.175695546253
1sa1msa1am1dma-109_11  -1556.146141787667
1sa1msa1am1dma-18_9    -1556.178917650035
1sa1msa1am1dma-95_2    -1556.165980467182
1sa1msa1am1dma-100_7   -1556.148733900535
1sa1msa1am1dma-68_2    -1556.146219756325
1sa1msa1am1dma-63_6    -1556.166880365697
1sa1msa1am1dma-132_5   -1556.138748322159
1sa1msa1am1dma-35_7    -1556.156119872668
1sa1msa1am1dma-18_10   -1556.17238299746 
1sa1msa1am1dma-112_11  -1556.140259136254
1sa1msa1am1dma-51_3    -1556.170849967695
1sa1msa1am1dma-21_8    -1556.162281914929
1sa1msa1am1dma-83_10   -1556.173233312083
1sa1msa1am1dma-95_5    -1556.152185375518
1sa1msa1am1dma-68_5    -1556.151506578722
1sa1msa1am1dma-63_1    -1556.210609838303
1sa1msa1am1dma-132_2   -1556.125234827877
1sa1msa1am1dma-137_10  -1556.154383180841
1sa1msa1am1dma-39_9    -1556.177108663645
1sa1msa1am1dma-121_7   -1556.139773475712
1sa1msa1am1dma-49_2    -1556.179088251293
1sa1msa1am1dma-70_4    -1556.153458039019
1sa1msa1am1dma-118_1   -1556.185269658537
1sa1msa1am1dma-113_5   -1556.146275084072
1sa1msa1am1dma-42_6    -1556.188036300808
1sa1msa1am1dma-135_8   -1556.129049065261
1sa1msa1am1dma-58_10   -1556.177919913575
1sa1msa1am1dma-8_5     -1556.167035817556
1sa1msa1am1dma-56_9    -1556.193996644509
1sa1msa1am1dma-3_1     -1556.230690361117
1sa1msa1am1dma-26_2    -1556.169484496718
1sa1msa1am1dma-35_9    -1556.166359369695
1sa1msa1am1dma-45_2    -1556.178194890138
1sa1msa1am1dma-81_4    -1556.179538675566
1sa1msa1am1dma-114_1   -1556.192684052975
1sa1msa1am1dma-104_11  -1556.167660729224
1sa1msa1am1dma-126_3   -1556.139863892476
1sa1msa1am1dma-4_5     -1556.187744785947
1sa1msa1am1dma-21_6    -1556.164300761481
1sa1msa1am1dma-121_10  -1556.140301588325
1sa1msa1am1dma-13_4    -1556.17897254447 
1sa1msa1am1dma-95_10   -1556.185235847126
1sa1msa1am1dma-121_9   -1556.139774063472
1sa1msa1am1dma-39_7    -1556.155529243008
1sa1msa1am1dma-32_3    -1556.16333301795 
1sa1msa1am1dma-42_8    -1556.167906072419
1sa1msa1am1dma-135_6   -1556.136194746041
1sa1msa1am1dma-99_5    -1556.152281836045
1sa1msa1am1dma-64_5    -1556.160842218795
1sa1msa1am1dma-8_11    -1556.176000789872
1sa1msa1am1dma-107_4   -1556.148023705155
1sa1msa1am1dma-92_1    -1556.207339020952
1sa1msa1am1dma-56_7    -1556.177648650759
1sa1msa1am1dma-118_8   -1556.14753254428 
1sa1msa1am1dma-55_10   -1556.164608559087
1sa1msa1am1dma-86_9    -1556.179226790205
1sa1msa1am1dma-32_4    -1556.174666780977
1sa1msa1am1dma-135_1   -1556.18160439002 
1sa1msa1am1dma-99_2    -1556.144844809997
1sa1msa1am1dma-14_9    -1556.185194574088
1sa1msa1am1dma-64_2    -1556.177593365268
1sa1msa1am1dma-70_11   -1556.168993649028
1sa1msa1am1dma-92_6    -1556.159987959097
1sa1msa1am1dma-107_3   -1556.15017040012 
1sa1msa1am1dma-3_8     -1556.189010740391
1sa1msa1am1dma-30_11   -1556.175167496576
1sa1msa1am1dma-45_5    -1556.174683223139
1sa1msa1am1dma-114_6   -1556.149477200738
1sa1msa1am1dma-81_3    -1556.177789688894
1sa1msa1am1dma-77_7    -1556.183835434161
1sa1msa1am1dma-126_4   -1556.158689882531
1sa1msa1am1dma-15_10   -1556.174390224975
1sa1msa1am1dma-21_1    -1556.221893352521
1sa1msa1am1dma-4_2     -1556.200367386417
1sa1msa1am1dma-100_9   -1556.156955478802
1sa1msa1am1dma-18_7    -1556.193664099293
1sa1msa1am1dma-13_3    -1556.175115452586
1sa1msa1am1dma-63_8    -1556.168955343105
1sa1msa1am1dma-28_3    -1556.158611024262
1sa1msa1am1dma-58_8    -1556.162174387806
1sa1msa1am1dma-11_5    -1556.185826499458
1sa1msa1am1dma-6_4     -1556.192613908526
1sa1msa1am1dma-23_7    -1556.174335199549
1sa1msa1am1dma-124_2   -1556.121387579579
1sa1msa1am1dma-75_1    -1556.211337280943
1sa1msa1am1dma-88_1    -1556.207037571594
1sa1msa1am1dma-128_11  -1556.174921025911
1sa1msa1am1dma-83_5    -1556.15447191828 
1sa1msa1am1dma-47_3    -1556.160904608574
1sa1msa1am1dma-37_8    -1556.153897590859
1sa1msa1am1dma-22_10   -1556.157197272984
1sa1msa1am1dma-54_6    -1556.176165207148
1sa1msa1am1dma-105_5   -1556.158011334655
1sa1msa1am1dma-66_4    -1556.160287126164
1sa1msa1am1dma-62_10   -1556.169270772906
1sa1msa1am1dma-137_7   -1556.153444458452
1sa1msa1am1dma-40_9    -1556.180125349154
1sa1msa1am1dma-30_2    -1556.184418685865
1sa1msa1am1dma-1_10    -1556.183153415499
1sa1msa1am1dma-47_11   -1556.166522542921
1sa1msa1am1dma-123_8   -1556.133283940733
1sa1msa1am1dma-54_1    -1556.217308923935
1sa1msa1am1dma-1_9     -1556.174197586192
1sa1msa1am1dma-90_7    -1556.169189109683
1sa1msa1am1dma-105_2   -1556.162068544481
1sa1msa1am1dma-66_3    -1556.146257218874
1sa1msa1am1dma-16_8    -1556.19196521502 
1sa1msa1am1dma-30_5    -1556.177952097624
1sa1msa1am1dma-84_8    -1556.165225685995
1sa1msa1am1dma-79_8    -1556.140486191332
1sa1msa1am1dma-79_10   -1556.173595453285
1sa1msa1am1dma-39_10   -1556.147241516374
1sa1msa1am1dma-28_4    -1556.168945724444
1sa1msa1am1dma-87_11   -1556.180419723858
1sa1msa1am1dma-61_9    -1556.168390580606
1sa1msa1am1dma-11_2    -1556.17480222656 
1sa1msa1am1dma-133_11  -1556.133544868367
1sa1msa1am1dma-102_8   -1556.159805499914
1sa1msa1am1dma-6_3     -1556.185988376461
1sa1msa1am1dma-124_5   -1556.13498155628 
1sa1msa1am1dma-75_6    -1556.171710642299
1sa1msa1am1dma-88_6    -1556.174406919003
1sa1msa1am1dma-116_7   -1556.138284842121
1sa1msa1am1dma-83_2    -1556.175910943314
1sa1msa1am1dma-116_10  -1556.135324286546
1sa1msa1am1dma-47_4    -1556.174801645063
1sa1msa1am1dma-24_4    -1556.155303348959
1sa1msa1am1dma-1_7     -1556.180230598212
1sa1msa1am1dma-90_9    -1556.170908853009
1sa1msa1am1dma-16_6    -1556.183634137321
1sa1msa1am1dma-128_5   -1556.148759679199
1sa1msa1am1dma-79_6    -1556.165108068197
1sa1msa1am1dma-111_3   -1556.14703210172 
1sa1msa1am1dma-84_6    -1556.158565982584
1sa1msa1am1dma-72_2    -1556.18453857171 
1sa1msa1am1dma-123_1   -1556.184924477155
1sa1msa1am1dma-58_1    -1556.213645515053
1sa1msa1am1dma-125_11  -1556.139166277472
1sa1msa1am1dma-130_4   -1556.147632993787
1sa1msa1am1dma-109_2   -1556.134992909587
1sa1msa1am1dma-61_7    -1556.176564068884
1sa1msa1am1dma-97_3    -1556.16983708915 
1sa1msa1am1dma-91_11   -1556.162584157511
1sa1msa1am1dma-102_6   -1556.138325910723
1sa1msa1am1dma-53_5    -1556.185748493448
1sa1msa1am1dma-100_10  -1556.148269480855
1sa1msa1am1dma-88_8    -1556.167356389944
1sa1msa1am1dma-75_8    -1556.152216608356
1sa1msa1am1dma-116_9   -1556.129146148807
1sa1msa1am1dma-37_1    -1556.217611955107
1sa1msa1am1dma-58_6    -1556.173596945876
1sa1msa1am1dma-130_3   -1556.134417390308
1sa1msa1am1dma-109_5   -1556.169171448709
1sa1msa1am1dma-11_11   -1556.165474071099
1sa1msa1am1dma-102_1   -1556.200327239511
1sa1msa1am1dma-97_4    -1556.168418048785
1sa1msa1am1dma-23_9    -1556.160217332942
1sa1msa1am1dma-53_2    -1556.189439632337
1sa1msa1am1dma-34_10   -1556.1919328619  
1sa1msa1am1dma-37_6    -1556.174853296683
1sa1msa1am1dma-74_10   -1556.157377955729
1sa1msa1am1dma-24_3    -1556.17316527851 
1sa1msa1am1dma-54_8    -1556.161254068362
1sa1msa1am1dma-16_1    -1556.228194480782
1sa1msa1am1dma-137_9   -1556.163888577069
1sa1msa1am1dma-51_11   -1556.162947345973
1sa1msa1am1dma-128_2   -1556.140652576469
1sa1msa1am1dma-40_7    -1556.181373270646
1sa1msa1am1dma-79_1    -1556.212685715403
1sa1msa1am1dma-84_1    -1556.213821426474
1sa1msa1am1dma-111_4   -1556.152336497985
1sa1msa1am1dma-72_5    -1556.183724377891
1sa1msa1am1dma-123_6   -1556.126784767029
1sa1msa1am1dma-76_9    -1556.165787391647
1sa1msa1am1dma-115_8   -1556.158425850371
1sa1msa1am1dma-133_5   -1556.134601495317
1sa1msa1am1dma-62_6    -1556.14652490434 
1sa1msa1am1dma-69_2    -1556.172672419566
1sa1msa1am1dma-19_9    -1556.18248499379 
1sa1msa1am1dma-101_7   -1556.12355647743 
1sa1msa1am1dma-94_2    -1556.158921778044
1sa1msa1am1dma-138_1   -1556.18250725196 
1sa1msa1am1dma-50_4    -1556.171696624766
1sa1msa1am1dma-43_1    -1556.217399533276
1sa1msa1am1dma-135_10  -1556.140640502867
1sa1msa1am1dma-87_7    -1556.164595711422
1sa1msa1am1dma-112_2   -1556.155839823491
1sa1msa1am1dma-119_6   -1556.12912286247 
1sa1msa1am1dma-71_3    -1556.167872521042
1sa1msa1am1dma-48_5    -1556.173817443624
1sa1msa1am1dma-81_10   -1556.180666871765
1sa1msa1am1dma-2_6     -1556.190794617283
1sa1msa1am1dma-27_5    -1556.182173523858
1sa1msa1am1dma-110_11  -1556.135029824018
1sa1msa1am1dma-93_8    -1556.152723821806
1sa1msa1am1dma-15_7    -1556.178630209363
1sa1msa1am1dma-9_2     -1556.189762372896
1sa1msa1am1dma-43_6    -1556.187062902208
1sa1msa1am1dma-112_5   -1556.132045279625
1sa1msa1am1dma-119_1   -1556.185143283558
1sa1msa1am1dma-71_4    -1556.167858610271
1sa1msa1am1dma-48_2    -1556.180505206306
1sa1msa1am1dma-38_9    -1556.17322525691 
1sa1msa1am1dma-120_7   -1556.135105268739
1sa1msa1am1dma-27_2    -1556.167457522486
1sa1msa1am1dma-2_1     -1556.234358204103
1sa1msa1am1dma-57_9    -1556.175974471432
1sa1msa1am1dma-24_11   -1556.175560450983
1sa1msa1am1dma-134_8   -1556.12462095127 
1sa1msa1am1dma-9_5     -1556.186096880431
1sa1msa1am1dma-64_11   -1556.163859418089
1sa1msa1am1dma-34_7    -1556.172747237834
1sa1msa1am1dma-133_2   -1556.117627583831
1sa1msa1am1dma-41_10   -1556.177330657696
1sa1msa1am1dma-62_1    -1556.214153130905
1sa1msa1am1dma-69_5    -1556.15942585756 
