Number of files in database_s1.pkl: 30538
Number of files in database_s2.pkl: 30538
Example output:
info  cluster_type                                                              1am1dma1msa1nta
      component_ratio                                                              [1, 1, 1, 1]
      components                                                            [msa, nta, am, dma]
      file_basename                                                        1msa1nta1am1dma-30_1
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_IV/GF...
log   NAtoms                                                                                NaN
      charge                                                                                NaN
      dipole_moment                                                                         NaN
      dipole_moments                                                                        NaN
      electronic_energy                                                              -55.760334
      energy_thermal_correction                                                             NaN
      enthalpy_energy                                                                       NaN
      enthalpy_thermal_correction                                                           NaN
      entropy                                                                               NaN
      gibbs_free_energy                                                                     NaN
      gibbs_free_energy_thermal_correction                                                  NaN
      internal_energy                                                                       NaN
      method                                                                          !_sp_xtb1
      moments_of_inertia                                                                    NaN
      mulliken_charges                                                                      NaN
      multiplicity                                                                          NaN
      polarizability                                                                        NaN
      pressure                                                                              NaN
      program                                                                        ORCA_5.0.0
      rotational_constant                                                                   NaN
      rotational_constants                                                                  NaN
      rotational_symmetry_number                                                            NaN
      sp_electronic_energy                                                           -55.760334
      temperature                                                                           NaN
      termination                                                                             1
      vibrational_frequencies                                                               NaN
      zero_point_correction                                                                 NaN
      zero_point_energy                                                                     NaN
xyz   structure                               (Atom('S', [-1.93166, 0.39087, 0.02045], index...
Name: 0, dtype: object
Number of files in mydatabase.pkl: 61076
1msa1nta1am1dma-30_1    -55.76033448288
1msa1nta1am1dma-66_7    -55.71631718087
1msa1nta1am1dma-3_1     -55.78582632515
1msa1nta1am1dma-8_5     -55.76736098568
1msa1nta1am1dma-54_5    -55.72509277923
1msa1nta1am1dma-23_4    -55.73961257205
1msa1nta1am1dma-11_6    -55.76443519045
1msa1nta1am1dma-47_7    -55.73771946787
1msa1nta1am1dma-20_10   -55.73477960877
1msa1nta1am1dma-53_8    -55.72529698523
1msa1nta1am1dma-23_3    -55.72829161257
1msa1nta1am1dma-11_1    -55.77977256556
1msa1nta1am1dma-28_7    -55.74834044881
1msa1nta1am1dma-45_11   -55.73861411959
1msa1nta1am1dma-30_6    -55.74394436431
1msa1nta1am1dma-3_6     -55.77147490074
1msa1nta1am1dma-60_10   -55.72959733111
1msa1nta1am1dma-8_2     -55.77353260068
1msa1nta1am1dma-54_2    -55.73447998007
1msa1nta1am1dma-24_9    -55.75058744074
