Number of files in database_s1.pkl: 30538
Number of files in database_s2.pkl: 30538
Example output:
info  cluster_type                                                              1am1dma1msa1nta
      component_ratio                                                              [1, 1, 1, 1]
      components                                                            [msa, nta, am, dma]
      file_basename                                                        1msa1nta1am1dma-47_7
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_IV/r2...
log   NAtoms                                                                                 28
      charge                                                                                  0
      dipole_moment                                                                     7.68431
      dipole_moments                          [4.599141962506609, 4.571769143182465, 4.12132...
      electronic_energy                                                            -1136.823623
      energy_thermal_correction                                                             NaN
      enthalpy_energy                                                                       NaN
      enthalpy_thermal_correction                                                           NaN
      entropy                                                                               NaN
      gibbs_free_energy                                                                     NaN
      gibbs_free_energy_thermal_correction                                                  NaN
      internal_energy                                                                       NaN
      method                                                                     !_r2scan-3c_sp
      moments_of_inertia                                                                    NaN
      mulliken_charges                        [0.809493, -0.529195, -0.583739, -0.51321, 0.4...
      multiplicity                                                                            1
      polarizability                                                                        NaN
      pressure                                                                              NaN
      program                                                                        ORCA_5.0.0
      rotational_constant                                                              0.829275
      rotational_constants                    [0.5818123239999999, 0.5039608329999999, 0.308...
      rotational_symmetry_number                                                            NaN
      sp_electronic_energy                                                         -1136.823623
      temperature                                                                           NaN
      termination                                                                             1
      vibrational_frequencies                                                               NaN
      zero_point_correction                                                                 NaN
      zero_point_energy                                                                     NaN
xyz   structure                               (Atom('S', [0.6607, -1.10754, 1.11894], index=...
Name: 0, dtype: object
Number of files in mydatabase.pkl: 61076
1msa1nta1am1dma-47_7    -1136.823622631664
1msa1nta1am1dma-28_7    -1136.848425496377
1msa1nta1am1dma-11_1    -1136.887575018717
1msa1nta1am1dma-23_3    -1136.821353424728
1msa1nta1am1dma-53_8    -1136.823919403743
1msa1nta1am1dma-30_6    -1136.834980544408
1msa1nta1am1dma-24_9    -1136.839176340119
1msa1nta1am1dma-3_1     -1136.894680097144
1msa1nta1am1dma-54_2    -1136.815568243566
1msa1nta1am1dma-8_5     -1136.85950039502 
1msa1nta1am1dma-30_1    -1136.875204470982
1msa1nta1am1dma-54_5    -1136.823324288281
1msa1nta1am1dma-3_6     -1136.849261445417
1msa1nta1am1dma-66_7    -1136.805009017562
1msa1nta1am1dma-8_2     -1136.852290276793
1msa1nta1am1dma-24_10   -1136.844012906772
1msa1nta1am1dma-11_6    -1136.837566039191
1msa1nta1am1dma-41_11   -1136.842839481003
1msa1nta1am1dma-23_4    -1136.823336620548
1msa1nta1am1dma-40_4    -1136.828144526721
1msa1nta1am1dma-17_11   -1136.833227768567
1msa1nta1am1dma-3_8     -1136.858658311565
1msa1nta1am1dma-32_10   -1136.818940165542
1msa1nta1am1dma-66_9    -1136.820974869226
1msa1nta1am1dma-16_2    -1136.836147298586
1msa1nta1am1dma-37_5    -1136.831944880082
1msa1nta1am1dma-57_11   -1136.803776557084
1msa1nta1am1dma-58_5    -1136.811417582834
1msa1nta1am1dma-61_3    -1136.818509017732
1msa1nta1am1dma-11_8    -1136.843013391386
1msa1nta1am1dma-53_1    -1136.85683415426 
1msa1nta1am1dma-4_2     -1136.850464772737
1msa1nta1am1dma-47_9    -1136.833485208018
1msa1nta1am1dma-37_2    -1136.827628187112
1msa1nta1am1dma-28_9    -1136.844217612837
1msa1nta1am1dma-58_2    -1136.819763473085
1msa1nta1am1dma-61_4    -1136.803044041219
1msa1nta1am1dma-4_5     -1136.852593186844
1msa1nta1am1dma-53_6    -1136.816654281272
1msa1nta1am1dma-40_3    -1136.845434593167
1msa1nta1am1dma-30_8    -1136.828824669337
1msa1nta1am1dma-6_11    -1136.842994085667
1msa1nta1am1dma-29_10   -1136.833646692691
1msa1nta1am1dma-24_7    -1136.844899601669
1msa1nta1am1dma-16_5    -1136.821971531047
1msa1nta1am1dma-14_3    -1136.860374349181
1msa1nta1am1dma-26_1    -1136.881218917102
1msa1nta1am1dma-1_9     -1136.857326787241
1msa1nta1am1dma-49_1    -1136.858167631149
1msa1nta1am1dma-42_5    -1136.832221572908
1msa1nta1am1dma-6_3     -1136.864819797814
1msa1nta1am1dma-13_9    -1136.833787734148
1msa1nta1am1dma-63_2    -1136.803808439794
1msa1nta1am1dma-35_4    -1136.828238295479
1msa1nta1am1dma-51_7    -1136.823210015841
1msa1nta1am1dma-6_4     -1136.844870092533
1msa1nta1am1dma-63_5    -1136.822022621041
1msa1nta1am1dma-45_10   -1136.828607710344
1msa1nta1am1dma-35_3    -1136.828979879275
1msa1nta1am1dma-45_8    -1136.835231492749
1msa1nta1am1dma-60_11   -1136.799876835271
1msa1nta1am1dma-14_4    -1136.848960901836
1msa1nta1am1dma-20_11   -1136.828855235479
1msa1nta1am1dma-26_6    -1136.847847815174
1msa1nta1am1dma-49_6    -1136.827837977356
1msa1nta1am1dma-32_9    -1136.837435518519
1msa1nta1am1dma-42_2    -1136.836477280849
1msa1nta1am1dma-51_9    -1136.812108399252
1msa1nta1am1dma-21_2    -1136.832835909955
1msa1nta1am1dma-18_4    -1136.827660465381
1msa1nta1am1dma-53_10   -1136.809624336239
1msa1nta1am1dma-45_6    -1136.827258469886
1msa1nta1am1dma-36_11   -1136.838099731465
