Number of files in database_s1.pkl: 30501
Number of files in database_s2.pkl: 30501
Example output:
info  cluster_type                                                                       1am1fa
      component_ratio                                                                    [1, 1]
      components                                                                       [fa, am]
      file_basename                                                                 1fa1am-1_10
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_V/GFN...
log   NAtoms                                                                                NaN
      charge                                                                                NaN
      dipole_moment                                                                         NaN
      dipole_moments                                                                        NaN
      electronic_energy                                                               -17.43634
      energy_thermal_correction                                                             NaN
      enthalpy_energy                                                                       NaN
      enthalpy_thermal_correction                                                           NaN
      entropy                                                                               NaN
      gibbs_free_energy                                                                     NaN
      gibbs_free_energy_thermal_correction                                                  NaN
      internal_energy                                                                       NaN
      method                                                                          !_sp_xtb1
      moments_of_inertia                                                                    NaN
      mulliken_charges                                                                      NaN
      multiplicity                                                                          NaN
      polarizability                                                                        NaN
      pressure                                                                              NaN
      program                                                                        ORCA_5.0.0
      rotational_constant                                                                   NaN
      rotational_constants                                                                  NaN
      rotational_symmetry_number                                                            NaN
      sp_electronic_energy                                                            -17.43634
      temperature                                                                           NaN
      termination                                                                             1
      vibrational_frequencies                                                               NaN
      zero_point_correction                                                                 NaN
      zero_point_energy                                                                     NaN
xyz   structure                               (Atom('H', [-3.04863, -1.55186, -2.29398], ind...
Name: 0, dtype: object
Number of files in mydatabase.pkl: 61002
1fa1am-1_10            -17.43633960434
1fa1am-1_3             -17.43098376458
1fa1am-1_4             -17.43459066565
1fa1am-1_11            -17.42515556273
1fa1am-1_5             -17.43704222168
1fa1am-1_2             -17.43248525478
1fa1am-1_8             -17.43062017664
1fa1am-1_1             -17.43910234553
1fa1am-1_6             -17.43479769033
1fa1am-1_7             -17.43421678267
1fa1am-1_9             -17.43080325117
1fa1dma1am-7_3         -28.62393432845
1fa1dma1am-10_7        -28.61619933987
1fa1dma1am-7_4         -28.62003579975
1fa1dma1am-9_10        -28.61681165886
1fa1dma1am-4_10        -28.62381317   
1fa1dma1am-10_9        -28.61397792595
1fa1dma1am-2_1         -28.63983516092
1fa1dma1am-9_5         -28.6123081677 
1fa1dma1am-12_8        -28.615754374  
1fa1dma1am-2_6         -28.61102910186
1fa1dma1am-9_2         -28.60729050821
1fa1dma1am-12_6        -28.62240987138
1fa1dma1am-5_2         -28.60901689592
1fa1dma1am-2_8         -28.62101191777
1fa1dma1am-11_10       -28.59915616813
1fa1dma1am-12_1        -28.63458240026
1fa1dma1am-5_5         -28.61963834362
1fa1dma1am-1_9         -28.63170302567
1fa1dma1am-6_3         -28.61713899899
1fa1dma1am-11_7        -28.60511054967
1fa1dma1am-6_4         -28.61869492451
1fa1dma1am-6_10        -28.61287938607
1fa1dma1am-1_7         -28.62859886658
1fa1dma1am-11_9        -28.6217570216 
1fa1dma1am-14_5        -28.61789950734
1fa1dma1am-8_5         -28.61479222506
1fa1dma1am-3_1         -28.64143698511
1fa1dma1am-14_2        -28.6201471903 
1fa1dma1am-8_2         -28.60361207589
1fa1dma1am-3_6         -28.62433443722
1fa1dma1am-13_8        -28.61287004816
1fa1dma1am-2_11        -28.61935368868
1fa1dma1am-3_8         -28.61700655817
1fa1dma1am-13_6        -28.62086257829
1fa1dma1am-4_2         -28.61844292661
1fa1dma1am-13_10       -28.6151792576 
1fa1dma1am-13_1        -28.63413105964
1fa1dma1am-4_5         -28.62580647037
1fa1dma1am-11_11       -28.61844521642
1fa1dma1am-5_4         -28.61720535419
1fa1dma1am-12_7        -28.62031825746
1fa1dma1am-5_3         -28.61090978711
1fa1dma1am-2_9         -28.61383362331
1fa1dma1am-12_9        -28.61036716267
1fa1dma1am-2_7         -28.62161679433
