Number of files in database_s1.pkl: 30501
Number of files in database_s2.pkl: 30501
Example output:
info  cluster_type                                                                       1am1fa
      component_ratio                                                                    [1, 1]
      components                                                                       [fa, am]
      file_basename                                                                  1fa1am-1_6
      folder_path                             /home/kubeckaj/ACDB/database_v2/Articles/knatt...
log   NAtoms                                                                                  9
      charge                                                                                  0
      dipole_moment                                                                     2.97194
      dipole_moments                          [2.6779360335081943, -0.9175613029157009, -0.9...
      electronic_energy                                                             -246.295062
      energy_thermal_correction                                                             NaN
      enthalpy_energy                                                                       NaN
      enthalpy_thermal_correction                                                           NaN
      entropy                                                                               NaN
      gibbs_free_energy                                                                     NaN
      gibbs_free_energy_thermal_correction                                                  NaN
      internal_energy                                                                       NaN
      method                                                                     !_r2scan-3c_sp
      moments_of_inertia                                                                    NaN
      mulliken_charges                        [0.116384, 0.439195, 0.205052, -0.407883, -0.4...
      multiplicity                                                                            1
      polarizability                                                                        NaN
      pressure                                                                              NaN
      program                                                                        ORCA_5.0.0
      rotational_constant                                                             13.409416
      rotational_constants                              [12.046667349, 4.75720936, 3.472636408]
      rotational_symmetry_number                                                            NaN
      sp_electronic_energy                                                          -246.295062
      temperature                                                                           NaN
      termination                                                                             1
      vibrational_frequencies                                                               NaN
      zero_point_correction                                                                 NaN
      zero_point_energy                                                                     NaN
xyz   structure                               (Atom('H', [-2.74861, -0.50231, -0.99413], ind...
Name: 0, dtype: object
Number of files in mydatabase.pkl: 61002
1fa1am-1_6             -246.295062423559 
1fa1am-1_1             -246.301736462033 
1fa1am-1_8             -246.293145822082 
1fa1am-1_9             -246.290901355974 
1fa1am-1_7             -246.29534696422  
1fa1am-1_4             -246.294419936677 
1fa1am-1_3             -246.294745865443 
1fa1am-1_11            -246.283832680997 
1fa1am-1_2             -246.29458431135  
1fa1am-1_5             -246.296648085857 
1fa1am-1_10            -246.293810686676 
1fa1dma1am-14_7        -381.395715623846 
1fa1dma1am-5_11        -381.396288853678 
1fa1dma1am-2_3         -381.397689996118 
1fa1dma1am-9_7         -381.371036937653 
1fa1dma1am-5_9         -381.402824664511 
1fa1dma1am-2_4         -381.405669594563 
1fa1dma1am-13_4        -381.39293178951  
1fa1dma1am-8_11        -381.394398608309 
1fa1dma1am-14_9        -381.400920117611 
1fa1dma1am-9_9         -381.381301451327 
1fa1dma1am-13_3        -381.397308560585 
1fa1dma1am-5_7         -381.402107954747 
1fa1dma1am-7_1         -381.423935332435 
1fa1dma1am-12_10       -381.386754042605 
1fa1dma1am-11_5        -381.395226555069 
1fa1dma1am-1_10        -381.40312859529  
1fa1dma1am-7_6         -381.396957209603 
1fa1dma1am-11_2        -381.382341771585 
1fa1dma1am-7_8         -381.404987672672 
1fa1dma1am-4_9         -381.404984212097 
1fa1dma1am-8_7         -381.38543504571  
1fa1dma1am-3_3         -381.399496758803 
1fa1dma1am-3_4         -381.394103110482 
1fa1dma1am-14_11       -381.391085624577 
1fa1dma1am-7_11        -381.405365544033 
1fa1dma1am-12_4        -381.399825897997 
1fa1dma1am-12_3        -381.4002034701   
1fa1dma1am-4_7         -381.395881997644 
1fa1dma1am-8_9         -381.38540165752  
1fa1dma1am-6_1         -381.425925961121 
1fa1dma1am-10_5        -381.393797713083 
1fa1dma1am-6_6         -381.39551720214  
1fa1dma1am-10_2        -381.391049203334 
1fa1dma1am-3_10        -381.397090115272 
1fa1dma1am-10_10       -381.394481148201 
1fa1dma1am-6_8         -381.397480888083 
1fa1dma1am-1_2         -381.407728136496 
1fa1dma1am-1_5         -381.419220823507 
1fa1dma1am-7_9         -381.396213268532 
1fa1dma1am-7_7         -381.401514315046 
1fa1dma1am-11_3        -381.396230223608 
1fa1dma1am-12_11       -381.397742750762 
1fa1dma1am-11_4        -381.387224180252 
1fa1dma1am-1_11        -381.41535612457  
1fa1dma1am-14_8        -381.387653683039 
1fa1dma1am-9_8         -381.389331861147 
1fa1dma1am-13_2        -381.405697395232 
1fa1dma1am-5_6         -381.394849837303 
1fa1dma1am-13_5        -381.401409499035 
1fa1dma1am-5_1         -381.424815147625 
1fa1dma1am-8_10        -381.405385333146 
1fa1dma1am-14_1        -381.417704366734 
1fa1dma1am-2_5         -381.4056214234   
1fa1dma1am-9_1         -381.420902522485 
1fa1dma1am-14_6        -381.392047806786 
1fa1dma1am-5_10        -381.398160466128 
1fa1dma1am-2_2         -381.398673179818 
1fa1dma1am-9_6         -381.382704873499 
1fa1dma1am-5_8         -381.391291796966 
1fa1dma1am-1_4         -381.404774490404 
1fa1dma1am-6_9         -381.396584817957 
1fa1dma1am-1_3         -381.405536415907 
1fa1dma1am-6_7         -381.403546109349 
1fa1dma1am-10_3        -381.398340072836 
1fa1dma1am-3_11        -381.394881666775 
1fa1dma1am-10_11       -381.379878267908 
1fa1dma1am-10_4        -381.390861854786 
1fa1dma1am-12_2        -381.397854420486 
1fa1dma1am-4_6         -381.396764665615 
1fa1dma1am-8_8         -381.383810389607 
1fa1dma1am-12_5        -381.396055564946 
1fa1dma1am-4_1         -381.426956460787 
1fa1dma1am-8_1         -381.420169851889 
1fa1dma1am-3_5         -381.385905961604 
1fa1dma1am-14_10       -381.381504876352 
1fa1dma1am-7_10        -381.397319401495 
1fa1dma1am-4_8         -381.396712415624 
1fa1dma1am-8_6         -381.368108031545 
1fa1dma1am-3_2         -381.406560753278 
1fa1dma1am-1_7         -381.413757338355 
1fa1dma1am-4_10        -381.400183698405 
1fa1dma1am-10_9        -381.387703207942 
1fa1dma1am-1_9         -381.407854197319 
1fa1dma1am-6_3         -381.397533018287 
1fa1dma1am-10_7        -381.385230237474 
1fa1dma1am-6_4         -381.398288703221 
1fa1dma1am-9_10        -381.391556390293 
1fa1dma1am-3_8         -381.38956829177  
1fa1dma1am-12_6        -381.399624530273 
1fa1dma1am-4_2         -381.397738543819 
1fa1dma1am-12_1        -381.419693922742 
1fa1dma1am-4_5         -381.407842281089 
1fa1dma1am-13_11       -381.388894805339 
1fa1dma1am-8_5         -381.384383471453 
1fa1dma1am-3_1         -381.428923646512 
1fa1dma1am-8_2         -381.385434375317 
1fa1dma1am-3_6         -381.398628208575 
1fa1dma1am-12_8        -381.398642506629 
1fa1dma1am-6_10        -381.394083814191 
1fa1dma1am-11_9        -381.395352933253 
1fa1dma1am-7_3         -381.400248501469 
1fa1dma1am-11_7        -381.381505381351 
1fa1dma1am-7_4         -381.40626061553  
1fa1dma1am-11_11       -381.387688780651 
1fa1dma1am-13_6        -381.394511799017 
1fa1dma1am-5_2         -381.394401199501 
1fa1dma1am-2_8         -381.403509967199 
1fa1dma1am-2_11        -381.405788946052 
1fa1dma1am-13_1        -381.418592451162 
1fa1dma1am-5_5         -381.405165884923 
1fa1dma1am-14_5        -381.385448373212 
1fa1dma1am-2_1         -381.428069859362 
1fa1dma1am-9_5         -381.392355355404 
1fa1dma1am-13_8        -381.389952933068 
1fa1dma1am-14_2        -381.398876743491 
1fa1dma1am-2_6         -381.399496067907 
1fa1dma1am-9_2         -381.377028546874 
1fa1dma1am-8_3         -381.38615131618  
1fa1dma1am-3_7         -381.405177964024 
1fa1dma1am-12_9        -381.389864804805 
1fa1dma1am-8_4         -381.393568626014 
1fa1dma1am-4_4         -381.402571638171 
1fa1dma1am-13_10       -381.39492499556  
1fa1dma1am-3_9         -381.40578685652  
1fa1dma1am-12_7        -381.399704861501 
1fa1dma1am-4_3         -381.402597055736 
1fa1dma1am-9_11        -381.393990576841 
1fa1dma1am-6_5         -381.385689378805 
1fa1dma1am-10_1        -381.419634457171 
1fa1dma1am-1_8         -381.414401874655 
1fa1dma1am-6_2         -381.397772240547 
1fa1dma1am-10_6        -381.376328640747 
1fa1dma1am-1_6         -381.411330842406 
