#CLUSTER                   ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1p                      17.838936548883794      17.57776027743239       -0.875989506849038       17.92262767268403
1fa1msa1nta3tma            -26.771096896089148     -85.66728103294736      -197.5387695348361       -96.35780635505216
1fa1msa1nta2tma            -28.56794242595788      -76.04716752594686      -159.24610129064953      -84.73811054046382
1dma1fa1msa1nta2tma        -31.945698254625313     -91.28180372991483      -199.0142729335561       -101.93258253976819
1fa1ma1msa1nta1tma         -35.269008670249605     -83.10784475631954      -160.45224244876883      -91.66911473216896
1dma1fa1msa1nta1tma        -35.38304320805764      -83.1091658972291       -160.07419986291995      -91.83567963050155
1fa2ma1msa1nta             -35.96401381577016      -83.47220481419936      -159.3432533901952       -91.43833305925364
1fa1ma1msa1nta2tma         -36.282708442769945     -96.03450935156434      -200.40852224940983      -106.43260685182759
1dma1fa1ma1msa1nta         -39.94088700416614      -87.35473880753852      -159.02683817978482      -95.67375918541802
2dma1fa1msa1nta            -39.98006730506313      -87.69374161586165      -160.032447797586        -96.45091587776551
2dma1fa1msa1nta1tma        -40.46852726979705      -100.99749536543095     -203.01515376658         -112.05550046845747
1dma1fa1ma1msa1nta1tma     -40.64987282223592      -100.14983098032826     -199.5638375246482       -110.11915120900085
1fa2ma1msa1nta1tma         -40.91091643892287      -101.07983286432864     -201.8075345477083       -112.06776087310573
1fa1msa1sa3tma             -41.119402180891484     -102.56284513312858     -206.0823174645905       -114.88846002490027
1fa3ma1msa1nta             -42.36607899647788      -101.6889291156549      -198.96981425182176      -111.6563963869703
3dma1fa1msa1nta            -44.53504421529942      -104.69531305250712     -201.7785303946884       -115.34795411670348
1dma1fa2ma1msa1nta         -45.14852558475104      -104.33634981350042     -198.5169351957167       -114.59498088789405
2dma1fa1ma1msa1nta         -46.14799684021273      -106.03011196595617     -200.84559827484932      -116.30332693230594
1fa1ma1msa1sa2tma          -52.80905408531544      -113.09968272040715     -202.21575929923617      -124.56120052447659
1dma1fa1msa1sa2tma         -53.31307393920724      -114.7172614382871      -205.95065403020888      -125.98216274476727
1msa1nta1sa3tma            -54.30628435581457      -116.30736188672017     -207.95263300661446      -129.13618609361583
1fa2ma1msa1sa1tma          -54.6533377571468       -115.71307506451558     -204.79536242576583      -126.62760693392192
1fa3ma1msa1sa              -55.031182482489385     -116.35771033586934     -205.6901823015158       -126.65722645603819
2dma1fa1msa1sa1tma         -55.95653857201978      -116.82401497980754     -204.1505162093828       -127.7135646300012
1dma1fa1ma1msa1sa1tma      -57.20215318263217      -118.64991873262625     -206.09681552973544      -129.87582651547564
1fa1msa1nta1sa3tma         -58.08125756343361      -133.02642814896535     -251.36733384435234      -147.63090956915403
1dma1fa2ma1msa1sa          -58.35623842384666      -119.17565269535407     -203.98931501354173      -130.21048152056755
1fa2msa1sa4tma             -58.79518483940046      -145.94478723371867     -292.3011987057487       -163.85707980697043
1ma1msa1nta1sa2tma         -59.71878345814184      -121.14035971605335     -206.00897621335716      -133.8846030755958
3dma1fa1msa1sa             -60.114871173514985     -122.41102929948829     -208.94233817210124      -133.58756562002236
1dma1msa1nta1sa2tma        -61.11511940127821      -122.55476403984358     -206.06957785839145      -135.0402695775556
2dma1fa1ma1msa1sa          -61.30393632047344      -123.2478989661904      -207.7610687426834       -134.08416471729288
1fa1ma1msa1nta1sa2tma      -62.748365423089126     -137.098948636587       -249.3730780263938       -150.88167769103893
1fa1msa1nta1sa4tma         -63.121918055345304     -148.81763427029364     -287.42484056636914      -166.11295936699025
2ma1msa1nta1sa1tma         -64.08897678057838      -125.70796383095148     -206.67109525515454      -137.67450922516582
1dma1fa1msa1nta1sa2tma     -64.48957336429157      -138.2454574231815      -247.37844728827676      -152.11699942397536
3ma1msa1nta1sa             -64.76898752868874      -125.33122236095369     -203.12673094810617      -136.49463553994428
1dma1ma1msa1nta1sa1tma     -65.76291015154857      -127.00326368042442     -205.40115220194664      -138.5320929770678
1dma2msa1nta1sa3tma        -65.7836025992874       -153.99080397828948     -295.84840308233026      -169.1350100497366
2dma1msa1nta1sa1tma        -65.80143594455149      -127.4272707443888      -206.69406271971164      -139.57768290302192
1dma1fa2msa1sa3tma         -66.39585306111258      -154.33689020387828     -294.95568385846354      -171.77013297035592
1dma2ma1msa1nta1sa         -67.38070146407699      -128.68931210949086     -205.63008769218237      -140.1527651809156
1fa2ma1msa1nta1sa1tma      -67.64954043987382      -140.8233365641645      -245.4261147874694       -153.94616527271864
3dma1msa1nta1sa            -68.17911413771799      -130.51877799839713     -209.08825712160802      -142.52828546683304
1fa1ma1msa1nta1sa3tma      -68.75398923282046      -154.80286615539808     -288.60934738512475      -171.87764883210184
2dma1ma1msa1nta1sa         -68.8800838807947       -130.67045689583756     -207.24592659784537      -142.30185050726868
1fa1msa2sa3tma             -69.26294171978952      -142.70314521057298     -246.31964947474717      -157.48848659952637
1fa1ma2msa1sa3tma          -70.79507587535772      -156.97901863208972     -289.0623604101979       -174.0625766281155
2dma1fa1msa1nta1sa1tma     -70.81673497629527      -143.7479314593802      -244.61243160578925      -157.24011777456326
1fa3ma1msa1nta1sa          -70.88102975016227      -143.98842049809173     -245.20339006436086      -157.12297589087393
1dma1fa1msa1nta1sa3tma     -71.0225714900298       -156.65772428677883     -287.22170986646086      -173.56156618503155
1dma1fa1ma1msa1nta1sa1tma  -71.14076127872977      -144.2669027668162      -245.26628035627303      -157.39693654699659
3dma1fa1msa1nta1sa         -72.30971914291149      -146.5990519397892      -249.16764312347203      -160.25347063841764
2dma1fa1ma1msa1nta1sa      -72.34223480819492      -145.81016196170822     -246.41263509476983      -159.0535024246201
1dma1fa2ma1msa1nta1sa      -72.85752120049438      -145.52511197910644     -243.72829373863817      -158.22714949655347
2msa1nta1sa4tma            -73.72767140471842      -161.48865103535354     -294.35176800492377      -180.15629515843466
2dma1fa2msa1sa2tma         -73.7752904309018       -161.2993069504446      -293.5569898344388       -178.1396856297797
1msa1nta2sa3tma            -73.80682605417678      -150.24207762739388     -256.3650899653111       -164.26804846420418
1fa1ma1msa2sa2tma          -74.62111610578722      -149.0867657995259      -249.75901289110215      -163.46745578941773
1fa1msa2sa4tma             -74.71003572019981      -160.48753758036764     -287.6991509648426       -177.41731358860852
1dma1fa1msa2sa2tma         -74.82427783226012      -150.6931505385728      -254.46544593691993      -165.45295735864784
2dma1fa1msa1nta1sa2tma     -76.41886308803805      -162.31575855452684     -288.09959908245173      -178.83433145066374
1fa2ma1msa1nta1sa2tma      -76.65268147076131      -161.39909377301228     -284.2408596413906       -177.24428804512718
1dma1fa1ma1msa1nta1sa2tma  -77.63154921555542      -162.88910816473071     -285.95525389544997      -178.96539750034572
1fa3ma1msa1nta1sa1tma      -78.59654106262315      -164.37553026613023     -287.7041395380504       -180.29876695339044
1dma1fa1ma2msa1sa2tma      -79.16882653502398      -165.63360582795576     -290.0042907685589       -182.46100963736535
1fa1ma1msa2sa3tma          -79.2162316502654       -166.2509232898592      -291.91578614715644      -183.28509552206378
2dma1fa1msa2sa1tma         -79.24702303517552      -155.63804268649255     -256.2167353728803       -170.13920812068682
1ma1msa1nta2sa2tma         -79.58767995898961      -155.3073997964093      -253.9651847634842       -168.84693296064506
1fa2ma2msa1sa2tma          -79.724360993976        -165.60486877910444     -288.0446345288456       -181.7479586514237
1dma1msa1nta2sa2tma        -79.7520283133199       -155.36147917373455     -253.595340802098        -169.15092729122262
1fa2ma1msa2sa1tma          -80.13920579651312      -155.349841954172       -252.25770973547716      -169.10367656608287
1dma1fa1ma1msa2sa1tma      -80.20988424039388      -155.38222103005683     -252.12925302545284      -169.4181313711888
3dma1fa1msa1nta1sa1tma     -80.59622310956183      -167.1409057885612      -290.27228803928574      -183.48011454379593
2ma1msa1nta2sa1tma         -80.8151182471629       -155.37305489832943     -250.06854486363676      -168.6848314912495
1msa1nta2sa4tma            -80.98158777836943      -169.8554102446069      -298.0842611640403       -188.29662865382852
1dma1fa1msa2sa3tma         -81.01433863450075      -168.5655296483892      -293.64813353634145      -186.55822697270196
1fa3ma1msa2sa              -81.30517036246601      -154.94751560816076     -246.99763624079833      -168.05358305107802
1fa4ma1msa1nta1sa          -81.31075096892891      -165.64196675200947     -282.84828369260066      -180.78774377156515
3ma1msa1nta2sa             -81.57162538054399      -157.40330034086946     -254.34068408547645      -169.93828893930186
1ma2msa1nta1sa3tma         -81.69172167824581      -169.535077540786       -294.62805924020995      -187.6513931719237
2dma1fa1ma1msa1nta1sa1tma  -81.88247126287024      -167.2346131598315      -286.2724866574731       -183.10411424421181
1dma1fa2ma1msa2sa          -82.38670428714249      -156.66484681761358     -249.13011078466195      -170.0313412337564
4dma1fa1msa1nta1sa         -82.39090101904003      -169.93958993139677     -293.6397414466455       -186.03439248830546
1dma1fa2ma1msa1nta1sa1tma  -82.41549833181489      -168.0018358821253      -287.05798272806055      -183.74496373136935
2dma2msa1nta1sa2tma        -82.71755615135771      -170.00514297516202     -292.76400075143624      -186.9347181051562
1dma2ma1msa1nta2sa         -82.95514770923182      -158.75405004725326     -254.23076417229547      -171.25415695703123
1dma1ma1msa1nta2sa1tma     -83.16941628650238      -159.39693874864315     -255.6683631131105       -172.77908826716885
1fa3ma2msa1sa1tma          -83.54724760323006      -170.36347648226365     -291.1830584555993       -186.5768340681534
