#CLUSTER                   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1fa2ma1msa1nta             -1326.3600134277506  -1326.2868610317635  0.0002453543383771191   -1326.57615941
1dma1fa1ma1msa1nta         -1365.6370765772012  -1365.5602914396698  0.0002575386132196778   -1365.87959343
1fa1ma1msa1nta1tma         -1404.9024103701822  -1404.8245677037785  0.0002610855824375717   -1405.17322047
2dma1fa1msa1nta            -1404.9078645488635  -1404.8280748129241  0.000267616085659361    -1405.17751629
1fa3ma1msa1nta             -1422.1664980504647  -1422.0848839733812  0.0002737349558389786   -1422.44620329
1dma1fa1msa1nta1tma        -1444.173317630895   -1444.0918129414902  0.00027336806776747226  -1444.47017028
1dma1fa2ma1msa1nta         -1461.44165774033    -1461.3563460826567  0.00028613670190588946  -1461.74757064
1fa1msa1nta2tma            -1483.435235946264   -1483.3516030050228  0.0002805062594038317   -1483.75886838
1fa2ma1msa1nta1tma         -1500.7076835924536  -1500.6222006294224  0.00028671126289146005  -1501.04355213
2dma1fa1ma1msa1nta         -1500.7139760488267  -1500.626288424624   0.00029410573269456633  -1501.04697746
1dma1fa1ma1msa1nta1tma     -1539.9779931219134  -1539.8879616941106  0.00030196688848875574  -1540.33713116
3dma1fa1msa1nta            -1539.9821311519197  -1539.8914043975283  0.00030429902529441154  -1540.34213933
1fa1ma1msa1nta2tma         -1579.2438125125004  -1579.152447634384   0.00030643930275507544  -1579.63126513
2dma1fa1msa1nta1tma        -1579.248429659633   -1579.1565556795479  0.00030814683912514776  -1579.63690133
1dma1fa1msa1nta2tma        -1618.507626508757   -1618.4121167700491  0.0003203412332987915   -1618.92077818
1fa1msa1nta3tma            -1657.772159153338   -1657.674213556696   0.00032851114084160815  -1658.21190303
1fa3ma1msa1sa              -1841.4935508554727  -1841.4114598706008  0.0002753345123994319   -1841.78717126
1dma1fa2ma1msa1sa          -1880.7695752573043  -1880.683193726245   0.00028972507482557765  -1881.08951816
1fa2ma1msa1sa1tma          -1920.0364532304204  -1919.9487198910242  0.00029425906220395824  -1920.38381734
2dma1fa1ma1msa1sa          -1920.044998294609   -1919.9569264630286  0.0002953943705532125   -1920.3923757
3ma1msa1nta1sa             -1932.6140159813115  -1932.5287481366895  0.0002859897522116528   -1932.89898423
