#CLUSTER                   dE_[Eh]
1fa2ma1msa1nta             -1325.162015331336
1dma1fa1ma1msa1nta         -1364.401395228246
1fa1ma1msa1nta1tma         -1403.632114046074
2dma1fa1msa1nta            -1403.636747020263
1fa3ma1msa1nta             -1420.895210099937
1dma1fa1msa1nta1tma        -1442.867315762929
1dma1fa2ma1msa1nta         -1460.133500993016
1fa1msa1nta2tma            -1482.091786785174
1fa2ma1msa1nta1tma         -1499.365927578973
2dma1fa1ma1msa1nta         -1499.369269309685
1dma1fa1ma1msa1nta1tma     -1538.597165730951
3dma1fa1msa1nta            -1538.601869491214
1fa1ma1msa1nta2tma         -1577.82855847363
2dma1fa1msa1nta1tma        -1577.832496921772
1dma1fa1msa1nta2tma        -1617.054407821834
1fa1msa1nta3tma            -1656.282941312912
1fa3ma1msa1sa              -1839.841753028035
1dma1fa2ma1msa1sa          -1879.080217856786
1fa2ma1msa1sa1tma          -1918.312041983311
2dma1fa1ma1msa1sa          -1918.318770996801
3ma1msa1nta1sa             -1930.879776419851
1dma1fa1ma1msa1sa1tma      -1957.549450267612
3dma1fa1msa1sa             -1957.551952204519
1dma2ma1msa1nta1sa         -1970.119140893503
1fa1ma1msa1sa2tma          -1996.779100993438
2dma1fa1msa1sa1tma         -1996.781537189317
2ma1msa1nta1sa1tma         -2009.35120892025
2dma1ma1msa1nta1sa         -2009.355858439041
1dma1fa1msa1sa2tma         -2036.013240706134
1dma1ma1msa1nta1sa1tma     -2048.587206667702
3dma1msa1nta1sa            -2048.589076773515
1fa1msa1sa3tma             -2075.228195504403
1ma1msa1nta1sa2tma         -2087.817624991078
2dma1msa1nta1sa1tma        -2087.821358375223
1fa3ma1msa1nta1sa          -2120.427080535664
1dma1msa1nta1sa2tma        -2127.051466300355
1dma1fa2ma1msa1nta1sa      -2159.662106291631
1msa1nta1sa3tma            -2166.279553545853
1fa2ma1msa1nta1sa1tma      -2198.892103300759
2dma1fa1ma1msa1nta1sa      -2198.897783922982
1fa4ma1msa1nta1sa          -2216.167705845063
1dma1fa1ma1msa1nta1sa1tma  -2238.130422025783
3dma1fa1msa1nta1sa         -2238.132803111131
1dma1fa3ma1msa1nta1sa      -2255.407349621141
1fa1ma1msa1nta1sa2tma      -2277.357174587608
2dma1fa1msa1nta1sa1tma     -2277.364177656693
1fa3ma1msa1nta1sa1tma      -2294.635423345425
2dma1fa2ma1msa1nta1sa      -2294.641475222864
1dma1fa1msa1nta1sa2tma     -2316.592380654147
1dma1fa2ma1msa1nta1sa1tma  -2333.873378015101
3dma1fa1ma1msa1nta1sa      -2333.877367444628
1fa1msa1nta1sa3tma         -2355.822975428417
1fa2ma1msa1nta1sa2tma      -2373.101980976882
2dma1fa1ma1msa1nta1sa1tma  -2373.106918857412
4dma1fa1msa1nta1sa         -2373.108778699903
1dma1fa1ma1msa1nta1sa2tma  -2412.336844984604
3dma1fa1msa1nta1sa1tma     -2412.341134424028
1fa1ma1msa1nta1sa3tma      -2451.565189347868
2dma1fa1msa1nta1sa2tma     -2451.570374745759
1dma1fa1msa1nta1sa3tma     -2490.798192517741
1fa1msa1nta1sa4tma         -2530.0247298613
1fa3ma1msa2sa              -2539.366245644303
1dma1fa2ma1msa2sa          -2578.602278024375
1fa4ma2msa1sa              -2599.206234298211
1fa2ma1msa2sa1tma          -2617.837765188139
2dma1fa1ma1msa2sa          -2617.840231330154
3ma1msa1nta2sa             -2630.388863075653
1fa4ma1msa2sa              -2635.104173690178
1dma1fa3ma2msa1sa          -2638.442509383529
1dma1fa1ma1msa2sa1tma      -2657.071218676567
3dma1fa1msa2sa             -2657.075638483898
1dma2ma1msa1nta2sa         -2669.627162999074
1dma1fa3ma1msa2sa          -2674.345510672622
1fa3ma2msa1sa1tma          -2677.67122250679
2dma1fa2ma2msa1sa          -2677.674223383184
4ma2msa1nta1sa             -2690.245915264596
1fa1ma1msa2sa2tma          -2696.300304990784
2dma1fa1msa2sa1tma         -2696.305788929513
2ma1msa1nta2sa1tma         -2708.861734797512
2dma1ma1msa1nta2sa         -2708.866155939565
1fa3ma1msa2sa1tma          -2713.582697604179
2dma1fa2ma1msa2sa          -2713.584032737243
1dma1fa2ma2msa1sa1tma      -2716.90822897154
3dma1fa1ma2msa1sa          -2716.910824592807
4ma1msa1nta2sa             -2726.143305061733
1dma3ma2msa1nta1sa         -2729.482192762477
1dma1fa1msa2sa2tma         -2735.535749968182
1dma1ma1msa1nta2sa1tma     -2748.099435262016
3dma1msa1nta2sa            -2748.100671634638
3dma1fa1ma1msa2sa          -2752.816505221806
1dma1fa2ma1msa2sa1tma      -2752.816875858477
1fa2ma2msa1sa2tma          -2756.137169397046
2dma1fa1ma2msa1sa1tma      -2756.141298733207
4dma1fa2msa1sa             -2756.145465701547
1dma3ma1msa1nta2sa         -2765.385411830516
3ma2msa1nta1sa1tma         -2768.714463120101
2dma2ma2msa1nta1sa         -2768.716710188943
1fa1msa2sa3tma             -2774.761731206293
1ma1msa1nta2sa2tma         -2787.331079246424
2dma1msa1nta2sa1tma        -2787.335399724105
1fa2ma1msa2sa2tma          -2792.046996736017
4dma1fa1msa2sa             -2792.052369846615
2dma1fa1ma1msa2sa1tma      -2792.052721188062
1dma1fa1ma2msa1sa2tma      -2795.369150299287
3dma1fa2msa1sa1tma         -2795.376046929376
3ma1msa1nta2sa1tma         -2804.618303347877
2dma2ma1msa1nta2sa         -2804.618946030663
3dma1ma2msa1nta1sa         -2807.94699550425
1dma2ma2msa1nta1sa1tma     -2807.947554611181
1dma1msa1nta2sa2tma        -2826.563415977344
1dma1fa1ma1msa2sa2tma      -2831.278463510575
3dma1fa1msa2sa1tma         -2831.285335508609
2dma1fa2msa1sa2tma         -2834.593761870621
1fa1ma2msa1sa3tma          -2834.596569715848
3dma1ma1msa1nta2sa         -2843.852870794389
1dma2ma1msa1nta2sa1tma     -2843.855583231122
2ma2msa1nta1sa2tma         -2847.174785022809
2dma1ma2msa1nta1sa1tma     -2847.17878472888
4dma2msa1nta1sa            -2847.179295139208
1msa1nta2sa3tma            -2865.792971949976
1fa1ma1msa2sa3tma          -2870.503550754299
2dma1fa1msa2sa2tma         -2870.51539205487
1dma1fa2msa1sa3tma         -2873.820756821533
2ma1msa1nta2sa2tma         -2883.086286069385
2dma1ma1msa1nta2sa1tma     -2883.087703093047
4dma1msa1nta2sa            -2883.089463888305
3dma2msa1nta1sa1tma        -2886.40796803994
1dma1ma2msa1nta1sa2tma     -2886.412311198046
1dma1fa1msa2sa3tma         -2909.742205662182
1fa2msa1sa4tma             -2913.044582226489
1dma1ma1msa1nta2sa2tma     -2922.317777745587
3dma1msa1nta2sa1tma        -2922.320593095429
2dma2msa1nta1sa2tma        -2925.630622195859
1ma2msa1nta1sa3tma         -2925.639550159046
1fa1msa2sa4tma             -2948.965797239106
1ma1msa1nta2sa3tma         -2961.549002257325
2dma1msa1nta2sa2tma        -2961.552153469793
1dma2msa1nta1sa3tma        -2964.839996432542
1dma1msa1nta2sa3tma        -3000.782480642854
2msa1nta1sa4tma            -3004.094696759881
1msa1nta2sa4tma            -3040.00063110224
