#CLUSTER                   ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1fa1msa1nta3tma            -26.769191824656446     -85.66603095276514      -197.5409663864298       -96.35783898516092
1fa1msa1nta2tma            -28.56603735437966      -76.04591744576464      -159.24829814224324      -84.73814317054348
1dma1fa1msa1nta2tma        -31.94531526378705      -91.28117429322447      -199.01344635025504      -101.9324363314663
1fa1ma1msa1nta1tma         -35.26710359867138      -83.10659467613732      -160.45443930036254      -91.66914736224862
1dma1fa1msa1nta1tma        -35.38266021721938      -83.10853646053874      -160.0733732796189       -91.83553342219966
1fa2ma1msa1nta             -35.96210874430835      -83.47095473401714      -159.3454502417889       -91.4383656893333
1fa1ma1msa1nta2tma         -36.28080337119172      -96.03325927138212      -200.41071910100354      -106.43263948190724
1dma1fa1ma1msa1nta         -39.94050401332788      -87.35410937084816      -159.02601159648378      -95.67361297711614
2dma1fa1msa1nta            -39.98120639461558      -87.69373282277957      -160.02859777939022      -96.45059083108208
2dma1fa1msa1nta1tma        -40.4696663593495       -100.99748657223245     -203.01130374838422      -112.05517542177404
1dma1fa1ma1msa1nta1tma     -40.64948983139766      -100.1492015436379      -199.56301094134716      -110.11900500069896
1fa2ma1msa1nta1tma         -40.90901136746106      -101.07858278414642     -201.809731399302        -112.06779350318538
1fa1msa1sa3tma             -41.11567992367782      -102.56097346264869     -206.08852436287344      -114.88832009170437
1fa3ma1msa1nta             -42.36417392489966      -101.68767903547268     -198.9720111034155       -111.65642901704996
3dma1fa1msa1nta            -44.53770538547542      -104.69592490280047     -201.77165694159788      -115.34745023175492
1dma1fa2ma1msa1nta         -45.14814259391278      -104.33572037681006     -198.51610861241568      -114.59483467959217
2dma1fa1ma1msa1nta         -46.14913592976518      -106.03010317275766     -200.84174825665355      -116.30300188573892
1fa1ma1msa1sa2tma          -52.80533182810177      -113.09781104992726     -202.22196619751912      -124.5610605912807
1dma1fa1msa1sa2tma         -53.310873762733536     -114.71601041141548     -205.95383749359706      -125.98184397318983
1msa1nta1sa3tma            -54.30348306091037      -116.30611238302663     -207.95783773965476      -129.13603486545617
1fa2ma1msa1sa1tma          -54.64961550004955      -115.71120339380286     -204.80156932404876      -126.62746700072603
1fa3ma1msa1sa              -55.02746022521751      -116.35583866538946     -205.69638919979872      -126.65708652284229
2dma1fa1msa1sa1tma         -55.95586047582037      -116.82338459631137     -204.15067623787624      -127.71306702004222
1dma1fa1ma1msa1sa1tma      -57.19995300604205      -118.64866770575463     -206.09999899312362      -129.8755077438982
1fa1msa1nta1sa3tma         -58.07845621521119      -133.02517869067378     -251.37253890889772      -147.63075834099436
1dma1fa2ma1msa1sa          -58.35403824731475      -119.17440166848246     -203.9924984769299       -130.21016274922295
1fa2msa1sa4tma             -58.78863665508106      -145.94104322511703     -292.3106039578578       -163.85698379890528
1ma1msa1nta1sa2tma         -59.71598216323764      -121.13911021235981     -206.01418094639746      -133.88445184743614
3dma1fa1msa1sa             -60.11571515799733      -122.41101955948398     -208.93947476569994      -133.58688917179825
1dma1msa1nta1sa2tma        -61.113840187113965     -122.5541351797583      -206.07175915653698      -135.0399395112472
2dma1fa1ma1msa1sa          -61.30325822433224      -123.24726858281065     -207.76122877117683      -134.0836671073339
1fa1ma1msa1nta1sa2tma      -62.74556407486671      -137.09769917829544     -249.37828309093922      -150.88152646287926
1fa1msa1nta1sa4tma         -63.119116707122885     -148.81638481200207     -287.43004563091455      -166.11280813848134
2ma1msa1nta1sa1tma         -64.08617548567418      -125.70671432725794     -206.67629998819487      -137.67435799700615
1dma1fa1msa1nta1sa2tma     -64.48829409680911      -138.2448286084982      -247.38062891792742      -152.11666935766698
3ma1msa1nta1sa             -64.76618623378454      -125.32997285714373     -203.13193568114644      -136.4944843117264
1dma1ma1msa1nta1sa1tma     -65.76163093738433      -127.00263482033915     -205.40333350009217      -138.5317629105266
1dma2msa1nta1sa3tma        -65.77949745801743      -153.98830278031528     -295.853782734302        -169.13472390844254
2dma1msa1nta1sa1tma        -65.80167881066154      -127.42726252767898     -206.69322058296243      -139.57717399809917
1dma1fa2msa1sa3tma         -66.39082695753314      -154.3337668388849      -294.96206567567793      -171.76985812390922
1dma2ma1msa1nta1sa         -67.37942225002917      -128.68868324928917     -205.63226899032793      -140.15243511431618
1fa2ma1msa1nta1sa1tma      -67.6467390916514       -140.82208710587292     -245.43131985201484      -153.94601404455898
3dma1msa1nta1sa            -68.180879084568        -130.51939042517915     -209.08439154996404      -142.52759772358695
1fa1ma1msa1nta1sa3tma      -68.75118788459804      -154.8016166971065      -288.61455244967016      -171.87749760394217
2dma1ma1msa1nta1sa         -68.88032674702117      -130.67044867924415     -207.24508446109618      -142.30134160228772
1fa1msa2sa3tma             -69.25832318590255      -142.70127416210016     -246.32886458598182      -157.488162807771
1fa1ma2msa1sa3tma          -70.78852769103833      -156.97527462348808     -289.07176566230703      -174.06248062005034
2dma1fa1msa1nta1sa1tma     -70.8169777890871       -143.74792328807234     -244.61158980054515      -157.2396088696405
1fa3ma1msa1nta1sa          -70.87822840193985      -143.98717103968374     -245.20859512890627      -157.12282466265606
1dma1fa1msa1nta1sa3tma     -71.02129222254734      -156.65709547209553     -287.2238914961115       -173.56123611849034
1dma1fa1ma1msa1nta1sa1tma  -71.13948201124731      -144.2662739521329      -245.26846198592364      -157.3966064806882
3dma1fa1msa1nta1sa         -72.31148403644329      -146.59966441220604     -249.16377788333318      -160.25278289505513
2dma1fa1ma1msa1nta1sa      -72.34247762110317      -145.81015379051678     -246.4117932895257       -159.05299351963913
1dma1fa2ma1msa1nta1sa      -72.85624193312833      -145.52448316430673     -243.7304753682888       -158.22681943018688
2msa1nta1sa4tma            -73.72204418259207      -161.48552919377107     -294.3601710917902       -180.15618785528932
2dma1fa2msa1sa2tma         -73.7717864078295       -161.29680422882666     -293.5603482167584       -178.13923194495146
1msa1nta2sa3tma            -73.80312848283211      -150.2408287457074      -256.3733029113031       -164.26771337736864
1fa1ma1msa2sa2tma          -74.61649757190025      -149.08489475105307     -249.7682280023368       -163.46713199812802
1fa1msa2sa4tma             -74.70541718631284      -160.48566653189482     -287.7083660760772       -177.41698979731882
1dma1fa1msa2sa2tma         -74.82118137911311      -150.69190013370826     -254.47163761325982      -165.45245472920942
2dma1fa1msa1nta1sa2tma     -76.41910590106272      -162.31575038321898     -288.0987572772076       -178.833822545741
1fa2ma1msa1nta1sa2tma      -76.64988012253889      -161.39784431472071     -284.2460647059361       -177.2441368169675
1dma1fa1ma1msa1nta1sa2tma  -77.63026994807296      -162.88847935004742     -285.95743552510055      -178.96506743403734
1fa3ma1msa1nta1sa1tma      -78.59373971440073      -164.37428080760583     -287.7093446025958       -180.29861572523077
1dma1fa1ma2msa1sa2tma      -79.16380043144454      -165.6304824629624      -290.0106725857733       -182.46073479091865
1fa1ma1msa2sa3tma          -79.21161311637843      -166.24905224138638     -291.92500125839103      -183.28477173077408
2dma1fa1msa2sa1tma         -79.24544866253564      -155.63741292500345     -256.2199036143254       -170.1385266524012
1ma1msa1nta2sa2tma         -79.58398238764494      -155.30615091472282     -253.97339770947616      -168.84659787380951
1fa2ma2msa1sa2tma          -79.7178128096566       -165.6011247705028      -288.0540397809548       -181.74786264335853
1dma1msa1nta2sa2tma        -79.74985282271518      -155.36085093565634     -253.60053031319524      -169.15041336623835
1fa2ma1msa2sa1tma          -80.13458726262616      -155.34797090569919     -252.2669248467118       -169.10335277456034
1dma1fa1ma1msa2sa1tma      -80.20678778724687      -155.38097062519228     -252.13544470179272      -169.41762874151755
3dma1fa1msa1nta1sa1tma     -80.59798800309363      -167.14151826086163     -290.26842279914695      -183.47942680072447
2ma1msa1nta2sa1tma         -80.8114206755854       -155.37180601664295     -250.07675780962876      -168.68449640441395
1msa1nta2sa4tma            -80.97789020702476      -169.85416136292042     -298.0924741100323       -188.29629356699297
1dma1fa1msa2sa3tma         -81.01124218135374      -168.56427924352465     -293.65432521268133      -186.55772434279788
1fa3ma1msa2sa              -81.30055182857905      -154.9456445594551      -247.00685135203292      -168.0532592595555
1fa4ma1msa1nta1sa          -81.3079496207065       -165.6407172938343      -282.8534887571461       -180.78759254334727
3ma1msa1nta2sa             -81.56792780896649      -157.40205145918299     -254.34889703146843      -169.9379538524663
1ma2msa1nta1sa3tma         -81.68609445623588      -169.53195569920354     -294.6364623270764       -187.65128586877836
2dma1fa1ma1msa1nta1sa1tma  -81.88271407589491      -167.23460498852364     -286.271644852229        -183.10360533928906
1dma1fa2ma1msa2sa          -82.38360783399548      -156.66359641274903     -249.13630246100183      -170.03083860385232
4dma1fa1msa1nta1sa         -82.39418799331179      -169.94082304718904     -293.63285277161185      -186.0335259065614
1dma1fa2ma1msa1nta1sa1tma  -82.41421906433243      -168.001207067442       -287.0601643577112       -183.74463366482814
