#CLUSTER                   ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1fa1msa1nta3tma            -20.934657466830686     -79.83149659476476      -197.5409663864298       -90.52330462745158
1fa1msa1nta2tma            -23.37790660210885      -70.85778669337742      -159.24829814224324      -79.5500124184473
1dma1fa1msa1nta2tma        -25.526225086883642     -84.80519503925461      -198.82263945084486      -95.45248410388012
1fa2ma1msa1nta             -28.132401619572192     -75.6412476094556       -159.3454502417889       -83.60865856491728
1fa1ma1msa1nta1tma         -28.448457223479636     -76.28794830097468      -160.45443930036254      -84.85050098701322
1fa1ma1msa1nta2tma         -28.99119281338062      -88.74321604915895      -200.40926793876864      -99.14322120152065
1dma1fa1msa1nta1tma        -30.21856485120952      -78.10263721333467      -160.60396566223832      -87.05472009185178
1fa2ma1msa1nta1tma         -31.42867614782881      -91.59824756419403      -201.809731399302        -102.58745828362589
1fa3ma1msa1nta             -31.44988531677518      -90.77339042694075      -198.9720111034155       -100.74214040877996
1dma1fa1ma1msa1nta         -32.37291539553553      -79.7865207529976       -159.02601159648378      -88.10602435929468
1dma1fa1ma1msa1nta1tma     -32.661794039653614     -92.18765739598894      -199.65072398575975      -102.30452853754105
2dma1fa1msa1nta1tma        -33.00448388198856      -93.53230409431853      -203.01130374838422      -104.58999294448586
2dma1fa1msa1nta            -33.754474411020055     -81.8700075619272       -161.38028895159877      -90.73308990808437
1dma1fa2ma1msa1nta         -35.3956643830752       -94.58324216626352      -198.51610861241568      -104.84235646919115
1fa1msa1sa3tma             -35.40025442431215      -94.85833168012323      -199.42336829011452      -105.78545740415575
3dma1fa1msa1nta            -37.42179108574055      -97.58001060324023      -201.77165694159788      -108.2315359323402
2dma1fa1ma1msa1nta         -37.50592209328897      -97.38688933599042      -200.84174825665355      -107.65978804900078
1fa3ma1msa1sa              -45.63417803682387      -106.96255647711223     -205.69638919979872      -117.26380433473969
1fa1ma1msa1sa2tma          -46.20371316163801      -106.4961923834635      -202.22196619751912      -117.95944192472962
1fa2ma1msa1sa1tma          -46.647171764285304     -107.70875965818414     -204.80156932404876      -118.62502326512185
1dma1fa1msa1sa2tma         -46.82628002320416      -108.23141667211894     -205.95383749359706      -119.49725023357314
1msa1nta1sa3tma            -48.33399603457656      -110.33662535663461     -207.95783773965476      -123.1665478394716
1dma1fa2ma1msa1sa          -49.20665468077641      -110.8853656820138      -206.87141036707894      -121.51563594368054
1dma1fa1ma1msa1sa1tma      -49.660861573182046     -110.62099293727078     -204.46128245441182      -121.42099991811847
2dma1fa1msa1sa1tma         -50.23264029878192      -111.49446359326248     -205.4731621473804       -122.46354586617963
1fa1msa1nta1sa3tma         -51.15504677046556      -126.10176924610278     -251.37253890889772      -140.70734889613232
1fa2msa1sa4tma             -52.421723079751246     -138.60523745551473     -289.0609236122823       -154.82799571100622
1ma1msa1nta1sa2tma         -52.883035619976        -114.30616366956383     -206.01418094639746      -127.05150530455285
2dma1fa1ma1msa1sa          -53.04247425252106      -114.98648461111588     -207.76122877117683      -125.82288313581375
3dma1fa1msa1sa             -53.34384004876483      -115.62067052192288     -208.87751290548547      -126.7592266954598
3ma1msa1nta1sa             -54.31487638107501      -114.99534103367478     -203.52327570873666      -125.98450349783525
1fa1ma1msa1nta1sa2tma      -54.36443416867405      -128.25311826448888     -247.82386079311178      -141.6265253041929
1dma1msa1nta1sa2tma        -54.475965248653665     -115.91626024083234     -206.07175915653698      -128.40206457293243
2ma1msa1nta1sa1tma         -54.53235047252383      -116.1528893141367      -206.67629998819487      -128.12053298378305
1fa1msa1nta1sa4tma         -55.458988013793714     -140.87195349129615     -286.47648994503965      -158.33211338310502
1dma1fa1msa1nta1sa2tma     -56.958724465454        -130.2668846207671      -245.87677395657397      -144.00842315042973
1dma1ma1msa1nta1sa1tma     -57.175049570039846     -118.41605345325661     -205.40333350009217      -129.94518154357502
1dma2msa1nta1sa3tma        -57.774120178539306     -145.9829255011282      -295.853782734302        -161.12934662931366
1fa2ma1msa1nta1sa1tma      -57.7760439660633       -130.9513919800811      -245.43131985201484      -144.07531891843246
1dma2ma1msa1nta1sa         -57.85748945153318      -119.38983100571204     -206.38048483557805      -130.85809754114598
2dma1msa1nta1sa1tma        -58.24122203618754      -119.8720102866937      -206.7106766755225       -132.03761039358506
1dma1fa2msa1sa3tma         -58.759262547129765     -146.70220242830692     -294.96206567567793      -164.13829371350585
