#CLUSTER             dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1ma                  -95.79628217715855   -95.76899244466968   9.153021126570281e-05   -95.837824015
1dma                 -135.06700818565287  -135.0362355765862   0.00010321183654763125  -135.134508383
1tma                 -174.33978756366545  -174.30727777203015  0.00010903837543289424  -174.434517216
1fa                  -189.70263830925174  -189.67445686576045  9.452102462281888e-05   -189.712813214
2ma                  -191.5845451391104   -191.5433802929972   0.00013806757039470222  -191.683373231
1dma1ma              -230.85503805489986  -230.8116657893024   0.00014547129162320873  -230.98101196
2dma                 -270.1260778637566   -270.07993016839265  0.00015478012867332233  -270.278808195
1ma1tma              -270.12855578494737  -270.0830765481285   0.00015253810772730027  -270.281505678
1nta                 -280.8075786450972   -280.7774388096576   0.00010108950340291773  -280.808948134
1fa1ma               -285.50449813235804  -285.4652096871056   0.00013177409106977173  -285.574837767
3ma                  -287.3762055788131   -287.3259516472653   0.00016855251231854797  -287.537540101
1dma1tma             -309.40030262542325  -309.3510737315563   0.00016511451909076666  -309.578836644
1dma1fa              -324.77559417195823  -324.7332515487128   0.00014201785425268617  -324.872159891
2tma                 -348.67021439623716  -348.6203037667237   0.0001674010716533646   -348.876994807
1fa1tma              -364.0501255640592   -364.00571425958157  0.0001489562451036732   -364.173353163
1ma1nta              -376.6145114260595   -376.57403886065117  0.00013574564953328685  -376.676404116
2fa                  -379.41314112531626  -379.3746670127009   0.0001290428060215753   -379.453669882
1fa2ma               -381.2991158553014   -381.24898982022034  0.00016812354546727625  -381.429287956
4ma                  -383.1672673866515   -383.10751704374104  0.0002004036320994082   -383.390361051
3dma                 -405.1887543839818   -405.1295067618867   0.00019871749822265362  -405.429094439
1dma1nta             -415.8867138934598   -415.84317985734333  0.00014601387260263803  -415.974393321
1dma1fa1ma           -420.5708746732745   -420.5183776930559   0.00017607573442407772  -420.727548336
1nta1tma             -455.1609240646359   -455.1154268595441   0.00015259837360987775  -455.27663866
2dma1fa              -459.84066723473825  -459.78626540797933  0.00018246462102601183  -460.025228098
1fa1ma1tma           -459.8412807652103   -459.78706258063266  0.00018184868213179614  -460.02562602
1fa1nta              -470.5146400771653   -470.47408028404124  0.00013603821272534526  -470.546165348
2ma1nta              -472.4121576597665   -472.3626236254752   0.00016613796508911028  -472.53722532
2fa1ma               -475.2115866087132   -475.1624031673901   0.00016496207051181386  -475.311328417
1dma1fa1tma          -499.1135934929126   -499.05618477045067  0.0001925497986315044   -499.323742956
1dma1ma1nta          -511.68692675955623  -511.6342086276211   0.00017681748091609252  -511.838885388
1dma2fa              -514.4854803181247   -514.4340631855621   0.00017245390763903878  -514.613701382
1fa2tma              -538.3812171110796   -538.32149646847     0.0002003040168024894   -538.618153349
4dma                 -540.2525816797331   -540.1803020536076   0.00024242705391725716  -540.580331083
1ma1nta1tma          -550.9558035870986   -550.8997354365241   0.00018805349848875509  -551.132110097
2dma1nta             -550.9579079562008   -550.902133397184    0.0001870687875793945   -551.136112678
2fa1tma              -553.7543599478001   -553.7006827858812   0.00018003408324327236  -553.90963301
2nta                 -561.6135118513417   -561.5707023385689   0.00014358380940048625  -561.635906823
2fa2ma               -571.0093769878515   -570.9504672315807   0.00019758429069538     -571.171836794
1dma1nta1tma         -590.2307409681761   -590.1724166483515   0.00019562072723326742  -590.43507932
1dma2fa1ma           -610.2820089924603   -610.2198683472858   0.0002084207451767903   -610.468038179
1nta2tma             -629.4959565973251   -629.4352526779899   0.00020360194309972297  -629.727110028
2fa1ma1tma           -649.5527941500158   -649.4898707926427   0.0002110459747545073   -649.76969841
2dma2fa              -649.5603778167925   -649.496275017956    0.00021500184080679133  -649.777531558
1ma2nta              -657.4270911250272   -657.3760287876798   0.00017126391865642887  -657.513149776
1msa                 -664.1999349359539   -664.1639705971139   0.00012062498353195923  -664.233030186
1dma2fa1tma          -688.8219823995747   -688.7553881688617   0.00022335814426636185  -689.064544726
1dma2nta             -696.7035304925487   -696.6491568521427   0.0001823700835349447   -696.816054521
1sa                  -700.1144441779212   -700.0806352954795   0.0001133955473477488   -700.126012015
2fa2tma              -728.0889410275273   -728.0202087601853   0.00023052915425798815  -728.359172184
2nta1tma             -735.9767120335142   -735.9197478796932   0.0001910587081034723   -736.116121953
2ma2nta              -753.2475242877418   -753.1884876252075   0.00019800993638908232  -753.39894639
1ma1msa              -760.005125678166    -759.9604988088953   0.0001496792529621486   -760.102132495
1dma1ma2nta          -792.5235044823831   -792.4610374894463   0.0002095153209353622   -792.701457335
1ma1sa               -795.9266500887428   -795.8822239400575   0.00014900603282006758  -796.000115569
1dma1msa             -799.2790361047403   -799.231820215768    0.0001583628675908005   -799.402424017
1ma2nta1tma          -831.7903343035897   -831.7252714755081   0.00021822179467277683  -831.995100427
2dma2nta             -831.7998680876868   -831.7339469477699   0.00022110058667427126  -832.004289775
1dma1sa              -835.2031073811463   -835.1551171193199   0.00016096012687028972  -835.302995035
1fa1msa              -853.9109734196647   -853.8659848529265   0.00015089239221272017  -853.975498419
2ma1msa              -855.8110305678459   -855.7584449921626   0.00017637288506913937  -855.971673049
1dma2nta1tma         -871.0657476673036   -870.9975448641914   0.0002287533225300085   -871.297233511
1sa1tma              -874.4773618869434   -874.4277208560815   0.00016649683334542218  -874.604574491
1fa1sa               -889.8268789103928   -889.7829739654538   0.00014725790688915685  -889.868751489
2ma1sa               -891.7319074408076   -891.6785960441574   0.00017880730052072222  -891.867961565
1dma1ma1msa          -895.0862566557424   -895.0301361052908   0.00018822924853823596  -895.273249938
2nta2tma             -910.3317518020965   -910.260730866943    0.00023820538371111907  -910.589793104
1dma1ma1sa           -931.0069632437669   -930.9509013603235   0.00018803247842805063  -931.170299979
1ma1msa1tma          -934.3536140135814   -934.2941447792081   0.0001994607894460566   -934.565582557
2dma1msa             -934.3576758298141   -934.2986141995699   0.00019809367849779093  -934.570913621
1msa1nta             -945.0112531393402   -944.9638804918822   0.0001588886381284167   -945.06651187
1fa1ma1msa           -949.7239691151836   -949.6699545058607   0.00018116588738217225  -949.852541416
1ma1sa1tma           -970.2776489710542   -970.2194210048024   0.00019529755576660636  -970.467257674
2dma1sa              -970.2784997744244   -970.2186319955472   0.0002007975142619273   -970.4671762
1dma1msa1tma         -973.62779650936     -973.565792274404    0.00020796322306230666  -973.866807953
1nta1sa              -980.9253755252304   -980.879084855794    0.00015525966606220318  -980.958036247
1fa1ma1sa            -985.6442257296287   -985.5905987568062   0.00017986574818893052  -985.749371695
3ma1sa               -987.5344544239832   -987.471804477112    0.00021012895143788759  -987.733095982
1dma1fa1msa          -988.999495447114    -988.942516540135    0.00019110819043773223  -989.154737668
1dma1sa1tma          -1009.549974146802   -1009.4880935462794  0.00020754855114082945  -1009.7654254
1msa2tma             -1012.8920862679378  -1012.8275798928464  0.00021635544219815353  -1013.15818193
1dma1fa1sa           -1024.9205354626295  -1024.8633267082837  0.0001918791022836507   -1025.0518983
1fa1msa1tma          -1028.2675196515925  -1028.2084023181176  0.00019828050804897505  -1028.45027924
1ma1msa1nta          -1040.827715664444   -1040.7719688176996  0.00018697584016221275  -1040.94747599
1fa2ma1msa           -1045.5300621704419  -1045.466432932164   0.00021341351091033343  -1045.72079466
1sa2tma              -1048.8245583410599  -1048.7608738853007  0.00021359871124981546  -1049.06320677
1fa1sa1tma           -1064.1894974675986  -1064.131430256832   0.00019475837922762915  -1064.34901921
1ma1nta1sa           -1076.7469006234226  -1076.6913556778268  0.00018629866039145728  -1076.84298892
1dma1msa1nta         -1080.1034718951953  -1080.0446719718332  0.000197215909314228    -1080.24985571
1fa2ma1sa            -1081.4476799537176  -1081.3836093329526  0.00021489391502596658  -1081.61403118
4ma1sa               -1083.3328566975904  -1083.2611337613105  0.00024055990702638255  -1083.59386267
1dma1fa1ma1msa       -1084.804435912931   -1084.7376712001783  0.0002239299438290312   -1085.0220425
3dma1sa              -1105.349722905664   -1105.2784552215046  0.00023903298393272685  -1105.62734683
1dma1nta1sa          -1116.0234449980608  -1115.9645023502053  0.00019769460961102545  -1116.14605877
1msa1nta1tma         -1119.3767358520315  -1119.3156443390274  0.00020490193863507313  -1119.55007057
1dma1fa1ma1sa        -1120.7222752017865  -1120.6566988889842  0.00021994403086427795  -1120.91636012
